PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,85,12,1587120230121006,1,0.50,0.00,180,45,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121006,,6,S:8AM-8PM,33455,01,,,MARTIN,1322,5,1,1,,,,1,43,-1,1,8,8,15AUG23:08:29,,,,,,,,2965.5602254,2023011263weS:8AM-8PM,,0,1587120230121006,03/03/2025
,DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,85,12,1587120230121007,1,2.50,0.00,6,6,1,6,341,5,3,2,1,,,0,0,1,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121007,1,6,S:8AM-8PM,33455,01,,,MARTIN,1345,5,1,1,169237,,,1,41,-1,2,8,8,15AUG23:08:29,8835440000,,,,,,,2965.5602254,2023011263weS:8AM-8PM,,0,1587120230121007,03/03/2025
,DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,99,12,1587120230121008,1,4.00,0.00,50,6,1,6,341,5,3,1,1,,,0,0,0,4,1,,85,,,,Y,we,1587120230121,1,,1587120230121008,1,6,S:8AM-8PM,33409,01,18,0,PALM BEACH,1441,5,1,1,169237,,,1,68,-1,2,1,8,15AUG23:08:29,8835440000,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121008,03/03/2025
,,2023011263weS:8AM-8PM,2023112631587120230121,2023,4,25,17,12,1587120230121010,1,2.00,0.00,10,10,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,O,we,1587120230121,1,,1587120230121010,,6,S:8AM-8PM,01754,01,,,MIDDLESEX,1517,5,1,1,,,,1,64,-1,2,8,8,15AUG23:08:29,,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121010,03/03/2025
,,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,11,12,1587120230121011,1,9.00,0.00,13,8,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121011,,6,S:8AM-8PM,33331,01,,,BROWARD,1527,5,1,1,,,,1,59,-1,2,8,8,15AUG23:08:29,,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121011,03/03/2025
,BLUEFISH,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,86,12,1587120230121012,1,8.00,0.00,14,1,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121012,,6,S:8AM-8PM,33165,01,,,MIAMI-DADE,1610,5,1,1,168559,,,1,22,-1,2,8,8,15AUG23:08:29,8835250101,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121012,03/03/2025
,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,99,12,1587120230121013,1,10.00,0.00,40,5,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121013,,6,S:8AM-8PM,33405,01,,,PALM BEACH,1626,5,1,1,168708,,,1,63,-1,2,8,8,15AUG23:08:29,8835280901,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121013,03/03/2025
,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,99,12,1587120230121014,1,10.00,0.00,40,5,1,6,341,5,3,2,1,,,0,0,1,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121014,1,6,S:8AM-8PM,33475,01,,,PALM BEACH,1626,5,1,1,168708,,,1,46,-1,2,8,8,15AUG23:08:29,8835280901,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121014,03/03/2025
,FLORIDA POMPANO,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,85,12,1587120230121015,1,10.00,0.00,20,2,1,6,341,5,3,2,1,,,0,0,0,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121015,,6,S:8AM-8PM,33455,01,,,MARTIN,1626,5,1,1,168708,,,1,63,-1,2,8,8,15AUG23:08:29,8835280901,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121015,03/03/2025
,DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,6,12,85,12,1587120230121016,1,2.00,0.00,100,14,1,6,341,5,3,2,1,,,0,0,1,0,1,,85,,,,Y,we,1587120230121,1,,1587120230121016,1,6,S:8AM-8PM,33455,01,,,MARTIN,1645,5,1,1,169237,,,1,65,-1,2,8,8,15AUG23:08:29,8835440000,,,,,,,2813.3599404,2023011263weS:8AM-8PM,,0,1587120230121016,03/03/2025
,,2023011273weS:8AM-8PM,2023112731587720230122,2023,6,12,31,12,1587720230122001,1,5.00,,4,0,1,6,171,3,3,2,1,,,0,0,0,0,1,,109,,,,Y,we,1587720230122,1,,1587720230122001,,7,S:8AM-8PM,32258,01,,,DUVAL,1542,3,1,1,,,,1,56,-1,2,8,8,15AUG23:08:29,,,,,,,,30626.459692,2023011273weS:8AM-8PM,,0,1587720230122001,03/03/2025
,,2023011273weS:8AM-8PM,2023112731587720230122,2023,6,12,31,12,1587720230122002,1,5.00,,4,0,1,6,171,3,3,2,1,,,0,0,0,0,1,,109,,,,Y,we,1587720230122,1,,1587720230122002,,7,S:8AM-8PM,32246,01,,,DUVAL,1542,3,1,1,,,,1,47,-1,2,8,8,15AUG23:08:29,,,,,,,,30626.459692,2023011273weS:8AM-8PM,,0,1587720230122002,03/03/2025
,,2023021273wdS:8AM-8PM,2023112731588920230215,2023,5,42,41,12,1588920230215001,1,2.00,0.00,0,0,1,6,4191,5,3,2,1,,,0,0,0,0,1,,127,,,,O,wd,1588920230215,1,,1588920230215001,,7,S:8AM-8PM,17011,02,,,,1124,5,1,1,,,,1,73,-1,2,8,8,15AUG23:08:29,,,,,,,,42018.213236,2023021273wdS:8AM-8PM,,0,1588920230215001,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,2023021273wdS:8AM-8PM,2023112731588920230215,2023,5,42,133,12,1588920230215002,1,3.50,0.00,25,12,1,6,4191,5,3,2,1,,,0,0,1,0,1,,127,,,,O,wd,1588920230215,1,,1588920230215002,1,7,S:8AM-8PM,17347,02,,,,1132,5,1,1,168708,169273,,1,80,-1,2,8,8,15AUG23:08:29,8835280901,8835440600,,,,,,42018.213236,2023021273wdS:8AM-8PM,,0,1588920230215002,03/03/2025
,,2023021273wdS:8AM-8PM,2023112731588920230215,2023,0,26,11,12,1588920230215003,1,5.00,0.00,18,10,1,6,4191,5,3,2,1,,,0,0,2,0,1,,127,,,,O,wd,1588920230215,1,,1588920230215003,1,7,S:8AM-8PM,48703,02,,,,1242,5,1,1,,,,1,79,-1,2,8,8,15AUG23:08:29,,,,,,,,42018.213236,2023021273wdS:8AM-8PM,,0,1588920230215003,03/03/2025
,,2023011253weS:8AM-8PM,2023112531592020230106,2023,6,12,11,12,1592020230106001,1,3.50,0.00,25,4,1,6,940,2,3,2,1,,,0,0,1,0,1,,99,,,,Y,we,1592020230106,1,,1592020230106001,1,5,S:8AM-8PM,99999,01,0,1,BROWARD,1109,2,1,1,,,,1,,-1,2,8,8,15AUG23:08:29,,,,,,,,3851.7506191,2023011253weS:8AM-8PM,,0,1592020230106001,03/03/2025
,,2023011253weS:8AM-8PM,2023112531592020230106,2023,6,12,11,12,1592020230106002,1,4.00,0.00,11,1,1,6,940,2,3,2,1,,,0,0,3,0,1,,99,,,,Y,we,1592020230106,1,,1592020230106002,1,5,S:8AM-8PM,33073,01,,,BROWARD,1116,2,1,1,,,,1,55,-1,2,8,8,15AUG23:08:29,,,,,,,,3851.7506191,2023011253weS:8AM-8PM,,0,1592020230106002,03/03/2025
,,2023011253weS:8AM-8PM,2023112531592020230106,2023,6,12,11,12,1592020230106003,1,4.00,0.00,11,1,1,6,940,2,3,2,1,,,0,0,2,0,1,,99,,,,Y,we,1592020230106,1,,1592020230106003,1,5,S:8AM-8PM,33073,01,,,BROWARD,1116,2,1,1,,,,2,,-1,2,8,8,15AUG23:08:29,,,,,,,,3851.7506191,2023011253weS:8AM-8PM,,0,1592020230106003,03/03/2025
,,2023011253weS:8AM-8PM,2023112531592020230106,2023,6,12,11,12,1592020230106004,1,3.00,0.00,1,0,1,6,940,2,3,2,1,,,0,0,2,0,1,,99,,,,Y,we,1592020230106,1,,1592020230106004,1,5,S:8AM-8PM,33068,01,0,1,BROWARD,1603,2,1,1,,,,1,,-1,2,8,8,15AUG23:08:29,,,,,,,,4082.4111178,2023011253weS:8AM-8PM,,0,1592020230106004,03/03/2025
,,2023011253weS:8AM-8PM,2023112531592020230106,2023,6,12,11,12,1592020230106005,1,3.00,,1,0,1,6,940,2,3,2,1,,,0,0,0,0,1,,99,,,,Y,we,1592020230106,1,,1592020230106005,,5,S:8AM-8PM,33068,01,,,BROWARD,1604,2,1,1,,,,1,,-1,2,8,8,15AUG23:08:29,,,,,,,,4082.4111178,2023011253weS:8AM-8PM,,0,1592020230106005,03/03/2025
,,2023011253weS:8AM-8PM,2023112531592020230106,2023,6,12,11,12,1592020230106006,1,7.00,0.00,1,1,1,6,940,2,3,2,1,,,0,0,2,0,1,,99,,,,Y,we,1592020230106,1,,1592020230106006,1,5,S:8AM-8PM,33442,01,0,1,BROWARD,1613,2,1,1,,,,1,,-1,2,8,8,15AUG23:08:29,,,,,,,,4082.4111178,2023011253weS:8AM-8PM,,0,1592020230106006,03/03/2025
,FLORIDA POMPANO,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124001,1,2.50,,100,16,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124001,,5,S:8AM-8PM,33411,01,,,PALM BEACH,827,0,1,1,168708,,,1,60,-1,1,8,8,15AUG23:08:29,8835280901,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124001,03/03/2025
,FLORIDA POMPANO,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124002,1,2.50,,100,16,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124002,,5,S:8AM-8PM,33411,01,,,PALM BEACH,828,0,1,1,168708,,,2,53,-1,2,8,8,15AUG23:08:29,8835280901,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124002,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,7,1,125,12,1592020230124003,1,2.00,,2,2,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,O,wd,1592020230124,1,,1592020230124003,,5,S:8AM-8PM,35406,01,,,,906,0,1,1,,,,1,69,-1,1,8,8,15AUG23:08:29,,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124003,03/03/2025
PORGY FAMILY,GRAY SNAPPER,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124004,1,3.50,,120,20,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124004,,5,S:8AM-8PM,33410,01,,,PALM BEACH,937,0,1,1,168848,169180,,1,76,-1,2,8,8,15AUG23:08:29,8835360102,8835430000,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124004,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,4,9,1,12,1592020230124005,1,2.00,,10,4,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,O,wd,1592020230124,1,,1592020230124005,,5,S:8AM-8PM,06468,01,,,FAIRFIELD,1009,0,1,1,,,,1,61,-1,2,8,8,15AUG23:08:29,,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124005,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124006,1,1.00,,998,9,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124006,,5,S:8AM-8PM,33403,01,,,PALM BEACH,1038,0,1,1,,,,1,39,-1,2,8,8,15AUG23:08:29,,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124006,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124007,1,3.50,0.00,180,30,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124007,1,5,S:8AM-8PM,33477,01,,,PALM BEACH,1042,0,1,1,,,,1,74,-1,2,8,8,15AUG23:08:29,,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124007,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124008,1,2.00,0.00,200,40,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124008,1,5,S:8AM-8PM,33410,01,,,PALM BEACH,1049,0,1,1,,,,1,61,-1,2,8,8,15AUG23:08:29,,,,,,,,13271.866246,2023011253wdS:8AM-8PM,,0,1592020230124008,03/03/2025
GRAY SNAPPER,SHEEPSHEAD,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,11,12,1592020230124009,1,4.00,0.00,200,25,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124009,1,5,S:8AM-8PM,33064,01,,,BROWARD,1110,0,1,1,169189,168848,,1,71,-1,1,8,8,15AUG23:08:29,8835430301,8835360102,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124009,03/03/2025
GRAY SNAPPER,SHEEPSHEAD,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,11,12,1592020230124010,1,4.00,0.00,2,0,1,6,1448,1,3,2,1,,,0,0,2,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124010,1,5,S:8AM-8PM,33064,01,,,BROWARD,1110,0,1,1,169189,168848,,1,72,-1,2,8,8,15AUG23:08:29,8835430301,8835360102,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124010,03/03/2025
SPANISH MACKEREL,FLORIDA POMPANO,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124011,1,4.00,,75,20,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124011,,5,S:8AM-8PM,33408,01,,,PALM BEACH,1122,0,1,1,168708,172436,,1,67,-1,2,8,8,15AUG23:08:29,8835280901,8850030502,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124011,03/03/2025
,MACKEREL GENUS,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124012,1,3.00,0.00,300,60,1,6,1448,1,3,2,1,,,0,0,1,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124012,1,5,S:8AM-8PM,33408,01,,,PALM BEACH,1134,0,1,1,172434,,,1,21,-1,2,8,8,15AUG23:08:29,8850030500,,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124012,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,111,12,1592020230124013,1,2.00,,4,1,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124013,,5,S:8AM-8PM,34983,01,,,ST LUCIE,1148,0,1,1,,,,1,75,-1,2,8,8,15AUG23:08:29,,,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124013,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,111,12,1592020230124014,1,2.00,,4,1,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124014,,5,S:8AM-8PM,34983,01,,,ST LUCIE,1148,0,1,1,,,,2,74,-1,2,8,8,15AUG23:08:29,,,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124014,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124015,1,3.00,,2,1,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124015,,5,S:8AM-8PM,33406,01,,,PALM BEACH,1213,0,1,1,,,,2,29,-1,1,8,8,15AUG23:08:29,,,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124015,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,5,36,59,12,1592020230124016,1,3.00,,9,9,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,O,wd,1592020230124,1,,1592020230124016,,5,S:8AM-8PM,11520,01,,,NASSAU,1227,0,1,1,,,,1,70,-1,2,8,8,15AUG23:08:29,,,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124016,03/03/2025
,,2023011253wdS:8AM-8PM,2023112531592020230124,2023,6,12,99,12,1592020230124017,1,3.00,,9,9,1,6,1448,1,3,2,1,,,0,0,0,0,1,,99,,,,Y,wd,1592020230124,1,,1592020230124017,,5,S:8AM-8PM,33414,01,,,PALM BEACH,1227,0,1,1,,,,1,69,-1,1,8,8,15AUG23:08:29,,,,,,,,6536.2017149,2023011253wdS:8AM-8PM,,0,1592020230124017,03/03/2025
