year,wave,st,sub_reg,mode_fx,area_x,species,Trips,SE,PSE
2001,4,24,5,6,5,atlantic croaker,2571.9924537499996,2571.992453749999,100
2001,4,24,5,7,5,atlantic croaker,54980.894057770005,14954.29536698286,27.2
2001,4,34,5,6,5,atlantic croaker,1042.3837340999999,1042.3837340999996,100
2001,4,34,5,7,1,atlantic croaker,7196.13268246,3666.0548896395917,50.9
2001,4,34,5,7,2,atlantic croaker,4853.910822,4853.9108220000035,100
2001,4,34,5,7,5,atlantic croaker,2912.8457424,2912.845742399999,100
2001,4,51,5,3,1,atlantic croaker,28401.544676500005,14848.294955940099,52.3
2001,4,51,5,3,5,atlantic croaker,50400.515856599995,18835.03298105179,37.4
2001,4,51,5,6,5,atlantic croaker,10468.747632782,4450.60973491418,42.5
2001,4,51,5,7,2,atlantic croaker,3686.8068014599994,2667.5208492657016,72.4
2001,4,51,5,7,5,atlantic croaker,114000.5134189601,21527.486870276094,18.9
2001,5,10,5,3,5,atlantic croaker,813.7893024199999,813.7893024199992,100
2001,5,10,5,6,1,atlantic croaker,192.01579094,134.6560928552962,70.1
2001,5,10,5,6,2,atlantic croaker,384.62649253199993,253.1535575937407,65.8
2001,5,10,5,6,5,atlantic croaker,180.49526025280002,159.81712717265734,88.5
2001,5,10,5,7,1,atlantic croaker,1305.9983645,1305.9983645,100
2001,5,10,5,7,2,atlantic croaker,578.29643606,578.2964360600001,100
2001,5,10,5,7,5,atlantic croaker,3592.80943344,1849.5644969068085,51.5
2001,5,24,5,7,5,atlantic croaker,14153.3530804,11807.740217304845,83.4
2001,5,34,5,3,1,atlantic croaker,11391.387895200001,8054.927627822273,70.7
2001,5,34,5,3,5,atlantic croaker,8989.1013491,8989.1013491,100
2001,5,34,5,6,1,atlantic croaker,444.37955199,330.97191601930234,74.5
2001,5,34,5,6,2,atlantic croaker,306.891718371,262.71770047800356,85.6
2001,5,34,5,6,5,atlantic croaker,471.28019291999993,471.28019292,100
2001,5,51,5,3,1,atlantic croaker,3526.8932193,3526.8932192999982,100
2001,5,51,5,3,5,atlantic croaker,16192.911855400002,8508.600771446265,52.5
2001,5,51,5,6,5,atlantic croaker,1846.1179023799998,981.66110172008,53.2
2001,5,51,5,7,1,atlantic croaker,241.52547334999997,241.52547334999983,100
2001,5,51,5,7,2,atlantic croaker,492.3339053000001,492.3339053000004,100
2001,5,51,5,7,5,atlantic croaker,33678.43943226,9719.334090921586,28.9
2001,6,10,5,7,1,atlantic croaker,1832.86477027,1197.7408220900268,65.3
2001,6,10,5,7,2,atlantic croaker,830.83859554,830.8385955399998,100
2001,6,10,5,7,5,atlantic croaker,902.8555471699999,902.8555471699998,100
2001,6,24,5,3,5,atlantic croaker,18736.9895298,18736.9895298,100
2001,6,51,5,3,5,atlantic croaker,4731.410263,4731.410262999999,100
2001,6,51,5,7,5,atlantic croaker,1174.47393187,1174.4739318700008,100
2002,2,10,5,6,2,atlantic croaker,2.2090059901,2.2090059900999997,100
2002,2,24,5,3,5,atlantic croaker,3630.636032,3630.636031999999,100
2002,2,51,5,3,5,atlantic croaker,47163.6531904,19861.83871292487,42.1
2002,2,51,5,7,5,atlantic croaker,25420.227394100002,10075.832041240046,39.6
2002,3,10,5,7,5,atlantic croaker,642.70868295,642.7086829500001,100
2002,3,24,5,3,5,atlantic croaker,65236.493,22403.904368077103,34.3
2002,3,24,5,7,5,atlantic croaker,43915.008551440005,11994.867521732376,27.3
2002,3,34,5,3,5,atlantic croaker,31670.153252,31670.153252,100
2002,3,51,5,3,1,atlantic croaker,11017.8326714,11017.832671399996,100
2002,3,51,5,3,5,atlantic croaker,42918.225298699996,18103.806057365222,42.2
2002,3,51,5,6,5,atlantic croaker,383.89282827600005,249.02234379692104,64.9
2002,3,51,5,7,1,atlantic croaker,1576.1780261200001,1150.0068823361778,73
2002,3,51,5,7,2,atlantic croaker,3060.0911612,3060.0911612000023,100
2002,3,51,5,7,5,atlantic croaker,173612.18992476002,36322.468038553205,20.9
2002,4,10,5,3,5,atlantic croaker,1267.46339924,897.730734651252,70.8
2002,4,10,5,6,5,atlantic croaker,75.908714482,75.90871448200002,100
2002,4,10,5,7,5,atlantic croaker,7891.508301150001,4013.096366142465,50.9
2002,4,24,5,3,1,atlantic croaker,5784.9011614,3235.0054700804044,55.9
2002,4,24,5,3,5,atlantic croaker,9667.9322892,9667.932289199998,100
2002,4,24,5,6,5,atlantic croaker,102.18007411,102.18007411,100
2002,4,24,5,7,5,atlantic croaker,42684.59972676001,8921.350073661068,20.9
2002,4,51,5,3,1,atlantic croaker,2262.0352113,2262.035211300001,100
2002,4,51,5,3,5,atlantic croaker,38807.2913255,15675.839531428828,40.4
2002,4,51,5,6,5,atlantic croaker,1110.0552113152,545.1817405386381,49.1
2002,4,51,5,7,1,atlantic croaker,170.54442924,170.54442923999991,100
2002,4,51,5,7,5,atlantic croaker,147337.40882431998,28107.994678346542,19.1
2002,5,10,5,3,5,atlantic croaker,1277.31747213,952.0562321769579,74.5
2002,5,10,5,6,1,atlantic croaker,180.12416119,180.12416118999994,100
2002,5,10,5,6,2,atlantic croaker,262.0815815,0,0
2002,5,10,5,7,5,atlantic croaker,3781.93134087,3411.0328622148404,90.2
2002,5,24,5,3,5,atlantic croaker,3721.7771225799997,2631.815033409017,70.7
2002,5,24,5,7,1,atlantic croaker,6431.188374599999,6431.188374599996,100
2002,5,24,5,7,2,atlantic croaker,2113.3634571,2113.363457099998,100
2002,5,24,5,7,5,atlantic croaker,17509.21107082,10082.656219917862,57.6
2002,5,34,5,3,1,atlantic croaker,8596.978744,8596.978744000002,100
2002,5,34,5,7,1,atlantic croaker,6056.697426199999,4489.184616060875,74.1
2002,5,34,5,7,2,atlantic croaker,1946.8768498000002,1946.8768498000002,100
2002,5,34,5,7,5,atlantic croaker,4762.3839977,3368.2812202607593,70.7
2002,5,51,5,3,1,atlantic croaker,11197.42612,11197.426119999996,100
2002,5,51,5,3,5,atlantic croaker,17613.5369229,9749.103785845029,55.4
2002,5,51,5,6,2,atlantic croaker,523.35343048,523.35343048,100
2002,5,51,5,7,1,atlantic croaker,629.23003572,444.9328251838657,70.7
2002,5,51,5,7,5,atlantic croaker,32471.759808379997,9891.154672322285,30.5
2003,2,51,5,3,5,atlantic croaker,63011.66504169999,14432.38176947478,22.9
2003,2,51,5,7,5,atlantic croaker,49853.8343963,22452.053062384886,45
2003,3,10,5,3,5,atlantic croaker,736.106643,736.1066429999997,100
2003,3,10,5,7,5,atlantic croaker,613.33563642,437.3586302580452,71.3
2003,3,24,5,3,5,atlantic croaker,134272.0294588,61929.549976944254,46.1
2003,3,24,5,7,5,atlantic croaker,37391.93743697,11948.22281475883,32
2003,3,51,5,3,5,atlantic croaker,69138.4194832,19898.68982585536,28.8
2003,3,51,5,6,2,atlantic croaker,58.073785828,58.07378582800001,100
2003,3,51,5,6,5,atlantic croaker,1923.443841883,755.6852867655267,39.3
2003,3,51,5,7,5,atlantic croaker,217978.20156462016,44199.22210766663,20.3
2003,4,10,5,3,5,atlantic croaker,4151.35645378,2809.514272461805,67.7
2003,4,10,5,6,2,atlantic croaker,45.972835114,45.97283511400001,100
2003,4,10,5,6,5,atlantic croaker,378.69774887259996,239.19961827103097,63.2
2003,4,10,5,7,5,atlantic croaker,5395.018105680001,3070.4504218053025,56.9
2003,4,24,5,3,5,atlantic croaker,20473.439813999998,12773.3582689423,62.4
2003,4,24,5,6,5,atlantic croaker,251.28744928,251.28744928000006,100
2003,4,24,5,7,5,atlantic croaker,55337.416998700035,12515.69587835199,22.6
2003,4,34,5,3,5,atlantic croaker,13221.254498,13221.254497999998,100
2003,4,34,5,6,5,atlantic croaker,48.424234719,48.42423471899998,100
2003,4,51,5,3,1,atlantic croaker,4736.140732,4736.140732000001,100
2003,4,51,5,3,5,atlantic croaker,102431.90094580001,42644.74119529758,41.6
2003,4,51,5,6,1,atlantic croaker,822.8389020299999,822.83890203,100
2003,4,51,5,6,5,atlantic croaker,2809.324456342301,1225.5606345292297,43.6
2003,4,51,5,7,1,atlantic croaker,6582.658961919999,3354.436812839461,51
2003,4,51,5,7,5,atlantic croaker,164264.64997748006,30831.59141465323,18.8
2003,5,10,5,3,5,atlantic croaker,5180.399164320001,3500.7237992440146,67.6
2003,5,10,5,6,1,atlantic croaker,43.9934148794,31.357174751685832,71.3
2003,5,10,5,6,2,atlantic croaker,40.04860171,40.04860170999999,100
2003,5,10,5,6,5,atlantic croaker,92.156874761,82.57786379132943,89.6
2003,5,10,5,7,2,atlantic croaker,4543.5646673,2176.2530510506435,47.9
2003,5,10,5,7,5,atlantic croaker,1885.77101328,1235.7969228574561,65.5
2003,5,24,5,3,5,atlantic croaker,6932.6332488,6932.633248800002,100
2003,5,24,5,6,2,atlantic croaker,359.04081605399995,299.0986251567646,83.3
2003,5,24,5,6,5,atlantic croaker,101.28204212,101.28204212000001,100
2003,5,24,5,7,5,atlantic croaker,5644.489861000001,4293.003622207318,76.1
2003,5,34,5,3,1,atlantic croaker,3609.3554814,3609.3554814000017,100
2003,5,34,5,7,1,atlantic croaker,1683.5356747,1683.5356747000003,100
2003,5,34,5,7,2,atlantic croaker,3156.4683641,3156.4683641000024,100
2003,5,34,5,7,5,atlantic croaker,2242.1798006,2242.1798006,100
2003,5,51,5,3,5,atlantic croaker,22752.262296399997,11263.853345289632,49.5
2003,5,51,5,7,5,atlantic croaker,27432.5723608,7489.537224073429,27.3
2003,6,10,5,3,5,atlantic croaker,871.22412778,871.2241277799999,100
2003,6,10,5,7,5,atlantic croaker,393.84509997000004,393.84509997,100
2003,6,51,5,7,5,atlantic croaker,5477.5457456,3757.5653816950744,68.6
2004,2,24,5,7,5,atlantic croaker,2556.757158,2556.757158,100
2004,2,51,5,3,5,atlantic croaker,96913.99298997001,47856.312917820585,49.4
2004,2,51,5,7,5,atlantic croaker,24508.691851700005,21935.70708154863,89.5
2004,3,10,5,3,5,atlantic croaker,784.2781156500001,784.2781156500001,100
2004,3,10,5,7,5,atlantic croaker,1365.4922954200001,1365.49229542,100
2004,3,24,5,3,5,atlantic croaker,41928.1700043,24685.248154862955,58.9
2004,3,24,5,7,5,atlantic croaker,98005.4134629,47631.93639889931,48.6
2004,3,51,5,3,5,atlantic croaker,34933.6731845,25213.631986097487,72.2
2004,3,51,5,4,5,atlantic croaker,503.70446451569995,210.50727956663735,41.8
2004,3,51,5,7,1,atlantic croaker,480.83502238,480.83502238,100
2004,3,51,5,7,5,atlantic croaker,222325.37557515,68896.94051520288,31
2004,4,10,5,3,1,atlantic croaker,2764.4598941,2764.4598941,100
2004,4,10,5,3,5,atlantic croaker,3390.80726503,2647.9566364603647,78.1
2004,4,10,5,5,2,atlantic croaker,189.68999868,189.68999868,100
2004,4,10,5,7,5,atlantic croaker,12190.9572102,5791.529415524171,47.5
2004,4,24,5,3,5,atlantic croaker,48794.273796199996,27564.01507324819,56.5
2004,4,24,5,4,2,atlantic croaker,3.8954279879000007,3.8954279879000002,100
2004,4,24,5,4,5,atlantic croaker,104.41372323600001,73.96712278364706,70.8
2004,4,24,5,7,5,atlantic croaker,53223.967939250004,15507.985865691347,29.1
2004,4,34,5,5,5,atlantic croaker,18534.8251492,18534.8251492,100
2004,4,34,5,7,1,atlantic croaker,4437.0384518,4437.038451799999,100
2004,4,34,5,7,2,atlantic croaker,2030.5526797000002,2030.5526797,100
2004,4,34,5,7,5,atlantic croaker,1767.35886002,1767.35886002,100
2004,4,51,5,3,1,atlantic croaker,5739.1524577,3253.063422719688,56.7
2004,4,51,5,3,5,atlantic croaker,164253.0976348,84856.73111725654,51.7
2004,4,51,5,4,1,atlantic croaker,89.2402881439,71.07908587509682,79.6
2004,4,51,5,4,5,atlantic croaker,691.8569060721,342.7243270867753,49.5
2004,4,51,5,7,1,atlantic croaker,1534.6367543,1534.6367543000001,100
2004,4,51,5,7,5,atlantic croaker,250785.64331284998,101400.94099138374,40.4
2004,5,10,5,3,1,atlantic croaker,1398.6297779,1398.6297778999997,100
2004,5,10,5,3,5,atlantic croaker,1003.5584737099998,721.0366357274871,71.8
2004,5,10,5,5,2,atlantic croaker,214.707565652,196.29682764395255,91.4
2004,5,10,5,5,5,atlantic croaker,47.3523194308,33.55041077214169,70.9
2004,5,10,5,7,2,atlantic croaker,391.75398316,391.75398316,100
2004,5,24,5,4,2,atlantic croaker,15.0561231294,15.056123129399998,100
2004,5,24,5,4,5,atlantic croaker,1.3072667534,1.3072667533999998,100
2004,5,24,5,7,5,atlantic croaker,3439.52121221,2798.6846228394334,81.4
2004,5,34,5,3,1,atlantic croaker,13958.8572079,10813.474525580681,77.5
2004,5,34,5,3,5,atlantic croaker,15659.9729052,15659.972905200004,100
2004,5,34,5,4,5,atlantic croaker,247.7195018065,194.38261825873462,78.5
2004,5,34,5,7,1,atlantic croaker,1226.8971371799998,920.7528583301473,75
2004,5,34,5,7,2,atlantic croaker,675.70071636,675.7007163599999,100
2004,5,34,5,7,5,atlantic croaker,2186.6365066,2186.6365066000026,100
2004,5,51,5,3,5,atlantic croaker,11203.16143963,10459.139995868054,93.4
2004,5,51,5,4,5,atlantic croaker,4.2629782441,1.915814613607577,44.9
2004,5,51,5,7,5,atlantic croaker,39262.3905446,14999.902127978428,38.2
2004,6,10,5,3,5,atlantic croaker,18605.47549687,16129.257384549826,86.7
2004,6,51,5,3,5,atlantic croaker,4248.4469836,3081.847255512925,72.5
2005,2,51,5,3,5,atlantic croaker,71206.5359145,48960.41453555093,68.8
2005,2,51,5,7,5,atlantic croaker,23372.5508702,23372.5508702,100
2005,3,10,5,3,1,atlantic croaker,2775.7354976,2775.7354976,100
2005,3,24,5,3,5,atlantic croaker,31127.8060956,18424.073106533215,59.2
2005,3,24,5,5,5,atlantic croaker,10262.1185783,10262.1185783,100
2005,3,24,5,7,5,atlantic croaker,28845.310140899997,17085.32774953632,59.2
2005,3,51,5,3,1,atlantic croaker,1748.6442157,1748.6442157,100
2005,3,51,5,3,5,atlantic croaker,94780.0965599,50393.10688291287,53.2
2005,3,51,5,4,2,atlantic croaker,45.934008655599996,41.256878501813354,89.8
2005,3,51,5,4,5,atlantic croaker,210.2007907528,91.63803384714069,43.6
2005,3,51,5,7,5,atlantic croaker,177015.91191147006,41369.08273960044,23.4
2005,4,10,5,3,1,atlantic croaker,4948.22219,4948.22219,100
2005,4,10,5,3,5,atlantic croaker,16882.78625944,8029.894376375726,47.6
2005,4,10,5,4,2,atlantic croaker,1.1599644892,1.0070429300782535,86.8
2005,4,10,5,4,5,atlantic croaker,1449.6276880746002,900.6234960119058,62.1
2005,4,10,5,5,2,atlantic croaker,93.933525936,75.38381267201834,80.3
2005,4,10,5,5,5,atlantic croaker,1207.9474846680002,677.5480338224485,56.1
2005,4,10,5,7,1,atlantic croaker,5819.85102412,5075.117851304031,87.2
2005,4,10,5,7,5,atlantic croaker,27108.646286454008,8036.860283149863,29.6
2005,4,24,5,3,1,atlantic croaker,3690.33810905,2609.474491211181,70.7
2005,4,24,5,3,5,atlantic croaker,21805.873543,21805.873543,100
2005,4,24,5,4,5,atlantic croaker,79.3004820868,42.66153029034944,53.8
2005,4,24,5,5,5,atlantic croaker,1344.3719377239997,1032.6396368904504,76.8
2005,4,24,5,7,5,atlantic croaker,34663.926709659994,13042.117637627915,37.6
2005,4,34,5,4,5,atlantic croaker,402.4544495588,225.53207255653697,56
2005,4,34,5,5,2,atlantic croaker,61.342458293,61.34245829300002,100
2005,4,34,5,7,5,atlantic croaker,31892.266191000002,16693.99646597132,52.3
2005,4,51,5,3,5,atlantic croaker,80620.6592073,41732.51417764397,51.8
2005,4,51,5,4,5,atlantic croaker,389.9686129410001,118.68082327310016,30.4
2005,4,51,5,5,5,atlantic croaker,44.451485522,36.605692778261755,82.3
2005,4,51,5,7,5,atlantic croaker,231318.93558286995,59361.993863009906,25.7
2005,5,10,5,3,1,atlantic croaker,1924.4814143,1924.4814143,100
2005,5,10,5,3,5,atlantic croaker,12670.52564411,7448.996883060611,58.8
2005,5,10,5,4,1,atlantic croaker,105.326125964,70.76849442138204,67.2
2005,5,10,5,4,5,atlantic croaker,76.06846939040001,70.18602997552198,92.3
2005,5,10,5,5,1,atlantic croaker,67.6782523905,52.22757744743744,77.2
2005,5,10,5,5,5,atlantic croaker,13.4367221508,13.436722150799996,100
2005,5,10,5,7,1,atlantic croaker,2627.7158935,2627.7158934999998,100
2005,5,10,5,7,5,atlantic croaker,6906.50997696,3566.011380395099,51.6
2005,5,24,5,4,2,atlantic croaker,9.246294211,9.246294211,100
2005,5,24,5,4,5,atlantic croaker,18.1162194421,13.093013357626285,72.3
2005,5,24,5,7,5,atlantic croaker,6067.505659279999,4215.521934642264,69.5
2005,5,34,5,3,5,atlantic croaker,12984.115199,12984.115198999998,100
2005,5,34,5,4,1,atlantic croaker,244.948332443,244.94833244300008,100
2005,5,34,5,7,5,atlantic croaker,7106.8254213,7106.825421299996,100
2005,5,51,5,4,5,atlantic croaker,43.6877983506,28.309886377332383,64.8
2005,5,51,5,7,5,atlantic croaker,27486.368852479998,14735.54760164185,53.6
2005,6,10,5,3,5,atlantic croaker,7707.33021495,4158.887122316795,54
2005,6,34,5,7,5,atlantic croaker,3705.3931392,3705.393139199999,100
2005,6,51,5,4,5,atlantic croaker,1.6085406217,1.6085406216999998,100
2006,2,10,5,4,2,atlantic croaker,20.052372506,20.052372505999998,100
2006,2,24,5,7,5,atlantic croaker,11212.7585408,11212.758540800001,100
2006,2,51,5,3,5,atlantic croaker,71662.48931640001,32345.6243266778,45.1
2006,2,51,5,7,5,atlantic croaker,70123.8127026,67290.600271576,96
2006,3,10,5,3,5,atlantic croaker,972.44022994,972.4402299400002,100
2006,3,10,5,7,5,atlantic croaker,469.02447108999996,469.02447108999996,100
2006,3,24,5,3,5,atlantic croaker,33605.7722595,28194.362785422294,83.9
2006,3,24,5,5,5,atlantic croaker,853.8013112,853.8013112000003,100
2006,3,24,5,7,5,atlantic croaker,82954.02998873999,38809.03191692376,46.8
2006,3,51,5,3,5,atlantic croaker,134395.034823,79759.85722402885,59.3
2006,3,51,5,4,5,atlantic croaker,143.9269660143,68.84756141112098,47.8
2006,3,51,5,7,5,atlantic croaker,187306.88993425007,75220.76583015204,40.2
2006,4,10,5,3,1,atlantic croaker,2408.7384479800003,1606.525149033485,66.7
2006,4,10,5,3,5,atlantic croaker,7085.098907699998,3007.6657751567213,42.5
2006,4,10,5,4,5,atlantic croaker,494.38930815320003,213.38159366231574,43.2
2006,4,10,5,5,1,atlantic croaker,540.839018178,540.8390181780002,100
2006,4,10,5,5,2,atlantic croaker,16.6607758472,16.6607758472,100
2006,4,10,5,5,5,atlantic croaker,299.361197996,172.01625306620028,57.5
2006,4,10,5,7,1,atlantic croaker,4501.44037837,3734.7264807376127,83
2006,4,10,5,7,5,atlantic croaker,19628.709116879996,4604.142458101095,23.5
2006,4,24,5,4,5,atlantic croaker,138.798690733,117.79216849471474,84.9
2006,4,24,5,5,5,atlantic croaker,565.28582264,565.2858226399999,100
2006,4,24,5,7,5,atlantic croaker,36872.9274604,17614.520243866424,47.8
2006,4,34,5,4,1,atlantic croaker,433.53254740400007,433.5325474040001,100
2006,4,34,5,4,2,atlantic croaker,42.649884894,42.64988489400001,100
2006,4,34,5,4,5,atlantic croaker,250.45055585,250.45055584999992,100
2006,4,34,5,5,5,atlantic croaker,127.77352405999999,127.77352406000001,100
2006,4,34,5,7,5,atlantic croaker,10573.9545466,10573.954546599995,100
2006,4,51,5,3,5,atlantic croaker,62012.287841,52174.146819045025,84.1
2006,4,51,5,4,5,atlantic croaker,21.117064555200002,21.117064555200006,100
2006,4,51,5,7,2,atlantic croaker,14404.760482999998,14404.760482999996,100
2006,4,51,5,7,5,atlantic croaker,131850.12191299998,52212.75141927729,39.6
2006,5,10,5,3,1,atlantic croaker,1175.5856754,1175.5856753999997,100
2006,5,10,5,3,5,atlantic croaker,3334.12307787,2781.974293278809,83.4
2006,5,10,5,4,1,atlantic croaker,12.357006994,12.357006993999999,100
2006,5,10,5,4,5,atlantic croaker,12.1310004481,6.873073047999884,56.7
2006,5,10,5,5,1,atlantic croaker,73.4860734668,42.114814342155256,57.3
2006,5,10,5,5,5,atlantic croaker,4.6493242129,4.649324212900001,100
2006,5,10,5,7,1,atlantic croaker,1345.91555742,1345.9155574199997,100
2006,5,10,5,7,2,atlantic croaker,445.46593406,445.46593406,100
2006,5,10,5,7,5,atlantic croaker,7654.229749109999,3669.921859434945,47.9
2006,5,24,5,4,2,atlantic croaker,21.759270704,21.759270704000006,100
2006,5,24,5,4,5,atlantic croaker,0.2580985775,0.2580985775,100
2006,5,24,5,7,1,atlantic croaker,17246.855752800002,17246.855752800002,100
2006,5,24,5,7,5,atlantic croaker,326.30165401,326.30165400999994,100
2006,5,34,5,5,2,atlantic croaker,94.808637238,94.80863723800002,100
2006,5,34,5,7,1,atlantic croaker,10495.554556,10495.554556000008,100
2006,5,34,5,7,2,atlantic croaker,2941.1501214,2941.1501214000004,100
2006,5,51,5,4,5,atlantic croaker,5.2231496145000005,4.125848310589672,79
2006,5,51,5,7,5,atlantic croaker,16438.258330599998,8156.285468695572,49.6
2006,6,10,5,3,5,atlantic croaker,2572.0159831,2572.0159831000005,100
2006,6,10,5,7,5,atlantic croaker,604.57034783,604.5703478300001,100
2007,2,24,5,7,5,atlantic croaker,6305.7901866,6305.7901866,100
2007,2,51,5,3,5,atlantic croaker,24685.908381100002,11270.294741712618,45.7
2007,2,51,5,4,5,atlantic croaker,5.9588367514,3.5075761563939643,58.9
2007,2,51,5,7,5,atlantic croaker,15863.014223099999,8073.60790803303,50.9
2007,3,10,5,3,5,atlantic croaker,780.4234758800001,780.4234758800002,100
2007,3,24,5,3,5,atlantic croaker,6763.7675163,6763.767516300001,100
2007,3,24,5,4,5,atlantic croaker,104.05823659699999,104.058236597,100
2007,3,24,5,7,5,atlantic croaker,47702.556759700004,22929.690491068293,48.1
2007,3,34,5,3,5,atlantic croaker,55673.801736,55673.80173600001,100
2007,3,51,5,3,5,atlantic croaker,114683.41009289998,42395.71579486109,37
2007,3,51,5,4,1,atlantic croaker,60.727716714,60.72771671400001,100
2007,3,51,5,4,5,atlantic croaker,1046.6271419928,254.5770124668657,24.3
2007,3,51,5,7,1,atlantic croaker,1172.642136,1172.6421360000018,100
2007,3,51,5,7,2,atlantic croaker,2084.1689876,2084.168987600005,100
2007,3,51,5,7,5,atlantic croaker,225201.43854956998,59838.53732367733,26.6
2007,4,10,5,3,5,atlantic croaker,9597.30923854,4615.671395649004,48.1
2007,4,10,5,4,1,atlantic croaker,36.214377441,36.214377441,100
2007,4,10,5,4,5,atlantic croaker,2796.6347244019994,1182.828871493315,42.3
2007,4,10,5,5,5,atlantic croaker,398.96259064,398.96259064,100
2007,4,10,5,7,5,atlantic croaker,11095.73645222,5045.748451520839,45.5
2007,4,24,5,3,5,atlantic croaker,24516.415241939998,19035.43978303706,77.6
2007,4,24,5,4,5,atlantic croaker,147.146557535,104.06356725077796,70.7
2007,4,24,5,5,5,atlantic croaker,269.32234588,269.32234588,100
2007,4,24,5,7,5,atlantic croaker,76337.34602934998,30124.981373112176,39.5
2007,4,34,5,3,5,atlantic croaker,48411.976800000004,33234.12389425689,68.6
