PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DATE1,DIST,MODE2001,AREA_NC,COMPFLAG,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,TAUTOG,20056498411we,117002005110511643,2005,4,25,13,9,11,643,6,4,C,5,7,0,0,0,1,1,1,0,0,1,40,2,1170020051105004,4,6,2,1,0,8,O,1,1170020051105,6,11,we,1170020051105001,1,,,,1306,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,53.233751384,20056498411we,,0,1170020051105004,8,01028,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,0,0,1,1,1,1,0,1,40,2,1170020051105005,4,6,1,1,0,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1310,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105005,8,06010,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,5,9,11,643,6,4,C,5,7,0,15,2,1,1,0,0,0,1,40,2,1170020051105006,4,6,2,1,9,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,LITCHFIELD,1312,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105006,8,06790,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,0,0,1,1,0,2,0,1,40,2,1170020051105007,4,6,1,1,3,8,Y,1,1170020051105,6,11,we,1170020051105001,1,2,0,HARTFORD,1316,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105007,8,06040,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,20,7,1,1,0,0,0,1,40,2,1170020051105008,4,6,2,1,4,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1319,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105008,8,06053,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,13,9,11,643,6,4,C,5,7,0,1,0,1,1,0,0,0,1,40,2,1170020051105009,4,6,2,1,4,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,TOLLAND,1320,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105009,8,06041,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,5,9,11,643,6,4,C,5,7,0,12,4,1,1,1,0,0,1,40,2,1170020051105010,4,6,2,1,0,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,LITCHFIELD,1321,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105010,8,06708,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,4,4,1,1,0,1,0,1,40,2,1170020051105011,4,6,1,1,4,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1324,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105011,8,06753,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,11,9,11,643,6,4,C,5,7,0,50,8,1,1,2,0,0,1,40,2,1170020051105012,4,6,2,1,0,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,NEW LONDON,1326,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105012,8,06320,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,5,9,11,643,6,4,C,5,7,0,6,3,1,1,2,1,0,1,40,2,1170020051105013,4,6,1,1,0,8,Y,1,1170020051105,6,11,we,1170020051105001,1,1,0,LITCHFIELD,1328,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105013,8,06795,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,20,20,1,1,0,0,0,1,40,2,1170020051105014,4,6,2,1,5,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1330,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105014,8,06053,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,9,9,11,643,6,4,C,5,7,0,20,1,1,1,1,1,0,1,40,2,1170020051105015,4,6,1,1,0,8,Y,1,1170020051105,6,11,we,1170020051105001,1,1,0,NEW HAVEN,1333,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105015,8,06443,03/03/2025
,TAUTOG,20056498411we,117002005110511643,2005,4,9,3,9,11,643,6,4,C,5,7,0,0,0,1,1,1,0,0,1,40,2,1170020051105016,4,6,2,1,0,8,Y,1,1170020051105,6,11,we,1170020051105001,1,,,HARTFORD,1338,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,37.293038015,20056498411we,,0,1170020051105016,8,06010,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,20,8,1,1,0,0,0,0,19,1,1170520051112001,4,6,2,1,5,6,Y,1,1170520051112,6,11,we,1170520051112001,1,0,1,FAIRFIELD,1215,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112001,8,06804,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,9,9,1,63,6,4,C,5,5,0,90,24,1,1,0,0,0,1,19,2,1170520051112002,4,6,2,1,2,6,Y,1,1170520051112,6,11,we,1170520051112001,1,,,NEW HAVEN,1216,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112002,8,06512,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,5,34,3,9,1,63,6,4,C,5,5,0,15,6,1,1,0,2,0,1,19,2,1170520051112003,4,6,1,1,8,6,O,1,1170520051112,6,11,we,1170520051112001,1,2,0,BERGEN,1218,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,25.286031908,20056498411we,,0,1170520051112003,8,07656,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,30,12,1,1,0,5,0,1,19,2,1170520051112004,4,6,1,1,4,6,Y,1,1170520051112,6,11,we,1170520051112001,1,,,FAIRFIELD,1220,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112004,8,06854,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,20,8,1,1,0,1,0,1,19,2,1170520051112005,4,6,1,1,5,6,Y,1,1170520051112,6,11,we,1170520051112001,1,1,0,FAIRFIELD,1222,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112005,8,06902,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,60,10,1,1,0,0,0,1,19,2,1170520051112006,4,6,2,1,1,6,Y,1,1170520051112,6,11,we,1170520051112001,1,,,FAIRFIELD,1224,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112006,8,06606,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,5,36,27,9,1,63,6,4,C,5,5,0,25,4,1,1,0,2,0,1,19,2,1170520051112007,4,6,1,1,10,6,O,1,1170520051112,6,11,we,1170520051112001,1,2,0,,1226,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,25.286031908,20056498411we,,0,1170520051112007,8,12590,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,5,36,5,9,1,63,6,4,C,5,5,0,0,0,1,1,0,0,0,1,19,2,1170520051112008,4,6,2,1,5,6,O,1,1170520051112,6,11,we,1170520051112001,1,,,BRONX,1228,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,25.286031908,20056498411we,,0,1170520051112008,8,10051,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,5,9,1,63,6,4,C,5,5,0,4,2,1,1,0,1,0,1,19,2,1170520051112009,4,6,1,1,5,6,Y,1,1170520051112,6,11,we,1170520051112001,1,1,0,LITCHFIELD,1230,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112009,8,06776,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,96,16,1,1,0,1,0,1,19,2,1170520051112010,4,6,1,1,3,6,Y,1,1170520051112,6,11,we,1170520051112001,1,1,0,FAIRFIELD,1232,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112010,8,06604,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,75,8,1,1,0,3,0,1,19,2,1170520051112011,4,6,1,1,7,6,Y,1,1170520051112,6,11,we,1170520051112001,1,3,0,FAIRFIELD,1234,,1,1,8,2,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112011,8,06897,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,50,20,1,1,0,1,0,1,19,2,1170520051112012,4,6,1,1,6,6,Y,1,1170520051112,6,11,we,1170520051112001,1,1,0,FAIRFIELD,1236,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112012,8,06902,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,5,36,119,9,1,63,6,4,C,5,5,0,0,0,1,1,0,4,0,1,19,2,1170520051112013,4,6,1,1,4,6,O,1,1170520051112,6,11,we,1170520051112001,1,4,0,WESTCHESTER,1238,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,25.286031908,20056498411we,,0,1170520051112013,8,10530,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,30,8,1,1,0,2,0,1,19,2,1170520051112014,4,6,1,1,13,6,Y,1,1170520051112,6,11,we,1170520051112001,1,2,0,FAIRFIELD,1240,,1,1,8,1,1,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112014,8,06810,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,9,1,9,1,63,6,4,C,5,5,0,50,7,1,1,0,0,0,1,19,2,1170520051112015,4,6,2,1,3,6,Y,1,1170520051112,6,11,we,1170520051112001,1,,,FAIRFIELD,1242,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,17.714193057,20056498411we,,0,1170520051112015,8,06829,03/03/2025
,TAUTOG,20056498411we,1170520051112163,2005,4,25,21,9,1,63,6,4,C,5,5,0,0,0,1,1,0,0,0,1,19,2,1170520051112016,4,6,2,1,2,6,O,1,1170520051112,6,11,we,1170520051112001,1,,,NORFOLK,1244,,1,1,8,1,8,,20060403,8,6,,1,,,8839010101,,25.286031908,20056498411we,,0,1170520051112016,8,02184,03/03/2025
,TAUTOG,20056498511we,117002005110611651,2005,4,9,11,9,11,651,7,5,C,5,4,0,8,3,1,1,3,0,0,0,6,1,1170020051106001,4,6,2,1,0,6,Y,1,1170020051106,5,11,we,1170020051106001,1,,,NEW LONDON,1208,,1,1,8,1,8,,20060403,8,7,,,,,8839010101,,0.2594497377,20056498511we,,0,1170020051106001,8,06334,03/03/2025
,TAUTOG,20056498511we,117002005110611651,2005,4,9,11,9,11,651,7,5,C,5,4,0,0,0,1,1,2,0,0,1,6,2,1170020051106002,4,6,2,1,0,6,Y,1,1170020051106,5,11,we,1170020051106001,1,,,NEW LONDON,1209,,1,1,8,1,8,,20060403,8,7,,,,,8839010101,,0.2594497377,20056498511we,,0,1170020051106002,8,06360,03/03/2025
,TAUTOG,20056498511wd,117042005111111651,2005,4,9,7,9,11,651,7,5,C,5,4.5,0,4,2,1,1,2,0,0,0,6,1,1170420051111001,4,6,2,1,0,5,Y,1,1170420051111,2,11,wd,1170420051111001,1,0,4,MIDDLESEX,1105,,1,1,8,1,8,,20060403,8,7,,,,,8839010101,,11.313052406,20056498511wd,,0,1170420051111001,8,,03/03/2025
,TAUTOG,20056498511wd,117042005111111651,2005,4,9,7,9,11,651,7,5,C,5,4.5,0,0,0,1,1,2,0,0,1,6,2,1170420051111002,4,6,2,1,0,5,Y,1,1170420051111,2,11,wd,1170420051111001,1,0,4,MIDDLESEX,1106,,1,1,8,2,8,,20060403,8,7,,,,,8839010101,,11.313052406,20056498511wd,,0,1170420051111002,8,,03/03/2025
,TAUTOG,20056498511wd,117042005111111651,2005,4,9,7,9,11,651,7,5,C,5,4.5,0,0,0,1,1,2,0,0,1,6,2,1170420051111003,4,6,2,1,0,5,Y,1,1170420051111,2,11,wd,1170420051111001,1,0,4,MIDDLESEX,1107,,1,1,8,2,8,,20060403,8,7,,,,,8839010101,,11.313052406,20056498511wd,,0,1170420051111003,8,,03/03/2025
,TAUTOG,20056498511wd,117042005111111651,2005,4,9,9,9,11,651,7,5,C,5,4.5,0,0,0,1,1,2,0,0,1,6,2,1170420051111004,4,6,2,1,0,5,Y,1,1170420051111,2,11,wd,1170420051111001,1,0,4,NEW HAVEN,1108,,1,1,8,2,8,,20060403,8,7,,,,,8839010101,,11.313052406,20056498511wd,,0,1170420051111004,8,,03/03/2025
STRIPED BASS,TAUTOG,20056498511wd,11705200511017442,2005,4,9,1,9,7,442,7,5,C,5,3,0,4,1,1,1,3,0,0,0,4,1,1170520051101002,4,6,2,1,0,5,Y,1,1170520051101,5,11,wd,1170520051101002,1,0,1,FAIRFIELD,1305,,1,1,8,1,8,,20060403,8,7,,,,,8839010101,8835020102,0.7094020783,20056498511wd,,0,1170520051101002,8,06903,03/03/2025
STRIPED BASS,TAUTOG,20056498511wd,11705200511017442,2005,4,9,1,9,7,442,7,5,C,5,3,0,2,0,1,1,4,0,0,1,4,2,1170520051101003,4,6,2,1,0,5,Y,1,1170520051101,5,11,wd,1170520051101002,1,0,2,FAIRFIELD,1307,,1,1,8,2,8,,20060403,8,7,,,,,8839010101,8835020102,0.7094020783,20056498511wd,,0,1170520051101003,8,06840,03/03/2025
STRIPED BASS,TAUTOG,20056498511wd,11705200511017442,2005,4,9,1,9,7,442,7,5,C,5,3,0,2,0,1,1,3,0,0,1,4,2,1170520051101004,4,6,2,1,0,5,Y,1,1170520051101,5,11,wd,1170520051101002,1,0,1,FAIRFIELD,1309,,1,1,8,2,8,,20060403,8,7,,,,,8839010101,8835020102,0.7094020783,20056498511wd,,0,1170520051101004,8,06840,03/03/2025
STRIPED BASS,TAUTOG,20056498511wd,11705200511017442,2005,4,9,1,9,7,442,7,5,C,5,3,0,2,0,1,1,4,0,0,1,4,2,1170520051101005,4,6,2,1,0,5,Y,1,1170520051101,5,11,wd,1170520051101002,1,0,1,FAIRFIELD,1311,,1,1,8,2,8,,20060403,8,7,,,,,8839010101,8835020102,0.7094020783,20056498511wd,,0,1170520051101005,8,06840,03/03/2025
STRIPED BASS,BLUEFISH,20056498511wd,11705200511037442,2005,4,9,3,9,7,442,7,5,C,5,5,0,0,0,1,1,4,0,0,0,6,1,1170520051103003,4,6,2,1,0,5.5,Y,1,1170520051103,5,11,wd,1170520051103003,1,0,2,HARTFORD,1205,,1,1,8,1,8,,20060403,8,7,,,,,8835250101,8835020102,0.3783477751,20056498511wd,,0,1170520051103003,8,06118,03/03/2025
STRIPED BASS,BLUEFISH,20056498511wd,11705200511037442,2005,4,9,3,9,7,442,7,5,C,5,5,0,3,2,1,1,4,0,0,1,6,2,1170520051103004,4,6,2,1,0,5.5,Y,1,1170520051103,5,11,wd,1170520051103003,1,0,1,HARTFORD,1207,,1,1,8,1,8,,20060403,8,7,,,,,8835250101,8835020102,0.3783477751,20056498511wd,,0,1170520051103004,8,06040,03/03/2025
STRIPED BASS,BLUEFISH,20056498511wd,11705200511037442,2005,4,9,9,9,7,442,7,5,C,5,5,0,1,0,1,1,4,0,0,1,6,2,1170520051103005,4,6,2,1,0,5.5,Y,1,1170520051103,5,11,wd,1170520051103003,1,0,1,NEW HAVEN,1209,,1,1,8,1,8,,20060403,8,7,,,,,8835250101,8835020102,0.3783477751,20056498511wd,,0,1170520051103005,8,06451,03/03/2025
STRIPED BASS,BLUEFISH,20056498511wd,11705200511037442,2005,4,9,7,9,7,442,7,5,C,5,5,0,5,0,1,1,4,0,0,1,6,2,1170520051103006,4,6,2,1,0,5.5,Y,1,1170520051103,5,11,wd,1170520051103003,1,0,1,MIDDLESEX,1211,,1,1,8,1,8,,20060403,8,7,,,,,8835250101,8835020102,0.3783477751,20056498511wd,,0,1170520051103006,8,06455,03/03/2025
STRIPED BASS,BLUEFISH,20056498511wd,11705200511037442,2005,4,9,7,9,7,442,7,5,C,5,5,0,5,1,1,1,4,0,0,1,6,2,1170520051103007,4,6,2,1,0,5.5,Y,1,1170520051103,5,11,wd,1170520051103003,1,0,1,MIDDLESEX,1215,,1,1,8,1,8,,20060403,8,7,,,,,8835250101,8835020102,0.3783477751,20056498511wd,,0,1170520051103007,8,06457,03/03/2025
STRIPED BASS,BLUEFISH,20056498511wd,11705200511037442,2005,4,9,7,9,7,442,7,5,C,5,5,,998,98,1,1,0,0,0,1,6,2,1170520051103008,4,6,2,1,0,5.5,Y,1,1170520051103,5,11,wd,1170520051103003,,,,MIDDLESEX,1217,,1,1,8,2,8,,20060403,8,7,,,,,8835250101,8835020102,0.3783477751,20056498511wd,,0,1170520051103008,8,06457,03/03/2025
BLUEFISH,STRIPED BASS,20056498711we,117002005112711673,2005,4,9,11,9,11,673,8,7,C,5,2.5,0,22,8,1,1,1,0,0,0,3,1,1170020051127001,4,6,2,,0,3,Y,,1170020051127,3,11,we,1170020051127001,1,,,NEW LONDON,1300,,1,1,8,1,8,,20060403,8,8,,,,,8835020102,8835250101,18536.564462,20056498711we,,0,1170020051127001,8,06420,03/03/2025
,STRIPED BASS,20056498711we,11704200511057825,2005,4,25,13,9,7,825,8,7,C,5,5,0,20,8,1,2,2,6,0,0,2,1,1170420051105001,4,6,1,,0,5.5,O,,1170420051105,3,11,we,1170420051105001,1,4,0,,1045,,1,1,2,1,2,,20060403,8,8,,,,,8835020102,,2364.257399,20056498711we,,0,1170420051105001,8,01020,03/03/2025
,STRIPED BASS,20056498711we,11704200511057825,2005,4,25,13,9,7,825,8,7,C,5,5,0,20,8,1,0,2,0,1,1,2,2,1170420051105002,4,6,3,,0,5.5,O,,1170420051105,3,11,we,1170420051105001,1,,,,1046,,1,1,8,1,8,,20060403,8,8,,,,,8835020102,,2364.257399,20056498711we,,0,1170420051105001,8,01085,03/03/2025
,BLUEFISH,20056498711we,11704200511057825,2005,4,9,7,9,7,825,8,7,C,5,4,0,12,0,1,1,0,4,0,0,1,8,1170420051105003,4,6,1,,0,5,Y,,1170420051105,3,11,we,1170420051105003,1,4,0,MIDDLESEX,1110,,1,1,8,1,1,,20060403,8,8,,,,,8835250101,,2555.8058327,20056498711we,,0,1170420051105003,8,06475,03/03/2025
,STRIPED BASS,20056498711we,11704200511057825,2005,4,9,11,9,7,825,8,7,C,5,3,0,5,4,1,1,2,1,0,0,3,1,1170420051105004,4,6,1,,0,4,Y,,1170420051105,3,11,we,1170420051105004,1,1,1,NEW LONDON,1115,,1,1,8,1,1,,20060403,8,8,,,,,8835020102,,2555.8058327,20056498711we,,0,1170420051105004,8,06033,03/03/2025
,STRIPED BASS,20056498711we,11704200511057825,2005,4,9,11,9,7,825,8,7,C,5,3,0,5,4,1,1,1,0,0,1,3,2,1170420051105005,4,6,2,,0,4,Y,,1170420051105,3,11,we,1170420051105004,1,,,NEW LONDON,1116,,1,1,8,2,8,,20060403,8,8,,,,,8835020102,,2555.8058327,20056498711we,,0,1170420051105005,8,06415,03/03/2025
,STRIPED BASS,20056498711we,11704200511057825,2005,4,9,11,9,7,825,8,7,C,5,3,0,2,1,1,1,1,0,0,1,3,2,1170420051105006,4,6,2,,0,4,Y,,1170420051105,3,11,we,1170420051105004,1,,,NEW LONDON,1117,,1,1,8,2,8,,20060403,8,8,,,,,8835020102,,2555.8058327,20056498711we,,0,1170420051105006,8,06037,03/03/2025
,,20056498711we,11704200511057825,2005,4,9,3,9,7,825,8,7,C,5,4,0,21,8,1,1,2,0,0,0,3,1,1170420051105007,4,6,2,,0,4.5,Y,,1170420051105,3,11,we,1170420051105007,1,0,2,HARTFORD,1124,,1,1,8,1,8,,20060403,8,8,,,,,,,2555.8058327,20056498711we,,0,1170420051105007,8,06010,03/03/2025
,,20056498711we,11704200511057825,2005,4,9,3,9,7,825,8,7,C,5,4,0,998,98,1,1,2,0,0,1,3,2,1170420051105008,4,6,2,,0,4.5,Y,,1170420051105,3,11,we,1170420051105007,1,0,2,HARTFORD,1125,,1,1,8,2,8,,20060403,8,8,,,,,,,2555.8058327,20056498711we,,0,1170420051105008,8,06010,03/03/2025
,,20056498711we,11704200511057825,2005,4,9,3,9,7,825,8,7,C,5,4,0,998,98,1,1,1,0,0,1,3,2,1170420051105009,4,6,2,,0,4.5,Y,,1170420051105,3,11,we,1170420051105007,1,0,1,HARTFORD,1126,,1,1,8,2,8,,20060403,8,8,,,,,,,2555.8058327,20056498711we,,0,1170420051105009,8,06010,03/03/2025
,TAUTOG,20056498711we,11704200511057825,2005,4,9,13,9,7,825,8,7,C,5,3,,20,8,1,1,0,0,0,0,3,1,1170420051105010,4,6,2,,0,4,Y,,1170420051105,3,11,we,1170420051105010,,,,TOLLAND,1129,,1,1,8,1,8,,20060403,8,8,,,,,8839010101,,2555.8058327,20056498711we,,0,1170420051105010,8,06071,03/03/2025
,TAUTOG,20056498711we,11704200511057825,2005,4,9,13,9,7,825,8,7,C,5,3,,20,8,1,1,0,0,0,1,3,2,1170420051105011,4,6,2,,0,4,Y,,1170420051105,3,11,we,1170420051105010,,,,TOLLAND,1130,,1,1,8,2,8,,20060403,8,8,,,,,8839010101,,2555.8058327,20056498711we,,0,1170420051105011,8,06071,03/03/2025
