PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,PRIM1,PRIM2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,DATE1,DIST,MODE2001,AREA_NC,MUNI_RES,MUNI_TRP,TSN1,TSN2,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,3,5,4,0,30,1,1,1,0,1,0,0,,,1166320050410013,4,2,1,,0,0,Y,,1166320050410,1,04,we,1166320050410013,1,1,0,NEW LONDON,1330,8857042001,,,1,1,8,1,1,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410013,8,06375,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,2,0,25,1,1,1,0,0,0,0,,,1166320050410014,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410014,,,,NEW LONDON,1345,8857042001,,,1,1,8,1,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410014,8,06360,03/03/2025
,WINTER FLOUNDER,20052498304we,116632005041011679,2005,4,9,11,9,11,679,5,3,C,5,2,0,30,2,1,1,0,0,0,0,,,1166320050410020,4,2,2,,0,0,Y,,1166320050410,1,04,we,1166320050410020,,,,NEW LONDON,1445,8857042001,,,1,1,8,2,8,,20060124,8,5,,,,172904,,3111.2783164,20052498304we,,0,1166320050410020,8,06340,03/03/2025
,,20052498499xx,20052498499xx0000,2005,,,,9,,,,4,,2,,,,,,,,,,,,,20052498499xx002,4,2,,,,,,,,,99,xx,20052498499xx002,,,,,,,,,,,,,,,,,,,,,,,1211.603592,,,0,20052498499xx002,8,,03/03/2025
,WINTER FLOUNDER,20052498703wd,111502005032511679,2005,4,9,7,9,11,679,8,7,C,5,5,0,40,4,1,1,0,1,0,0,2,1,1115020050325003,4,2,1,,0,5,Y,,1115020050325,3,03,wd,1115020050325003,1,1,0,MIDDLESEX,1332,8857042001,,,1,1,8,1,1,,20060124,8,8,,,,172904,,3656.9705813,20052498703wd,,0,1115020050325003,8,06480,03/03/2025
,WINTER FLOUNDER,20052498703wd,111502005032511679,2005,4,9,7,9,11,679,8,7,C,5,5,,40,1,1,1,0,0,0,1,2,2,1115020050325004,4,2,2,,0,5,Y,,1115020050325,3,03,wd,1115020050325003,,,,MIDDLESEX,1333,8857042001,,,1,1,8,1,8,,20060124,8,8,,,,172904,,3656.9705813,20052498703wd,,0,1115020050325004,8,06480,03/03/2025
,WINTER FLOUNDER,20052498703wd,111502005032511679,2005,4,9,9,9,11,679,8,7,C,5,5,,100,6,1,1,0,0,0,0,2,1,1115020050325005,4,2,2,,0,5,Y,,1115020050325,3,03,wd,1115020050325005,,,,NEW HAVEN,1413,8857042001,,,1,1,8,1,8,,20060124,8,8,,,,172904,,3656.9705813,20052498703wd,,0,1115020050325005,8,06516,03/03/2025
,WINTER FLOUNDER,20052498703wd,111502005032511679,2005,4,9,9,9,11,679,8,7,C,5,5,,40,0,1,1,0,0,0,1,2,2,1115020050325006,4,2,2,,0,5,Y,,1115020050325,3,03,wd,1115020050325005,,,,NEW HAVEN,1414,8857042001,,,1,1,8,1,8,,20060124,8,8,,,,172904,,3656.9705813,20052498703wd,,0,1115020050325006,8,06517,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,2,,30,0,1,1,0,0,0,0,4,1,1115020050410001,4,2,2,,0,2,Y,,1115020050410,3,04,we,1115020050410001,,,,NEW HAVEN,1248,8835020102,,,1,1,8,1,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410001,8,06477,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,2,0,30,0,1,1,1,0,0,1,4,2,1115020050410002,4,2,2,,0,2,Y,,1115020050410,3,04,we,1115020050410001,1,,,NEW HAVEN,1249,8835020102,,,1,1,8,2,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410002,8,06477,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,2,,0,0,1,1,0,0,0,1,4,2,1115020050410003,4,2,2,,0,2,Y,,1115020050410,3,04,we,1115020050410001,,,,NEW HAVEN,1250,8835020102,,,1,1,8,1,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410003,8,06477,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,2,,0,0,1,1,0,0,0,1,4,2,1115020050410004,4,2,2,,0,2,Y,,1115020050410,3,04,we,1115020050410001,,,,NEW HAVEN,1251,8835020102,,,1,1,8,2,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410004,8,06477,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,4,0,998,2,1,1,1,0,0,0,2,1,1115020050410005,4,2,2,,0,4,Y,,1115020050410,3,04,we,1115020050410005,1,,,NEW HAVEN,1312,8835020102,,,1,1,8,1,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410005,8,06439,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,4,0,10,0,1,1,1,0,0,1,2,2,1115020050410006,4,2,2,,0,4,Y,,1115020050410,3,04,we,1115020050410005,1,,,NEW HAVEN,1313,8835020102,,,1,1,8,1,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410006,8,06437,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,1,,10,0,1,1,0,0,0,0,2,1,1115020050410010,4,2,2,,0,1.5,Y,,1115020050410,3,04,we,1115020050410010,,,,NEW HAVEN,1449,8835020102,,,1,1,8,1,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410010,8,06525,03/03/2025
,STRIPED BASS,20052498704we,11150200504109200,2005,4,9,9,9,9,200,8,7,C,5,1,,10,0,1,1,0,0,0,1,2,2,1115020050410011,4,2,2,,0,1.5,Y,,1115020050410,3,04,we,1115020050410010,,,,NEW HAVEN,1450,8835020102,,,1,1,8,2,8,,20060124,8,8,,,,167680,,6186.3839697,20052498704we,,0,1115020050410011,8,06525,03/03/2025
,STRIPED BASS,20052498704we,116632005042311754,2005,4,9,11,9,11,754,8,7,3,5,4,0,100,15,1,1,1,0,0,0,1,8,1166320050423001,4,2,2,,0,4.5,Y,,1166320050423,3,04,we,1166320050423001,1,,,NEW LONDON,1200,8835020102,,,1,1,8,1,8,,20060124,8,8,,,,167680,,3534.1924415,20052498704we,,0,1166320050423001,8,06360,03/03/2025
STRIPED BASS,BLUEFISH,200524258304we,12007200504101737,2005,4,25,1,25,1,737,5,3,1,1,1,0,10,0,1,1,0,0,0,0,,,1200720050410001,4,2,2,,0,0,Y,,1200720050410,1,04,we,1200720050410001,,,,BARNSTABLE,1418,8835250101,8835020102,,1,1,8,1,8,,20060124,1,5,,,,168559,167680,7306.83755,200524258304we,,0,1200720050410001,8,02657,03/03/2025
STRIPED BASS,BLUEFISH,200524258304we,12007200504101737,2005,4,25,1,25,1,737,5,3,1,1,1,0,0,0,1,1,0,0,0,0,,,1200720050410002,4,2,2,,0,0,Y,,1200720050410,1,04,we,1200720050410002,,,,BARNSTABLE,1424,8835250101,8835020102,,1,1,8,1,8,,20060124,1,5,,,,168559,167680,7306.83755,200524258304we,,0,1200720050410002,8,02657,03/03/2025
,STRIPED BASS,200524258304wd,12007200504221737,2005,4,9,5,25,1,737,5,3,1,1,2,0,10,0,1,1,0,0,0,0,,,1200720050422001,4,2,2,,0,0,O,,1200720050422,1,04,wd,1200720050422001,,,,LITCHFIELD,1226,8835020102,,,1,1,8,1,8,,20060124,1,5,,,,167680,,66921.860969,200524258304wd,,0,1200720050422001,8,06798,03/03/2025
,STRIPED BASS,200524258304wd,12007200504221359,2005,4,9,9,25,1,359,5,3,1,1,2,0,30,0,1,1,0,0,0,0,,,1200720050422002,4,2,2,,0,0,O,,1200720050422,1,04,wd,1200720050422002,,,,NEW HAVEN,1353,8835020102,,,1,1,8,1,8,,20060124,1,5,,,,167680,,30045.855646,200524258304wd,,0,1200720050422002,8,06516,03/03/2025
,STRIPED BASS,200524258304wd,12007200504221359,2005,4,9,9,25,1,359,5,3,1,1,2,0,3,0,1,1,0,0,0,0,,,1200720050422003,4,2,2,,0,0,O,,1200720050422,1,04,wd,1200720050422003,,,,NEW HAVEN,1402,8835020102,,,1,1,8,1,8,,20060124,1,5,,,,167680,,30045.855646,200524258304wd,,0,1200720050422003,8,06516,03/03/2025
,STRIPED BASS,200524258304wd,12007200504221359,2005,4,25,13,25,1,359,5,3,1,1,1,0,14,0,1,1,0,0,0,0,,,1200720050422004,4,2,2,,0,0,N,,1200720050422,1,04,wd,1200720050422004,,,,,1436,8835020102,,,1,1,8,1,8,,20060124,1,5,,,,167680,,28032.05964,200524258304wd,,0,1200720050422004,8,01057,03/03/2025
,,200524258304we,1642820050430191458,2005,0,99,998,25,19,1458,5,3,1,1,2,0.5,70,4,1,1,0,0,0,0,,,1642820050430001,4,2,2,,0,0,O,,1642820050430,1,04,we,1642820050430001,,,,,1322,,,,1,1,8,2,8,,20060124,1,5,,,,,,21808.934353,200524258304we,,0,1642820050430001,8,99997,03/03/2025
,,200524258303we,11564200503271310,2005,4,25,23,25,1,310,4,3,5,5,1,,7,1,1,1,0,0,0,0,,,1156420050327001,4,2,2,,0,0,Y,,1156420050327,1,03,we,1156420050327001,,,,PLYMOUTH,1130,,,,1,1,8,1,8,,20060124,8,4,,,,,,13231.827493,200524258303we,,0,1156420050327001,8,02360,03/03/2025
,,200524258303we,12633200503261721,2005,4,25,23,25,1,721,2,3,B,5,0.5,,40,0,1,1,0,0,0,0,,,1263320050326001,4,2,2,,0,0,Y,,1263320050326,1,03,we,1263320050326001,,,,PLYMOUTH,1210,,,,1,1,8,2,8,,20060124,8,2,,,,,,1307.4215577,200524258303we,,0,1263320050326001,8,02333,03/03/2025
,STRIPED BASS,200524258304we,126332005041611741,2005,4,25,1,25,1,1741,5,3,2,5,1,0,120,6,1,1,0,0,0,0,,,1263320050416001,4,2,2,,0,0,Y,,1263320050416,1,04,we,1263320050416001,,,,BARNSTABLE,1710,8835020102,,,1,1,8,1,8,,20060124,8,5,,,,167680,,9277.274803,200524258304we,,0,1263320050416001,8,02632,03/03/2025
,,200524258304wd,12633200504201701,2005,4,25,5,25,1,701,2,3,B,5,2,,30,2,1,1,0,0,0,0,,,1263320050420001,4,2,2,,0,0,Y,,1263320050420,1,04,wd,1263320050420001,,,,BRISTOL,945,,,,1,1,8,1,8,,20060124,8,2,,,,,,4839.2556103,200524258304wd,,0,1263320050420001,8,02766,03/03/2025
,,200524258304wd,12633200504201701,2005,4,25,5,25,1,701,2,3,B,5,1,,6,0,1,1,0,0,0,0,,,1263320050420002,4,2,2,,0,0,Y,,1263320050420,1,04,wd,1263320050420002,,,,BRISTOL,1035,,,,1,1,8,1,8,,20060124,8,2,,,,,,4839.2556103,200524258304wd,,0,1263320050420002,8,02780,03/03/2025
,,200524258304wd,12633200504201701,2005,4,25,5,25,1,701,2,3,B,5,1,,10,0,1,1,0,0,0,0,,,1263320050420003,4,2,2,,0,0,Y,,1263320050420,1,04,wd,1263320050420003,,,,BRISTOL,1037,,,,1,1,8,1,8,,20060124,8,2,,,,,,4839.2556103,200524258304wd,,0,1263320050420003,8,02780,03/03/2025
,,200524258304wd,12633200504201701,2005,4,25,5,25,1,701,2,3,B,5,1,,3,0,1,1,0,0,0,0,,,1263320050420004,4,2,2,,0,0,Y,,1263320050420,1,04,wd,1263320050420004,,,,BRISTOL,1041,,,,1,1,8,2,8,,20060124,8,2,,,,,,4839.2556103,200524258304wd,,0,1263320050420004,8,02780,03/03/2025
,STRIPED BASS,200524258304wd,12633200504201701,2005,4,25,5,25,1,701,2,3,B,5,2,,50,0,1,1,0,0,0,0,,,1263320050420005,4,2,2,,0,0,Y,,1263320050420,1,04,wd,1263320050420005,,,,BRISTOL,1115,8835020102,,,1,1,8,1,8,,20060124,8,2,,,,167680,,4839.2556103,200524258304wd,,0,1263320050420005,8,02780,03/03/2025
,STRIPED BASS,200524258304wd,12633200504201701,2005,4,25,5,25,1,701,2,3,B,5,2,,50,0,1,1,0,0,0,0,,,1263320050420006,4,2,2,,0,0,Y,,1263320050420,1,04,wd,1263320050420006,,,,BRISTOL,1120,8835020102,,,1,1,8,1,8,,20060124,8,2,,,,167680,,4839.2556103,200524258304wd,,0,1263320050420006,8,02780,03/03/2025
,,200524258304we,12633200504231721,2005,4,25,21,25,1,721,2,3,B,5,0.5,,120,4,1,1,0,0,0,0,,,1263320050423001,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423001,,,,NORFOLK,1520,,,,1,1,8,2,8,,20060124,8,2,,,,,,1815.0799665,200524258304we,,0,1263320050423001,8,02062,03/03/2025
,,200524258304we,12633200504231721,2005,4,25,21,25,1,721,2,3,B,5,0.5,,120,4,1,1,0,0,0,0,,,1263320050423002,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423002,,,,NORFOLK,1525,,,,1,1,8,2,8,,20060124,8,2,,,,,,1815.0799665,200524258304we,,0,1263320050423002,8,02062,03/03/2025
,STRIPED BASS,200524258304we,12633200504231721,2005,4,25,5,25,1,721,2,3,B,5,1.5,,8,2,1,1,0,0,0,0,,,1263320050423003,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423003,,,,BRISTOL,1605,8835020102,,,1,1,8,2,8,,20060124,8,2,,,,167680,,1815.0799665,200524258304we,,0,1263320050423003,8,02760,03/03/2025
,STRIPED BASS,200524258304we,12633200504231721,2005,4,25,5,25,1,721,2,3,B,5,3,,8,2,1,1,0,0,0,0,,,1263320050423004,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423004,,,,BRISTOL,1608,8835020102,,,1,1,8,2,8,,20060124,8,2,,,,167680,,1815.0799665,200524258304we,,0,1263320050423004,8,02760,03/03/2025
,STRIPED BASS,200524258304we,12633200504231721,2005,4,25,5,25,1,721,2,3,B,5,3,,8,2,1,1,0,0,0,0,,,1263320050423005,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423005,,,,BRISTOL,1610,8835020102,,,1,1,8,2,8,,20060124,8,2,,,,167680,,1815.0799665,200524258304we,,0,1263320050423005,8,02760,03/03/2025
,STRIPED BASS,200524258304we,12633200504231721,2005,4,25,1,25,1,721,2,3,B,5,2,,0,0,1,1,0,0,0,0,,,1263320050423006,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423006,,,,BARNSTABLE,1915,8835020102,,,1,1,8,2,8,,20060124,8,2,,,,167680,,1815.0799665,200524258304we,,0,1263320050423006,8,02703,03/03/2025
,STRIPED BASS,200524258304we,12633200504231721,2005,4,25,1,25,1,721,2,3,B,5,2,,0,0,1,1,0,0,0,0,,,1263320050423007,4,2,2,,0,0,Y,,1263320050423,1,04,we,1263320050423007,,,,BARNSTABLE,1920,8835020102,,,1,1,8,2,8,,20060124,8,2,,,,167680,,1815.0799665,200524258304we,,0,1263320050423007,8,02703,03/03/2025
,ATLANTIC COD,200524258304we,126332005042425171,2005,4,25,25,25,25,171,3,3,4,5,1,,100,1,2,1,0,0,0,0,,,1263320050424001,4,2,2,,0,0,Y,,1263320050424,1,04,we,1263320050424001,,,,SUFFOLK,1120,8791030402,,,1,1,8,2,8,,20060124,8,3,,,,164712,,43720.613326,200524258304we,,0,1263320050424001,8,02172,03/03/2025
,HERRING FAMILY,200524258304we,12633200504241721,2005,5,36,21,25,1,721,2,3,B,5,1,,30,8,1,1,0,0,0,0,,,1263320050424002,4,2,2,,0,0,O,,1263320050424,1,04,we,1263320050424002,,,,,1340,8747010000,,,1,1,8,1,8,,20060124,8,2,,,,161700,,5914.9991509,200524258304we,,0,1263320050424002,8,12184,03/03/2025
,,200524258304we,12633200504241721,2005,4,25,1,25,1,721,2,3,B,5,2,,150,0,1,1,0,0,0,0,,,1263320050424003,4,2,2,,0,0,Y,,1263320050424,1,04,we,1263320050424003,,,,BARNSTABLE,1545,,,,1,1,8,1,8,,20060124,8,2,,,,,,4235.1865884,200524258304we,,0,1263320050424003,8,02532,03/03/2025
,,200524258304we,12633200504241721,2005,4,25,1,25,1,721,2,3,B,5,2,,150,0,1,1,0,0,0,0,,,1263320050424004,4,2,2,,0,0,Y,,1263320050424,1,04,we,1263320050424004,,,,BARNSTABLE,1550,,,,1,1,8,1,8,,20060124,8,2,,,,,,4235.1865884,200524258304we,,0,1263320050424004,8,02532,03/03/2025
,,200524258304we,12633200504241721,2005,4,25,5,25,1,721,2,3,B,5,2,,170,0,1,1,0,0,0,0,,,1263320050424005,4,2,2,,0,0,Y,,1263320050424,1,04,we,1263320050424005,,,,BRISTOL,1555,,,,1,1,8,1,8,,20060124,8,2,,,,,,4235.1865884,200524258304we,,0,1263320050424005,8,02780,03/03/2025
,,200524258304we,12633200504241721,2005,4,25,5,25,1,721,2,3,B,5,2,,0,0,1,1,0,0,0,0,,,1263320050424006,4,2,2,,0,0,Y,,1263320050424,1,04,we,1263320050424006,,,,BRISTOL,1600,,,,1,1,8,1,8,,20060124,8,2,,,,,,4235.1865884,200524258304we,,0,1263320050424006,8,02785,03/03/2025
,STRIPED BASS,200524258304we,13096200504161704,2005,4,25,1,25,1,704,5,3,3,5,0.5,0,20,0,1,1,0,0,0,0,,,1309620050416001,4,2,2,,0,0,Y,,1309620050416,1,04,we,1309620050416001,,,,BARNSTABLE,945,8835020102,,,1,1,8,2,8,,20060124,8,5,,,,167680,,3622.22101,200524258304we,,0,1309620050416001,8,02648,03/03/2025
,,200524258304we,13096200504161704,2005,4,25,1,25,1,704,5,3,3,5,0.5,0,3,0,1,1,0,0,0,0,,,1309620050416002,4,2,2,,0,0,Y,,1309620050416,1,04,we,1309620050416002,,,,BARNSTABLE,955,,,,1,1,8,2,8,,20060124,8,5,,,,,,3622.22101,200524258304we,,0,1309620050416002,8,02648,03/03/2025
,BROWN TROUT,200524258304we,13096200504161704,2005,4,25,1,25,1,704,5,3,3,5,2,0,120,0,1,1,0,0,0,0,,,1309620050416003,4,2,2,,0,0,Y,,1309620050416,1,04,we,1309620050416003,,,,BARNSTABLE,1055,8755010306,,,1,1,8,2,8,,20060124,8,5,,,,161997,,3622.22101,200524258304we,,0,1309620050416003,8,02563,03/03/2025
BROWN TROUT,STRIPED BASS,200524258304we,13096200504161704,2005,4,25,17,25,1,704,5,3,3,5,5,0,110,3,1,1,0,0,0,0,,,1309620050416004,4,2,2,,0,0,Y,,1309620050416,1,04,we,1309620050416004,,,,MIDDLESEX,1155,8835020102,8755010306,,1,1,8,1,8,,20060124,8,5,,,,167680,161997,3622.22101,200524258304we,,0,1309620050416004,8,01752,03/03/2025
,STRIPED BASS,200524258304we,13096200504241704,2005,4,25,23,25,1,704,5,3,3,5,1,0,200,6,1,1,0,0,0,0,,,1309620050424001,4,2,2,,0,0,Y,,1309620050424,1,04,we,1309620050424001,,,,PLYMOUTH,1105,8835020102,,,1,1,8,1,8,,20060124,8,5,,,,167680,,4610.0994673,200524258304we,,0,1309620050424001,8,02381,03/03/2025
,STRIPED BASS,200524258304we,13096200504241704,2005,4,25,23,25,1,704,5,3,3,5,1,0,50,6,1,1,0,0,0,0,,,1309620050424002,4,2,2,,0,0,Y,,1309620050424,1,04,we,1309620050424002,,,,PLYMOUTH,1130,8835020102,,,1,1,8,1,8,,20060124,8,5,,,,167680,,4610.0994673,200524258304we,,0,1309620050424002,8,02381,03/03/2025
,STRIPED BASS,200524258304we,13096200504241704,2005,4,25,17,25,1,704,5,3,3,5,1,0,100,4,1,1,0,0,0,0,,,1309620050424003,4,2,2,,0,0,Y,,1309620050424,1,04,we,1309620050424003,,,,MIDDLESEX,1230,8835020102,,,1,1,8,1,8,,20060124,8,5,,,,167680,,4610.0994673,200524258304we,,0,1309620050424003,8,02452,03/03/2025
,STRIPED BASS,200524258304we,13096200504241697,2005,4,25,1,25,1,697,5,3,4,5,1,0,20,0,1,1,0,0,0,0,,,1309620050424004,4,2,2,,0,0,Y,,1309620050424,1,04,we,1309620050424004,,,,BARNSTABLE,1330,8835020102,,,1,1,8,2,8,,20060124,8,5,,,,167680,,15724.448156,200524258304we,,0,1309620050424004,8,02630,03/03/2025
,,200524258303we,164282005031923258,2005,4,25,23,25,23,258,3,3,4,5,4,,7,0,1,1,0,0,0,0,,,1642820050319001,4,2,2,,0,0,Y,,1642820050319,1,03,we,1642820050319001,,,,PLYMOUTH,1315,,,,1,1,8,1,8,,20060124,8,3,,,,,,3863.2643223,200524258303we,,0,1642820050319001,8,02332,03/03/2025
