PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,MONITOR,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,TAUTOG,20126498711we,117122012110411737,2012,4,9,11,9,11,737,8,7,C,5,2,,20,15,1,0,0,0,1,1,2,2,1171220121104002,4,6,3,,0,2.5,Y,,1171220121104,3,11,we,1171220121104001,,,,NEW LONDON,170479,,1046,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,4263.665115,20126498711we,,0,1171220121104001,8,06779,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,3,9,7,825,8,7,C,5,2,,6,3,1,1,0,0,0,0,2,1,1171220121117001,4,6,2,,0,3,Y,,1171220121117,3,11,we,1171220121117001,,,,HARTFORD,170479,,1245,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117001,8,06074,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,7,9,7,825,8,7,C,5,2,,6,3,1,1,0,0,0,1,2,2,1171220121117002,4,6,2,,0,3,Y,,1171220121117,3,11,we,1171220121117001,,,,MIDDLESEX,170479,,1246,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117002,8,06457,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,11,9,7,825,8,7,C,5,1.5,0,20,10,2,1,0,1,0,0,3,1,1171220121117003,4,6,1,,0,2,Y,,1171220121117,3,11,we,1171220121117003,1,1,0,NEW LONDON,170479,,1300,,1,1,8,1,1,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117003,8,06439,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,11,9,7,825,8,7,C,5,1.5,0,20,10,2,1,1,0,0,1,3,2,1171220121117004,4,6,2,,0,2,Y,,1171220121117,3,11,we,1171220121117003,1,,,NEW LONDON,170479,,1301,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117004,8,06439,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,11,9,7,825,8,7,C,5,1.5,,20,10,2,1,0,0,0,1,3,2,1171220121117005,4,6,2,,0,2,Y,,1171220121117,3,11,we,1171220121117003,,,,NEW LONDON,170479,,1302,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117005,8,06439,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,11,9,7,825,8,7,C,5,5.5,0,30,8,1,1,1,0,0,0,2,1,1171220121117006,4,6,2,,0,6.5,Y,,1171220121117,3,11,we,1171220121117006,1,,,NEW LONDON,170479,,1330,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117006,8,06415,03/03/2025
,TAUTOG,20126498711we,11712201211177825,2012,4,9,11,9,7,825,8,7,C,5,5.5,0,30,8,1,1,1,0,0,1,2,2,1171220121117007,4,6,2,,0,6,Y,,1171220121117,3,11,we,1171220121117006,1,,,NEW LONDON,170479,,1331,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1075.1620073,20126498711we,,0,1171220121117007,8,06415,03/03/2025
,TAUTOG,20126498711we,117122012111811645,2012,4,9,13,9,11,645,8,7,C,5,2.5,0,3,2,1,1,1,0,0,0,2,1,1171220121118001,4,6,2,,0,3,Y,,1171220121118,3,11,we,1171220121118001,1,0,1,TOLLAND,170479,,1100,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1946.5902176,20126498711we,,0,1171220121118001,8,06066,03/03/2025
,TAUTOG,20126498711we,117122012111811645,2012,4,9,3,9,11,645,8,7,C,5,2.5,,10,3,1,1,0,0,0,1,2,2,1171220121118002,4,6,2,,0,3,Y,,1171220121118,3,11,we,1171220121118001,,,,HARTFORD,170479,,1101,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1946.5902176,20126498711we,,0,1171220121118002,8,06042,03/03/2025
,TAUTOG,20126498711we,117122012111811645,2012,4,9,11,9,11,645,8,7,C,5,3.5,0,40,2,1,1,1,0,0,0,3,1,1171220121118003,4,6,2,,0,4,Y,,1171220121118,3,11,we,1171220121118003,1,,,NEW LONDON,170479,,1115,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1946.5902176,20126498711we,,0,1171220121118003,8,06385,03/03/2025
,TAUTOG,20126498711we,117122012111811645,2012,4,9,11,9,11,645,8,7,C,5,3.5,,40,2,1,1,0,0,0,1,3,2,1171220121118004,4,6,2,,0,4,Y,,1171220121118,3,11,we,1171220121118003,,,,NEW LONDON,170479,,1116,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1946.5902176,20126498711we,,0,1171220121118004,8,06385,03/03/2025
,TAUTOG,20126498711we,117122012111811645,2012,4,9,11,9,11,645,8,7,C,5,3.5,,40,2,1,1,0,0,0,1,3,2,1171220121118005,4,6,2,,0,4,Y,,1171220121118,3,11,we,1171220121118003,,,,NEW LONDON,170479,,1117,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1946.5902176,20126498711we,,0,1171220121118005,8,06385,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,1,,5,5,1,1,0,0,0,0,3,1,1171520121118001,4,6,2,,0,4,Y,,1171520121118,3,11,we,1171520121118001,,,,NEW LONDON,170479,,1230,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118001,8,06355,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,1,,0,0,1,1,0,0,0,1,3,2,1171520121118002,4,6,2,,0,4,Y,,1171520121118,3,11,we,1171520121118001,,,,NEW LONDON,170479,,1231,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118002,8,06340,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,1,,15,5,1,1,0,0,0,1,3,2,1171520121118003,4,6,2,,0,4,Y,,1171520121118,3,11,we,1171520121118001,,,,NEW LONDON,170479,,1232,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118003,8,06371,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,2.5,0,30,5,2,1,2,0,0,0,2,1,1171520121118004,4,6,2,,0,3.5,Y,,1171520121118,3,11,we,1171520121118004,1,0,2,NEW LONDON,170479,,1300,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118004,8,06371,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,2.5,0,30,5,2,1,2,0,0,1,2,2,1171520121118005,4,6,2,,0,3.5,Y,,1171520121118,3,11,we,1171520121118004,1,0,1,NEW LONDON,170479,,1301,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118005,8,06340,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,2.5,0,100,60,2,1,2,0,0,0,3,1,1171520121118006,4,6,2,,0,3,Y,,1171520121118,3,11,we,1171520121118006,1,,,NEW LONDON,170479,,1340,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118006,8,06340,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,2.5,0,0,0,2,1,1,0,0,1,3,2,1171520121118007,4,6,2,,0,3,Y,,1171520121118,3,11,we,1171520121118006,1,,,NEW LONDON,170479,,1341,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118007,8,06378,03/03/2025
,TAUTOG,20126498711we,117152012111811673,2012,4,9,11,9,11,673,8,7,C,5,2.5,0,300,50,2,1,1,0,0,1,3,2,1171520121118008,4,6,2,,0,3,Y,,1171520121118,3,11,we,1171520121118006,1,,,NEW LONDON,170479,,1342,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1052.6954651,20126498711we,,0,1171520121118008,8,06382,03/03/2025
,TAUTOG,20126498711we,117162012110411645,2012,4,9,9,9,11,645,8,7,C,5,3.5,0,100,15,1,1,1,0,0,0,1,8,1171620121104001,4,6,2,,0,4,Y,,1171620121104,3,11,we,1171620121104001,1,,,NEW HAVEN,170479,,1207,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,1357.7110963,20126498711we,,0,1171620121104001,8,06410,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,7,9,7,826,8,7,C,5,2.5,0,3,3,1,1,1,1,0,0,3,1,1171620121111001,4,6,1,,0,3,Y,,1171620121111,3,11,we,1171620121111001,1,1,0,MIDDLESEX,170479,,1130,,1,1,8,1,1,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111001,8,06438,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,7,9,7,826,8,7,C,5,2.5,0,3,3,1,1,1,1,0,1,3,2,1171620121111002,4,6,1,,0,3,Y,,1171620121111,3,11,we,1171620121111001,1,1,0,MIDDLESEX,170479,,1131,,1,1,8,1,1,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111002,8,06438,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,7,9,7,826,8,7,C,5,2.5,0,3,3,1,1,1,0,0,1,3,2,1171620121111003,4,6,2,,0,3,Y,,1171620121111,3,11,we,1171620121111001,1,,,MIDDLESEX,170479,,1132,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111003,8,06413,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,7,9,7,826,8,7,C,5,4.5,0,80,5,1,1,1,0,0,0,2,1,1171620121111004,4,6,2,,0,5,Y,,1171620121111,3,11,we,1171620121111004,1,,,MIDDLESEX,170479,,1330,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111004,8,06498,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,7,9,7,826,8,7,C,5,4.5,0,80,5,1,1,1,0,0,1,2,2,1171620121111005,4,6,2,,0,5,Y,,1171620121111,3,11,we,1171620121111004,1,,,MIDDLESEX,170479,,1331,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111005,8,06475,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,11,9,7,826,8,7,C,5,3.5,0,30,6,1,1,1,0,0,0,2,1,1171620121111006,4,6,2,,0,3.5,Y,,1171620121111,3,11,we,1171620121111006,1,,,NEW LONDON,170479,,1400,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111006,8,06320,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,3.5,0,60,12,1,1,1,0,0,1,2,2,1171620121111007,4,6,2,,0,3.5,Y,,1171620121111,3,11,we,1171620121111006,1,,,NEW HAVEN,170479,,1401,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111007,8,06471,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,5,0,50,8,1,1,2,0,0,0,2,1,1171620121111008,4,6,2,,0,6,Y,,1171620121111,3,11,we,1171620121111008,1,0,1,NEW HAVEN,170479,,1405,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111008,8,06762,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,5,0,50,4,1,1,1,0,0,1,2,2,1171620121111009,4,6,2,,0,6,Y,,1171620121111,3,11,we,1171620121111008,1,,,NEW HAVEN,170479,,1406,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111009,8,06712,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,5,9,7,826,8,7,C,5,5.5,0,12,3,1,1,2,0,0,0,2,1,1171620121111010,4,6,2,,0,6.5,Y,,1171620121111,3,11,we,1171620121111010,1,0,1,LITCHFIELD,170479,,1410,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111010,8,06779,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,5,9,7,826,8,7,C,5,5.5,0,12,3,1,1,2,0,0,1,2,2,1171620121111011,4,6,2,,0,6.5,Y,,1171620121111,3,11,we,1171620121111010,1,0,1,LITCHFIELD,170479,,1411,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111011,8,06779,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,5.5,0,30,4,1,1,2,0,0,0,4,1,1171620121111012,4,6,2,,0,6.5,Y,,1171620121111,3,11,we,1171620121111012,1,0,1,NEW HAVEN,170479,,1510,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111012,8,06492,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,5.5,0,30,4,1,1,1,0,0,1,4,2,1171620121111013,4,6,2,,0,6.5,Y,,1171620121111,3,11,we,1171620121111012,1,,,NEW HAVEN,170479,,1511,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111013,8,06473,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,5.5,0,10,2,1,1,1,0,0,1,4,2,1171620121111014,4,6,2,,0,6.5,Y,,1171620121111,3,11,we,1171620121111012,1,,,NEW HAVEN,170479,,1512,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111014,8,06405,03/03/2025
,TAUTOG,20126498711we,11716201211117826,2012,4,9,9,9,7,826,8,7,C,5,5.5,0,7,2,1,1,1,0,0,1,4,2,1171620121111015,4,6,2,,0,6.5,Y,,1171620121111,3,11,we,1171620121111012,1,,,NEW HAVEN,170479,,1513,,1,1,8,0,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2020.7172039,20126498711we,,0,1171620121111015,8,06473,03/03/2025
,STRIPED BASS,20126498711we,11716201211187403,2012,4,9,9,9,7,403,8,7,C,5,2.5,0,150,30,1,1,1,0,0,0,4,1,1171620121118001,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118001,1,,,NEW HAVEN,167680,,1030,,1,1,8,1,8,,,,29MAR201315:43,8,8835020102,,8,8,,,,4263.665115,20126498711we,,0,1171620121118001,8,06443,03/03/2025
,STRIPED BASS,20126498711we,11716201211187403,2012,4,9,9,9,7,403,8,7,C,5,2.5,,150,30,1,1,0,0,0,1,4,2,1171620121118002,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118001,,,,NEW HAVEN,167680,,1031,,1,1,8,1,8,,,,29MAR201315:43,8,8835020102,,8,8,,,,4263.665115,20126498711we,,0,1171620121118002,8,06443,03/03/2025
,STRIPED BASS,20126498711we,11716201211187403,2012,4,9,9,9,7,403,8,7,C,5,2.5,,150,30,1,1,0,0,0,1,4,2,1171620121118003,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118001,,,,NEW HAVEN,167680,,1032,,1,1,8,1,8,,,,29MAR201315:43,8,8835020102,,8,8,,,,4263.665115,20126498711we,,0,1171620121118003,8,06512,03/03/2025
,STRIPED BASS,20126498711we,11716201211187403,2012,4,9,9,9,7,403,8,7,C,5,2.5,,50,6,8,1,0,0,0,1,4,2,1171620121118004,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118001,,,,NEW HAVEN,167680,,1033,,1,1,8,0,8,,,,29MAR201315:43,8,8835020102,,8,8,,,,4263.665115,20126498711we,,0,1171620121118004,8,06512,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,7,9,7,826,8,7,C,5,2.5,,15,8,1,1,0,0,0,0,4,1,1171620121118005,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118005,,,,MIDDLESEX,170479,,1100,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118005,8,06413,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,7,9,7,826,8,7,C,5,2.5,,12,4,1,1,0,0,0,1,4,2,1171620121118006,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118005,,,,MIDDLESEX,170479,,1101,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118006,8,06413,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,7,9,7,826,8,7,C,5,2.5,,12,4,1,1,0,0,0,1,4,2,1171620121118007,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118005,,,,MIDDLESEX,170479,,1102,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118007,8,06413,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,7,9,7,826,8,7,C,5,2.5,,10,2,1,1,0,0,0,1,4,2,1171620121118008,4,6,2,,0,3,Y,,1171620121118,3,11,we,1171620121118005,,,,MIDDLESEX,170479,,1103,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118008,8,06413,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,9,9,7,826,8,7,C,5,4,,30,2,1,1,0,0,0,0,3,1,1171620121118009,4,6,2,,0,4,Y,,1171620121118,3,11,we,1171620121118009,,,,NEW HAVEN,170479,,1120,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118009,8,06418,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,9,9,7,826,8,7,C,5,4,,30,2,1,1,0,0,0,1,3,2,1171620121118010,4,6,2,,0,4,Y,,1171620121118,3,11,we,1171620121118009,,,,NEW HAVEN,170479,,1121,,1,1,8,1,8,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118010,8,06418,03/03/2025
,TAUTOG,20126498711we,11716201211187826,2012,4,9,9,9,7,826,8,7,C,5,4,0,30,2,1,1,0,1,0,1,3,2,1171620121118011,4,6,1,,0,4,Y,,1171620121118,3,11,we,1171620121118009,1,1,0,NEW HAVEN,170479,,1122,,1,1,8,1,1,,,,29MAR201315:43,8,8839010101,,8,8,,,,2516.6480246,20126498711we,,0,1171620121118011,8,06418,03/03/2025
