PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,NEW_LIST,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,SEX,AGE,REEF,DATE1,DIST,PRIM1,PRIM2,MODE2001,TURTLE,REEFCODE,AREA_NC,ART_REEF,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190301,2019,4,9,1,9,1,4334,5,3,3,5,2,0.00,50,30,1,0,0,0,0,,,1764520190301010,4,2,2,,,,,Y,we,,1764520190301,3,1764520190301010,,1,S:8AM-8PM,03,,,FAIRFIELD,1527,167680,,,1,,8,2,8,1,45,,17MAY19:12:33,8,8835020102,,5,,,,2,,,343.42347873,201903913weS:8AM-8PM,,0,1764520190301010,06606,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190301,2019,4,9,1,9,1,4334,5,3,3,5,2,0.00,50,30,1,0,0,0,0,,,1764520190301011,4,2,2,,,,,Y,we,,1764520190301,3,1764520190301011,,1,S:8AM-8PM,03,,,FAIRFIELD,1527,167680,,,1,,8,1,8,1,18,,17MAY19:12:33,8,8835020102,,5,,,,2,,,343.42347873,201903913weS:8AM-8PM,,0,1764520190301011,06606,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,25,15,9,1,4334,5,3,3,5,4,0.00,10,0,1,0,0,0,0,,,1764520190317007,4,2,2,,,,,O,we,,1764520190317,3,1764520190317007,,1,S:8AM-8PM,03,,,,1226,167680,,,1,,8,1,8,1,30,,17MAY19:12:33,8,8835020102,,5,,,,2,,,324.10351225,201903913weS:8AM-8PM,,0,1764520190317007,01027,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,25,13,9,1,4334,5,3,3,5,4,0.00,20,2,1,1,0,0,0,,,1764520190317008,4,2,2,,,,,O,we,,1764520190317,3,1764520190317008,2,1,S:8AM-8PM,03,,,,1226,167680,,,1,,8,1,8,1,25,,17MAY19:12:33,8,8835020102,,5,,,,2,,,324.10351225,201903913weS:8AM-8PM,,0,1764520190317008,01056,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,3,0.00,30,0,1,1,0,0,0,,,1764520190317009,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317009,2,1,S:8AM-8PM,03,,,NEW HAVEN,1251,167680,,,1,,8,1,8,1,20,,17MAY19:12:33,8,8835020102,,5,,,,2,,,324.10351225,201903913weS:8AM-8PM,,0,1764520190317009,06410,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,3,9,1,4334,5,3,3,5,4,0.00,50,10,1,0,0,0,0,,,1764520190317010,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317010,,1,S:8AM-8PM,03,,,HARTFORD,1255,167680,,,1,,8,1,8,1,61,,17MAY19:12:33,8,8835020102,,5,,,,2,,,324.10351225,201903913weS:8AM-8PM,,0,1764520190317010,06108,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,1,9,1,4334,5,3,3,5,4,0.00,300,50,1,1,0,0,0,,,1764520190317022,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317022,2,1,S:8AM-8PM,03,,,FAIRFIELD,1457,167680,,,1,,8,1,8,1,35,,17MAY19:12:33,8,8835020102,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317022,06604,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,2,0.00,20,1,1,0,0,0,0,,,1764520190317025,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317025,,1,S:8AM-8PM,03,,,NEW HAVEN,1518,167680,,,1,,8,2,8,1,75,,17MAY19:12:33,8,8835020102,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317025,06478,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,2,0.00,20,1,1,0,0,0,0,,,1764520190317026,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317026,,1,S:8AM-8PM,03,,,NEW HAVEN,1518,167680,,,1,,8,2,8,2,72,,17MAY19:12:33,8,8835020102,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317026,06478,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,5,36,27,9,1,4334,5,3,3,5,2,0.00,1,0,1,0,0,0,0,,,1764520190317027,4,2,2,,,,,O,we,,1764520190317,3,1764520190317027,,1,S:8AM-8PM,03,,,,1518,167680,,,1,,8,2,8,1,56,,17MAY19:12:33,8,8835020102,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317027,99999,03/03/2025
,,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,3,0,1,0,0,0,0,,,1764520190317030,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317030,,1,S:8AM-8PM,03,,,NEW HAVEN,1634,,,,1,,8,1,8,2,29,,17MAY19:12:33,8,,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317030,06706,03/03/2025
,,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,0,0,1,0,0,0,0,,,1764520190317031,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317031,,1,S:8AM-8PM,03,,,NEW HAVEN,1634,,,,1,,8,2,8,1,30,,17MAY19:12:33,8,,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317031,06706,03/03/2025
,,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,0,0,1,0,0,0,0,,,1764520190317032,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317032,,1,S:8AM-8PM,03,,,NEW HAVEN,1634,,,,1,,8,2,8,1,32,,17MAY19:12:33,8,,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317032,06706,03/03/2025
,,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,0,0,1,0,0,0,0,,,1764520190317033,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317033,,1,S:8AM-8PM,03,,,NEW HAVEN,1634,,,,1,,8,2,8,1,32,,17MAY19:12:33,8,,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317033,06706,03/03/2025
,,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,0,0,1,0,0,0,0,,,1764520190317034,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317034,,1,S:8AM-8PM,03,,,NEW HAVEN,1634,,,,1,,8,2,8,1,6,,17MAY19:12:33,8,,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317034,06706,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1.5,0.00,200,1,1,1,0,0,0,,,1764520190317035,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317035,2,1,S:8AM-8PM,03,,,NEW HAVEN,1643,167680,,,1,,8,1,8,1,45,,17MAY19:12:33,8,8835020102,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317035,06512,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190317,2019,4,9,9,9,1,4334,5,3,3,5,1.5,0.00,200,1,1,1,0,0,0,,,1764520190317036,4,2,2,,,,,Y,we,,1764520190317,3,1764520190317036,2,1,S:8AM-8PM,03,,,NEW HAVEN,1644,167680,,,1,,8,1,8,1,17,,17MAY19:12:33,8,8835020102,,5,,,,2,,,328.43203417,201903913weS:8AM-8PM,,0,1764520190317036,06512,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190323,2019,4,33,3,9,1,4334,5,3,3,5,2.5,0.00,12,3,1,0,0,0,0,,,1764520190323001,4,2,2,,,,,O,we,,1764520190323,3,1764520190323001,,1,S:8AM-8PM,03,,,,845,167680,,,1,,8,1,8,1,56,,17MAY19:12:33,8,8835020102,,5,,,,2,,,2521.7865863,201903913weS:8AM-8PM,,0,1764520190323001,03813,03/03/2025
,STRIPED BASS,201903913weS:8AM-8PM,201929131764520190324,2019,4,9,998,9,9,251,1,3,C,5,1,,12,1,1,0,0,0,0,,,1764520190324001,4,2,2,,,,,Y,we,,1764520190324,1,1764520190324001,,1,S:8AM-8PM,03,,,,1456,167680,,,1,,8,2,8,1,40,,17MAY19:12:33,8,8835020102,,0,,,,2,,,328.99076569,201903913weS:8AM-8PM,,0,1764520190324001,99998,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,1,9,1,4334,5,3,3,5,3,0.00,50,25,1,0,0,0,0,,,1764520190325002,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325002,,1,S:8AM-8PM,03,,,FAIRFIELD,1129,167680,,,1,,8,1,8,1,72,,17MAY19:12:33,8,8835020102,,5,,,,2,,,229.00116514,201903913wdS:8AM-8PM,,0,1764520190325002,06605,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,9,9,1,4334,5,3,3,5,4,0.00,200,30,1,1,0,0,0,,,1764520190325003,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325003,2,1,S:8AM-8PM,03,,,NEW HAVEN,1217,167680,,,1,,8,2,8,1,67,,17MAY19:12:33,8,8835020102,,5,,,,2,,,229.00116514,201903913wdS:8AM-8PM,,0,1764520190325003,06451,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,9,9,1,4334,5,3,3,5,2.5,0.00,35,12,1,0,0,0,0,,,1764520190325004,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325004,,1,S:8AM-8PM,03,,,NEW HAVEN,1257,167680,,,1,,8,2,8,1,60,,17MAY19:12:33,8,8835020102,,5,,,,2,,,229.00116514,201903913wdS:8AM-8PM,,0,1764520190325004,06477,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,9,9,1,4334,5,3,3,5,2,0.00,163,10,1,0,0,0,0,,,1764520190325005,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325005,,1,S:8AM-8PM,03,,,NEW HAVEN,1327,167680,,,1,,8,2,8,1,70,,17MAY19:12:33,8,8835020102,,5,,,,2,,,229.00116514,201903913wdS:8AM-8PM,,0,1764520190325005,06516,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,9,9,1,4334,5,3,3,5,0.5,0.00,75,59,1,0,0,0,0,,,1764520190325009,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325009,,1,S:8AM-8PM,03,,,NEW HAVEN,1508,167680,,,1,,8,1,8,1,62,,17MAY19:12:33,8,8835020102,,5,,,,2,,,73.945731906,201903913wdS:8AM-8PM,,0,1764520190325009,06401,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,9,9,1,4334,5,3,3,5,2,0.00,12,0,1,0,0,0,0,,,1764520190325010,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325010,,1,S:8AM-8PM,03,,,NEW HAVEN,1517,167680,,,1,,8,1,8,1,56,,17MAY19:12:33,8,8835020102,,5,,,,2,,,73.945731906,201903913wdS:8AM-8PM,,0,1764520190325010,06460,03/03/2025
,STRIPED BASS,201903913wdS:8AM-8PM,201929131764520190325,2019,4,9,1,9,1,4334,5,3,3,5,1,0.00,60,12,1,0,0,0,0,,,1764520190325011,4,2,2,,,,,Y,wd,,1764520190325,3,1764520190325011,,1,S:8AM-8PM,03,,,FAIRFIELD,1624,167680,,,1,,8,2,8,1,45,,17MAY19:12:33,8,8835020102,,5,,,,2,,,73.945731906,201903913wdS:8AM-8PM,,0,1764520190325011,06614,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190406,2019,4,9,1,9,1,4334,5,3,3,5,3,0.00,30,4,1,0,0,0,0,,,1764520190406001,4,2,2,,,,,Y,we,,1764520190406,3,1764520190406001,,1,S:8AM-8PM,04,,,FAIRFIELD,1059,167680,,,1,,8,1,8,1,24,,17MAY19:12:33,8,8835020102,,5,,,,2,,,10631.315869,201904913weS:8AM-8PM,,0,1764520190406001,06611,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190406,2019,4,9,1,9,1,4334,5,3,3,5,0.5,0.00,100,2,1,0,0,0,0,,,1764520190406005,4,2,2,,,,,Y,we,,1764520190406,3,1764520190406005,,1,S:8AM-8PM,04,,,FAIRFIELD,1310,167680,,,1,,8,1,8,1,37,,17MAY19:12:33,8,8835020102,,5,,,,2,,,330.1610164,201904913weS:8AM-8PM,,0,1764520190406005,06820,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190406,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,12,6,1,0,0,0,0,,,1764520190406008,4,2,2,,,,,Y,we,,1764520190406,3,1764520190406008,,1,S:8AM-8PM,04,,,NEW HAVEN,1335,167680,,,1,,8,2,8,1,65,,17MAY19:12:33,8,8835020102,,5,,,,2,,,330.1610164,201904913weS:8AM-8PM,,0,1764520190406008,06514,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190406,2019,4,9,9,9,1,4334,5,3,3,5,1,1.00,12,6,1,0,0,0,0,,,1764520190406009,4,2,2,,,,,Y,we,,1764520190406,3,1764520190406009,,1,S:8AM-8PM,04,,,NEW HAVEN,1335,167680,,,1,,8,2,8,1,68,,17MAY19:12:33,8,8835020102,,5,,,,2,,,330.1610164,201904913weS:8AM-8PM,,0,1764520190406009,06524,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190407,2019,4,9,5,9,1,4334,5,3,3,5,3,0.00,36,2,1,0,0,0,0,,,1764520190407013,4,2,2,,,,,Y,we,,1764520190407,3,1764520190407013,,1,S:8AM-8PM,04,,,LITCHFIELD,1314,167680,,,1,,8,1,8,2,44,,17MAY19:12:33,8,8835020102,,5,,,,2,,,295.0806768,201904913weS:8AM-8PM,,0,1764520190407013,06779,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190407,2019,5,42,115,9,1,4334,5,3,3,5,3,0.00,36,2,1,0,0,0,0,,,1764520190407014,4,2,2,,,,,O,we,,1764520190407,3,1764520190407014,,1,S:8AM-8PM,04,,,,1314,167680,,,1,,8,2,8,1,10,,17MAY19:12:33,8,8835020102,,5,,,,2,,,295.0806768,201904913weS:8AM-8PM,,0,1764520190407014,18801,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190407,2019,4,9,5,9,1,4334,5,3,3,5,3,0.00,36,2,1,0,0,0,0,,,1764520190407015,4,2,2,,,,,Y,we,,1764520190407,3,1764520190407015,,1,S:8AM-8PM,04,,,LITCHFIELD,1314,167680,,,1,,8,1,8,1,44,,17MAY19:12:33,8,8835020102,,5,,,,2,,,295.0806768,201904913weS:8AM-8PM,,0,1764520190407015,06779,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190407,2019,4,9,9,9,1,4334,5,3,3,5,3,0.00,60,4,1,0,0,0,0,,,1764520190407027,4,2,2,,,,,Y,we,,1764520190407,3,1764520190407027,,1,S:8AM-8PM,04,,,NEW HAVEN,1352,167680,,,1,,8,1,8,1,63,,17MAY19:12:33,8,8835020102,,5,,,,2,,,295.0806768,201904913weS:8AM-8PM,,0,1764520190407027,06401,03/03/2025
,,201904913weS:8AM-8PM,201929131764520190407,2019,4,9,1,9,1,4334,5,3,3,5,1.5,0.00,1,0,1,0,0,0,0,,,1764520190407030,4,2,2,,,,,Y,we,,1764520190407,3,1764520190407030,,1,S:8AM-8PM,04,,,FAIRFIELD,1512,,,,1,,8,1,8,1,61,,17MAY19:12:33,8,,,5,,,,2,,,303.76463218,201904913weS:8AM-8PM,,0,1764520190407030,06902,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190407,2019,4,9,1,9,1,4334,5,3,3,5,1.5,0.00,1,0,1,0,0,0,0,,,1764520190407031,4,2,2,,,,,Y,we,,1764520190407,3,1764520190407031,,1,S:8AM-8PM,04,,,FAIRFIELD,1512,167680,,,1,,8,2,8,1,63,,17MAY19:12:33,8,8835020102,,5,,,,2,,,303.76463218,201904913weS:8AM-8PM,,0,1764520190407031,06902,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190407,2019,4,9,3,9,1,4334,5,3,3,5,2,0.00,100,0,1,1,0,0,0,,,1764520190407040,4,2,2,,,,,Y,we,,1764520190407,3,1764520190407040,2,1,S:8AM-8PM,04,,,HARTFORD,1614,167680,,,1,,8,1,8,1,,,17MAY19:12:33,8,8835020102,,5,,,,2,,,303.76463218,201904913weS:8AM-8PM,,0,1764520190407040,06010,03/03/2025
,TAUTOG,201904913weS:8AM-8PM,201929131764520190413,2019,4,9,9,9,9,251,1,3,C,5,3,,75,2,1,0,0,0,0,,,1764520190413001,4,2,2,,,,,Y,we,,1764520190413,1,1764520190413001,,1,S:8AM-8PM,04,,,NEW HAVEN,1539,170479,,,1,,8,2,8,1,,,17MAY19:12:33,8,8839010101,,0,,,,2,,,306.36097288,201904913weS:8AM-8PM,,0,1764520190413001,06516,03/03/2025
,TAUTOG,201904913weS:8AM-8PM,201929131764520190413,2019,4,9,9,9,9,251,1,3,C,5,3,,75,0,1,0,0,0,0,,,1764520190413002,4,2,2,,,,,Y,we,,1764520190413,1,1764520190413002,,1,S:8AM-8PM,04,,,NEW HAVEN,1540,170479,,,1,,8,2,8,1,64,,17MAY19:12:33,8,8839010101,,0,,,,2,,,306.36097288,201904913weS:8AM-8PM,,0,1764520190413002,06517,03/03/2025
,,201904913weS:8AM-8PM,201929131764520190413,2019,4,9,9,9,9,251,1,3,C,5,3,,998,10,1,0,0,0,0,,,1764520190413003,4,2,2,,,,,Y,we,,1764520190413,1,1764520190413003,,1,S:8AM-8PM,04,,,NEW HAVEN,1546,,,,1,,8,1,8,1,71,,17MAY19:12:33,8,,,0,,,,2,,,306.36097288,201904913weS:8AM-8PM,,0,1764520190413003,06516,03/03/2025
BLUEFISH,STRIPED BASS,201904913wdS:8AM-8PM,201929131764520190418,2019,4,9,9,9,9,251,1,3,C,5,1.5,,10,0,1,0,0,0,0,,,1764520190418001,4,2,2,,,,,Y,wd,,1764520190418,1,1764520190418001,,1,S:8AM-8PM,04,,,NEW HAVEN,1600,167680,168559,,1,,8,1,8,1,37,,17MAY19:12:33,8,8835020102,8835250101,0,,,,2,,,3412.2609351,201904913wdS:8AM-8PM,,0,1764520190418001,06512,03/03/2025
,STRIPED BASS,201904913wdS:8AM-8PM,201929131764520190418,2019,4,9,9,9,9,251,1,3,C,5,0.5,,0,0,1,0,0,0,0,,,1764520190418002,4,2,2,,,,,Y,wd,,1764520190418,1,1764520190418002,,1,S:8AM-8PM,04,,,NEW HAVEN,1805,167680,,,1,,8,2,8,2,44,,17MAY19:12:33,8,8835020102,,0,,,,2,,,8810.5685711,201904913wdS:8AM-8PM,,0,1764520190418002,06512,03/03/2025
,STRIPED BASS,201904913wdS:8AM-8PM,201929131764520190418,2019,4,9,9,9,9,251,1,3,C,5,0.5,,0,0,1,0,0,0,0,,,1764520190418003,4,2,2,,,,,Y,wd,,1764520190418,1,1764520190418003,,1,S:8AM-8PM,04,,,NEW HAVEN,1805,167680,,,1,,8,2,8,1,9,,17MAY19:12:33,8,8835020102,,0,,,,2,,,8810.5685711,201904913wdS:8AM-8PM,,0,1764520190418003,06512,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190420,2019,4,9,1,9,1,4334,5,3,3,5,1,0.00,6,4,1,0,0,0,0,,,1764520190420005,4,2,2,,,,,Y,we,,1764520190420,3,1764520190420005,,1,S:8AM-8PM,04,,,FAIRFIELD,1226,167680,,,1,,8,1,8,1,58,,17MAY19:12:33,8,8835020102,,5,,,,2,,,307.94925247,201904913weS:8AM-8PM,,0,1764520190420005,06484,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190420,2019,4,9,1,9,1,4334,5,3,3,5,0.5,0.00,2,0,1,0,0,0,0,,,1764520190420006,4,2,2,,,,,Y,we,,1764520190420,3,1764520190420006,,1,S:8AM-8PM,04,,,FAIRFIELD,1233,167680,,,1,,8,2,8,2,26,,17MAY19:12:33,8,8835020102,,5,,,,2,,,307.94925247,201904913weS:8AM-8PM,,0,1764520190420006,06470,03/03/2025
,STRIPED BASS,201904913weS:8AM-8PM,201929131764520190420,2019,4,9,1,9,1,4334,5,3,3,5,0.5,0.00,2,0,1,0,0,0,0,,,1764520190420007,4,2,2,,,,,Y,we,,1764520190420,3,1764520190420007,,1,S:8AM-8PM,04,,,FAIRFIELD,1304,167680,,,1,,8,2,8,1,33,,17MAY19:12:33,8,8835020102,,5,,,,2,,,307.94925247,201904913weS:8AM-8PM,,0,1764520190420007,06470,03/03/2025
