PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,HRS_DTD,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,KINGFISH GENUS,200916128302wd,1511220090206127295,2009,0,26,163,12,127,295,5,3,1,1,8,0,100,1,1,2,1,8,0,0,,,1511220090206004,6,1,1,,,,O,,1511220090206,,02,wd,1511220090206004,2,1,0,,1423,169273,0,1,1,1,2,1,2,,1,,20MAR200913:40,1,8835440600,,,,,,,,,,,,,,12155.553117,200916128302wd,,0,1511220090206004,8,48124,03/03/2025
,KINGFISH GENUS,200916128302wd,1511220090206127295,2009,0,26,75,12,127,295,5,3,1,1,8,0,60,18,1,0,0,0,1,0,,,1511220090206005,6,1,3,,,,O,,1511220090206,,02,wd,1511220090206004,,,,,1424,169273,0,1,1,1,8,2,8,,1,,20MAR200913:40,1,8835440600,,,,,,,,,,,,,,12155.553117,200916128302wd,,0,1511220090206004,8,49230,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,127,12,127,295,5,3,1,1,3.5,0,50,8,1,1,0,0,0,0,,,1511220090206006,6,1,2,,,,Y,,1511220090206,,02,wd,1511220090206006,,,,VOLUSIA,1442,168708,169273,1,1,1,8,1,8,,2,,20MAR200913:40,1,8835280901,8835440600,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206006,8,32169,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,31,12,127,295,5,3,1,1,8.5,0,100,15,2,1,0,0,0,0,,,1511220090206009,6,1,2,,,,Y,,1511220090206,,02,wd,1511220090206009,,,,DUVAL,1532,168708,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206009,8,32204,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,31,12,127,295,5,3,1,1,8.5,0,100,15,2,1,1,2,0,0,,,1511220090206010,6,1,1,,,,Y,,1511220090206,,02,wd,1511220090206010,2,,,DUVAL,1533,168708,0,1,1,1,8,2,1,,2,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206010,8,32204,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,109,12,127,295,5,3,1,1,8.5,0,100,15,2,1,1,3,0,0,,,1511220090206011,6,1,1,,,,Y,,1511220090206,,02,wd,1511220090206011,2,3,0,ST JOHNS,1534,168708,0,1,1,1,8,2,1,,2,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206011,8,99998,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,31,12,127,295,5,3,1,1,8.5,0,100,15,2,1,1,1,0,0,,,1511220090206012,6,1,1,,,,Y,,1511220090206,,02,wd,1511220090206012,2,,,DUVAL,1535,168708,0,1,1,1,8,2,1,,2,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206012,8,32257,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,31,12,127,295,5,3,1,1,8.5,0,100,15,2,1,0,2,0,0,,,1511220090206013,6,1,1,,,,Y,,1511220090206,,02,wd,1511220090206013,2,3,0,DUVAL,1543,168708,169273,1,1,1,8,1,1,,2,,20MAR200913:40,1,8835280901,8835440600,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206013,8,32257,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,127,12,127,295,5,3,1,1,2.5,0,150,20,1,1,0,0,0,0,,,1511220090206014,6,1,2,,,,Y,,1511220090206,,02,wd,1511220090206014,,,,VOLUSIA,1605,168708,0,1,1,1,8,1,8,,1,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206014,8,32169,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,200916128302wd,1511220090206127295,2009,6,12,117,12,127,295,5,3,1,1,4,0,11,1,1,1,0,1,0,0,,,1511220090206015,6,1,1,,,,Y,,1511220090206,,02,wd,1511220090206015,2,1,0,SEMINOLE,1613,169273,168708,1,1,1,8,1,1,,2,,20MAR200913:40,1,8835440600,8835280901,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206015,8,32771,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,6,12,95,12,127,295,5,3,1,1,1,0,25,10,1,1,1,0,0,0,,,1511220090206016,6,1,2,,,,Y,,1511220090206,,02,wd,1511220090206016,2,,,ORANGE,1625,168708,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,13216.575856,200916128302wd,,0,1511220090206016,8,32810,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,0,26,147,12,127,295,5,3,1,1,2,0,12,5,1,1,0,0,0,0,,,1511220090206017,6,1,2,,,,O,,1511220090206,,02,wd,1511220090206017,,,,,1631,168708,0,1,1,1,8,1,8,,1,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,12155.553117,200916128302wd,,0,1511220090206017,8,48060,03/03/2025
,FLORIDA POMPANO,200916128302wd,1511220090206127295,2009,0,26,147,12,127,295,5,3,1,1,2,0,12,5,1,1,0,0,0,0,,,1511220090206018,6,1,2,,,,O,,1511220090206,,02,wd,1511220090206018,,,,,1632,168708,0,1,1,1,8,2,8,,1,,20MAR200913:40,1,8835280901,,,,,,,,,,,,,,12155.553117,200916128302wd,,0,1511220090206018,8,48060,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,2,0,300,45,1,1,1,0,0,0,,,1511220090207001,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207001,2,0,1,VOLUSIA,1051,169288,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207001,8,32129,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,5,0,100,15,2,1,0,6,0,0,,,1511220090207002,6,1,1,,,,Y,,1511220090207,,02,we,1511220090207002,2,6,0,VOLUSIA,1105,169288,0,1,1,1,8,1,1,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207002,8,32127,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,69,12,127,142,1,3,1,1,4,,1,0,1,1,0,0,0,0,,,1511220090207003,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207003,,,,LAKE,1126,0,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207003,8,32726,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,1.5,,7,7,1,1,0,0,0,0,,,1511220090207004,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207004,,,,VOLUSIA,1149,0,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207004,8,32129,03/03/2025
,,200916128302we,1511220090207127142,2009,0,39,95,12,127,142,1,3,1,1,1.5,,7,7,2,1,0,0,0,0,,,1511220090207005,6,1,2,,,,O,,1511220090207,,02,we,1511220090207005,,,,,1150,0,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,9965.9439272,200916128302we,,0,1511220090207005,8,43613,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,4.5,0,150,25,2,1,1,0,0,0,,,1511220090207006,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207006,2,0,3,VOLUSIA,1244,169288,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207006,8,32127,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,4,0,250,40,2,1,1,5,0,0,,,1511220090207007,6,1,1,,,,Y,,1511220090207,,02,we,1511220090207007,2,1,0,VOLUSIA,1313,169288,0,1,1,1,8,1,1,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207007,8,32764,03/03/2025
,,200916128302we,1511220090207127142,2009,5,36,21,12,127,142,1,3,1,1,4,,0,0,1,1,0,0,0,0,,,1511220090207008,6,1,2,,,,O,,1511220090207,,02,we,1511220090207008,,,,,1318,0,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,9965.9439272,200916128302we,,0,1511220090207008,8,12173,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,3,,20,2,2,1,0,0,0,0,,,1511220090207009,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207009,,,,VOLUSIA,1329,0,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207009,8,32713,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,3,,20,2,1,1,0,0,0,0,,,1511220090207010,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207010,,,,VOLUSIA,1332,0,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207010,8,32127,03/03/2025
RED DRUM,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,3,0,200,3,1,2,0,1,0,0,,,1511220090207011,6,1,1,,,,Y,,1511220090207,,02,we,1511220090207011,2,2,0,VOLUSIA,1349,169288,169290,1,1,1,2,1,2,,2,,20MAR200913:40,1,8835440801,8835440901,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207011,8,32114,03/03/2025
RED DRUM,SEATROUT GENUS,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,3,0,220,3,1,0,1,0,1,0,,,1511220090207012,6,1,3,,,,Y,,1511220090207,,02,we,1511220090207011,2,,,VOLUSIA,1350,169238,169290,1,1,1,8,2,8,,2,,20MAR200913:40,1,8835440100,8835440901,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207011,8,32114,03/03/2025
,KINGFISH GENUS,200916128302we,1511220090207127142,2009,0,99,998,12,127,142,1,3,1,1,3,,40,40,1,1,0,0,0,0,,,1511220090207013,6,1,2,,,,O,,1511220090207,,02,we,1511220090207013,,,,,1423,169273,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,8835440600,,,,,,,,,,,,,,9965.9439272,200916128302we,,0,1511220090207013,8,99997,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,95,12,127,142,1,3,1,1,2,0,998,25,2,1,3,1,0,0,,,1511220090207014,6,1,1,,,,Y,,1511220090207,,02,we,1511220090207014,2,,,ORANGE,1437,169288,0,1,1,1,8,2,1,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207014,8,99998,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,95,12,127,142,1,3,1,1,2.5,0,998,25,2,1,0,2,0,0,,,1511220090207015,6,1,1,,,,Y,,1511220090207,,02,we,1511220090207015,2,2,0,ORANGE,1500,169288,0,1,1,1,8,2,1,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207015,8,99998,03/03/2025
,,200916128302we,1511220090207127142,2009,7,12,71,12,127,142,1,3,1,1,3,0,50,20,1,1,1,4,0,0,,,1511220090207016,6,1,1,,,,O,,1511220090207,,02,we,1511220090207016,2,4,0,LEE,1534,0,0,1,1,1,8,2,1,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,9965.9439272,200916128302we,,0,1511220090207016,8,33912,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,3,,30,6,1,1,0,0,0,0,,,1511220090207017,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207017,,,,VOLUSIA,1535,0,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207017,8,32117,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,117,12,127,142,1,3,1,1,8.5,,9,5,2,1,0,0,0,0,,,1511220090207018,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207018,,,,SEMINOLE,1614,0,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207018,8,32773,03/03/2025
,BLACK DRUM,200916128302we,1511220090207127142,2009,6,12,127,12,127,142,1,3,1,1,9,0,75,12,2,1,1,6,0,0,,,1511220090207019,6,1,1,,,,Y,,1511220090207,,02,we,1511220090207019,2,5,1,VOLUSIA,1622,169288,0,1,1,1,8,1,1,,2,,20MAR200913:40,1,8835440801,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207019,8,99998,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,95,12,127,142,1,3,1,1,6,0,40,6,1,1,1,0,0,0,,,1511220090207020,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207020,2,,,ORANGE,1723,0,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207020,8,32811,03/03/2025
,,200916128302we,1511220090207127142,2009,6,12,95,12,127,142,1,3,1,1,6,,40,4,1,1,0,0,0,0,,,1511220090207021,6,1,2,,,,Y,,1511220090207,,02,we,1511220090207021,,,,ORANGE,1724,0,0,1,1,1,8,2,8,,2,,20MAR200913:40,1,,,,,,,,,,,,,,,10835.842074,200916128302we,,0,1511220090207021,8,32811,03/03/2025
,,200916128302wd,1515620090206311416,2009,6,12,31,12,31,1416,5,3,1,1,3,0,180,0,1,1,2,0,0,0,,,1515620090206001,6,1,2,,,,Y,,1515620090206,,02,wd,1515620090206001,2,,,DUVAL,1409,0,0,1,1,1,8,1,8,,1,,20MAR200913:40,1,,,,,,,,,,,,,,,25472.498371,200916128302wd,,0,1515620090206001,8,32216,03/03/2025
RED DRUM,SPOTTED SEATROUT,200916128302we,151562009022289983,2009,6,12,89,12,89,983,2,3,1,1,1,0,50,6,2,1,1,0,0,0,,,1515620090222001,6,1,2,,,,Y,,1515620090222,,02,we,1515620090222001,2,,,NASSAU,1532,169239,169290,1,1,1,8,1,8,,1,,20MAR200913:40,1,8835440102,8835440901,,,,,,,,,,,,,25147.494205,200916128302we,,0,1515620090222001,8,99998,03/03/2025
,KINGFISH GENUS,200916128302we,151562009022289983,2009,6,12,89,12,89,983,2,3,1,1,1.5,0,6,4,1,2,1,8,0,0,,,1515620090222007,6,1,1,,,,Y,,1515620090222,,02,we,1515620090222007,2,1,0,NASSAU,1633,169273,0,1,1,1,2,1,2,,2,,20MAR200913:40,1,8835440600,,,,,,,,,,,,,,25147.494205,200916128302we,,0,1515620090222007,8,32034,03/03/2025
,KINGFISH GENUS,200916128302we,151562009022289983,2009,6,12,89,12,89,983,2,3,1,1,1.5,,6,4,1,0,0,0,1,0,,,1515620090222008,6,1,3,,,,Y,,1515620090222,,02,we,1515620090222007,,,,NASSAU,1634,169273,0,1,1,1,8,1,8,,2,,20MAR200913:40,1,8835440600,,,,,,,,,,,,,,25147.494205,200916128302we,,0,1515620090222007,8,32034,03/03/2025
