COMMON,STRAT_ID,PSU_ID,YEAR,ST,ID_CODE,WAVE,SUB_REG,MODE_FX,AREA_X,KOD,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,TOT_LEN_A,WGT_A,TOT_LEN_B1,WGT_B1,REGION,MONTH,WP_INT,FL_REG,WP_CATCH,TOT_CAT,WGT_AB1,TOT_LEN,LANDING,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
BLUESTRIPED GRUNT,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119001,1,6,3,1,we,8835400113,0,1,0,0,0,1,0,0,0,0,5,01,10921.610603,8,10921.610603,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
BONEFISH,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119002,1,6,3,1,we,8739010101,0,1,0,0,0,1,0,0,0,0,5,01,10877.770826,8,10877.770826,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119003,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,10921.610603,8,10921.610603,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119004,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,10921.610603,8,10921.610603,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
CERO,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119005,1,6,3,1,we,8850030503,0,1,0,0,0,1,0,0,0,0,5,01,10921.610603,8,10921.610603,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
PUFFER GENUS,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119006,1,6,3,1,we,8861010200,0,1,0,0,0,1,0,0,0,0,5,01,10877.770826,8,10877.770826,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119007,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,10877.770826,8,10877.770826,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119008,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,28170.400329,8,28170.400329,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119009,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,28170.400329,8,28170.400329,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119010,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,28170.400329,8,28170.400329,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119011,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,28170.400329,8,28170.400329,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119012,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,28170.400329,8,28170.400329,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
BLUESTRIPED GRUNT,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119013,1,6,3,1,we,8835400113,0,1,0,0,0,1,0,0,0,0,5,01,28170.400329,8,28170.400329,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
GRAY SNAPPER,2025011253weS:8AM-8PM,2025112531599620250119,2025,12,1599620250119014,1,6,3,1,we,8835360102,0,1,0,0,0,1,0,0,0,0,5,01,28170.400329,8,28170.400329,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
BONNETHEAD,2025011263weS:8AM-8PM,2025112631600320250131,2025,12,1600320250131002,1,6,3,1,we,8708030101,1,0,0,1,0,0,739.69424731,3.16,0,0,6,01,12936.433204,8,12936.433204,1,3.16,739.69424731,1,2025011263weS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025011263weS:8AM-8PM,2025112631600320250131,2025,12,1600320250131002,1,6,3,1,we,8777180202,0,6,0,0,0,6,0,0,0,0,6,01,12936.433204,8,12936.433204,6,0,0,0,2025011263weS:8AM-8PM,,0,02/19/2026
BLACK DRUM,2025011263weS:8AM-8PM,2025112631600320250131,2025,12,1600320250131002,1,6,3,1,we,8835440801,1,0,0,1,0,0,470,1.66,0,0,6,01,12936.433204,8,12936.433204,1,1.66,470,1,2025011263weS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102001,1,6,3,1,wd,8777180202,0,1,0,0,0,1,0,0,0,0,6,01,74743.688321,8,74743.688321,1,0,0,0,2025011263wdS:8AM-8PM,,0,02/19/2026
GULF KINGFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102001,1,6,3,1,wd,8835440602,6,0,0,6,0,0,1730.4,1.368,0,0,6,01,74743.688321,8,74743.688321,6,1.368,1730.4,6,2025011263wdS:8AM-8PM,,0,02/19/2026
ATLANTIC CROAKER,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102001,1,6,3,1,wd,8835440702,2,0,0,2,0,0,498,0.38,0,0,6,01,74743.688321,8,74743.688321,2,0.38,498,2,2025011263wdS:8AM-8PM,,0,02/19/2026
GULF KINGFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102002,1,6,3,1,wd,8835440602,0,1,0,0,0,1,0,0,0,0,6,01,74443.664198,8,74443.664198,1,0,0,0,2025011263wdS:8AM-8PM,,0,02/19/2026
SPANISH MACKEREL,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102002,1,6,3,1,wd,8850030502,0,1,0,0,0,1,0,0,0,0,6,01,74443.664198,8,74443.664198,1,0,0,0,2025011263wdS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102003,1,6,3,1,wd,8777180202,0,7,0,0,0,7,0,0,0,0,6,01,74443.664198,8,74443.664198,7,0,0,0,2025011263wdS:8AM-8PM,,0,02/19/2026
FLORIDA POMPANO,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102003,1,6,3,1,wd,8835280901,1,0,0,1,0,0,289,0.56,0,0,6,01,74443.664198,8,74443.664198,1,0.56,289,1,2025011263wdS:8AM-8PM,,0,02/19/2026
LADYFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102004,1,6,3,1,wd,8738010101,0,1,0,0,0,1,0,0,0,0,6,01,74743.688321,8,74743.688321,1,0,0,0,2025011263wdS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102004,1,6,3,1,wd,8777180202,0,10,0,0,0,10,0,0,0,0,6,01,74743.688321,8,74743.688321,10,0,0,0,2025011263wdS:8AM-8PM,,0,02/19/2026
FLORIDA POMPANO,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102004,1,6,3,1,wd,8835280901,1,0,0,1,0,0,293,0.48,0,0,6,01,74743.688321,8,74743.688321,1,0.48,293,1,2025011263wdS:8AM-8PM,,0,02/19/2026
GULF KINGFISH,2025011263wdS:8AM-8PM,2025112631601520250102,2025,12,1601520250102004,1,6,3,1,wd,8835440602,5,0,0,5,0,0,1473,1.34,0,0,6,01,74743.688321,8,74743.688321,5,1.34,1473,5,2025011263wdS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104001,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,2960.5245487,8,2960.5245487,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
REQUIEM SHARK GENUS,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104002,1,6,3,1,we,8708020500,0,1,0,0,0,1,0,0,0,0,5,01,2960.5245487,8,2960.5245487,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104003,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,2960.5245487,8,2960.5245487,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104004,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,2960.5245487,8,2960.5245487,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
GRAY SNAPPER,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104005,1,6,3,1,we,8835360102,0,1,0,0,0,1,0,0,0,0,5,01,3088.5818881,8,3088.5818881,1,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104006,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,3088.5818881,8,3088.5818881,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104007,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,3088.5818881,8,3088.5818881,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104008,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,3076.1841982,8,3076.1841982,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104009,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,3076.1841982,8,3076.1841982,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104010,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,3076.1841982,8,3076.1841982,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253weS:8AM-8PM,2025112531601520250104,2025,12,1601520250104011,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,3076.1841982,8,3076.1841982,0,0,0,0,2025011253weS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129001,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,25799.030253,8,25799.030253,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129002,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,25695.471924,8,25695.471924,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
SPANISH MACKEREL,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129003,1,6,3,1,wd,8850030502,0,0,3,0,3,0,0,0,1636,4.42,5,01,17303.127886,8,17303.127886,3,4.42,1636,3,2025011253wdS:8AM-8PM,,0,02/19/2026
SPOTTAIL PINFISH,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129004,1,6,3,1,wd,8835430401,4,1,0,4,0,1,845,1.08,0,0,5,01,25695.471924,8,25695.471924,5,1.08,845,4,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129005,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,25799.030253,8,25799.030253,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
SPANISH MACKEREL,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129006,1,6,3,1,wd,8850030502,0,0,3,0,3,0,0,0,1582,3.8,5,01,12544.427468,8,12544.427468,3,3.8,1582,3,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129007,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,25695.471924,8,25695.471924,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129008,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5318.3950055,8,5318.3950055,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129009,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5318.3950055,8,5318.3950055,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129010,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5339.8292916,8,5339.8292916,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129011,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5339.8292916,8,5339.8292916,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129012,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5318.3950055,8,5318.3950055,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129013,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5318.3950055,8,5318.3950055,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129014,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5339.8292916,8,5339.8292916,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129015,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5318.3950055,8,5318.3950055,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
,2025011253wdS:8AM-8PM,2025112531601520250129,2025,12,1601520250129016,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,5318.3950055,8,5318.3950055,0,0,0,0,2025011253wdS:8AM-8PM,,0,02/19/2026
HERRING FAMILY,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216001,1,6,3,1,we,8747010000,0,2,0,0,0,2,0,0,0,0,5,02,1278.1737597,8,1278.1737597,2,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
YELLOW JACK,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216001,1,6,3,1,we,8835280301,0,1,0,0,0,1,0,0,0,0,5,02,1278.1737597,8,1278.1737597,1,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
YELLOW JACK,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216002,1,6,3,1,we,8835280301,0,1,0,0,0,1,0,0,0,0,5,02,1278.1737597,8,1278.1737597,1,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
YELLOW JACK,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216003,1,6,3,1,we,8835280301,0,1,0,0,0,1,0,0,0,0,5,02,1278.1737597,8,1278.1737597,1,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216004,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,1278.1737597,8,1278.1737597,0,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216005,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,1278.1737597,8,1278.1737597,0,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
,2025021253weS:8AM-8PM,2025112531601620250216,2025,12,1601620250216006,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,1278.1737597,8,1278.1737597,0,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
UNIDENTIFIED FISH,2025021253wdS:8AM-8PM,2025112531601620250227,2025,12,1601620250227005,1,6,3,1,wd,1000000000,0,1,0,0,0,1,0,0,0,0,5,02,9552.71141,8,9552.71141,1,0,0,0,2025021253wdS:8AM-8PM,,0,02/19/2026
,2025021253wdS:8AM-8PM,2025112531601620250227,2025,12,1601620250227006,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,02,9552.71141,8,9552.71141,0,0,0,0,2025021253wdS:8AM-8PM,,0,02/19/2026
,2025021253wdS:8AM-8PM,2025112531601620250227,2025,12,1601620250227007,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,02,9552.71141,8,9552.71141,0,0,0,0,2025021253wdS:8AM-8PM,,0,02/19/2026
,2025021253wdS:8AM-8PM,2025112531601620250227,2025,12,1601620250227008,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,02,9552.71141,8,9552.71141,0,0,0,0,2025021253wdS:8AM-8PM,,0,02/19/2026
,2025021253weS:8AM-8PM,2025112531602320250202,2025,12,1602320250202001,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,13111.734952,8,13111.734952,0,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
,2025021253weS:8AM-8PM,2025112531602320250202,2025,12,1602320250202002,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,21405.712664,8,21405.712664,0,0,0,0,2025021253weS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025011263weS:8AM-8PM,2025112631602920250110,2025,12,1602920250110001,1,6,3,1,we,8777180202,0,1,0,0,0,1,0,0,0,0,6,01,6490.0391846,8,6490.0391846,1,0,0,0,2025011263weS:8AM-8PM,,0,02/19/2026
CREVALLE JACK,2025011263weS:8AM-8PM,2025112631602920250110,2025,12,1602920250110001,1,6,3,1,we,8835280303,0,1,0,0,0,1,0,0,0,0,6,01,6490.0391846,8,6490.0391846,1,0,0,0,2025011263weS:8AM-8PM,,0,02/19/2026
ATLANTIC THREADFIN,2025011263weS:8AM-8PM,2025112631602920250110,2025,12,1602920250110001,1,6,3,1,we,8838010101,0,1,0,0,0,1,0,0,0,0,6,01,6490.0391846,8,6490.0391846,1,0,0,0,2025011263weS:8AM-8PM,,0,02/19/2026
,2025021263weS:8AM-8PM,2025112631602920250202,2025,12,1602920250202001,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,02,28170.400329,8,28170.400329,0,0,0,0,2025021263weS:8AM-8PM,,0,02/19/2026
,2025021263weS:8AM-8PM,2025112631602920250202,2025,12,1602920250202002,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,02,28283.933156,8,28283.933156,0,0,0,0,2025021263weS:8AM-8PM,,0,02/19/2026
,2025021263weS:8AM-8PM,2025112631602920250202,2025,12,1602920250202003,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,02,28283.933156,8,28283.933156,0,0,0,0,2025021263weS:8AM-8PM,,0,02/19/2026
,2025021263weS:8AM-8PM,2025112631602920250202,2025,12,1602920250202004,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,02,28283.933156,8,28283.933156,0,0,0,0,2025021263weS:8AM-8PM,,0,02/19/2026
ATLANTIC CROAKER,2025021263weS:8AM-8PM,2025112631602920250202,2025,12,1602920250202005,1,6,3,1,we,8835440702,0,1,0,0,0,1,0,0,0,0,6,02,28170.400329,8,28170.400329,1,0,0,0,2025021263weS:8AM-8PM,,0,02/19/2026
,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205001,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,6,02,4851.1620147,8,4851.1620147,0,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205002,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,6,02,4831.6892584,8,4831.6892584,0,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
GAFFTOPSAIL CATFISH,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205005,1,6,3,1,wd,8777180101,0,1,0,0,0,1,0,0,0,0,6,02,4851.1620147,8,4851.1620147,1,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
CREVALLE JACK,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205005,1,6,3,1,wd,8835280303,0,1,0,0,0,1,0,0,0,0,6,02,4851.1620147,8,4851.1620147,1,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
ATLANTIC CROAKER,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205005,1,6,3,1,wd,8835440702,0,1,0,0,0,1,0,0,0,0,6,02,4851.1620147,8,4851.1620147,1,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
CHECKERED PUFFER,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205005,1,6,3,1,wd,8861010202,0,1,0,0,0,1,0,0,0,0,6,02,4851.1620147,8,4851.1620147,1,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205006,1,6,3,1,wd,8777180202,0,2,0,0,0,2,0,0,0,0,6,02,4831.6892584,8,4831.6892584,2,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
CREVALLE JACK,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205006,1,6,3,1,wd,8835280303,0,3,0,0,0,3,0,0,0,0,6,02,4831.6892584,8,4831.6892584,3,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
PUFFER FAMILY,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205006,1,6,3,1,wd,8861010000,0,1,0,0,0,1,0,0,0,0,6,02,4831.6892584,8,4831.6892584,1,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
UNIDENTIFIED FISH,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205007,1,6,3,1,wd,1000000000,0,0,2,0,2,0,0,0,0,0,6,02,4831.6892584,8,4831.6892584,2,0,0,2,2025021263wdS:8AM-8PM,,0,02/19/2026
HARDHEAD CATFISH,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205007,1,6,3,1,wd,8777180202,0,2,0,0,0,2,0,0,0,0,6,02,4831.6892584,8,4831.6892584,2,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
CREVALLE JACK,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205007,1,6,3,1,wd,8835280303,0,3,0,0,0,3,0,0,0,0,6,02,4831.6892584,8,4831.6892584,3,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
GAFFTOPSAIL CATFISH,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205008,1,6,3,1,wd,8777180101,0,1,0,0,0,1,0,0,0,0,6,02,4831.6892584,8,4831.6892584,1,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
COMMON SNOOK,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205009,1,6,3,1,wd,8835010105,0,3,0,0,0,3,0,0,0,0,6,02,4831.6892584,8,4831.6892584,3,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
HAMMERHEAD SHARK GENUS,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205010,1,6,3,1,wd,8708030100,0,2,0,0,0,2,0,0,0,0,6,02,35738.390137,8,35738.390137,2,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
CREVALLE JACK,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205010,1,6,3,1,wd,8835280303,0,25,0,0,0,25,0,0,0,0,6,02,35738.390137,8,35738.390137,25,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
PUFFER FAMILY,2025021263wdS:8AM-8PM,2025112631602920250205,2025,12,1602920250205010,1,6,3,1,wd,8861010000,0,2,0,0,0,2,0,0,0,0,6,02,35738.390137,8,35738.390137,2,0,0,0,2025021263wdS:8AM-8PM,,0,02/19/2026
