PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,NEW_LIST,KOD,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,MONTH,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,DATE1,DIST,PRIM1,PRIM2,MODE2001,TURTLE,SEX,REEFCODE,AGE,AREA_NC,ART_REEF,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,FSHINSP_A,NUM_FISH_A,ZIP,DATE_PUBLISHED
,TAUTOG,201711913wdS:8AM-8PM,201769131764520171115,2017,4,9,9,9,9,291,2,3,C,5,1.5,,4,3,1,0,0,0,0,,,1764520171115001,4,6,2,,,,,Y,,wd,1764520171115,1,1764520171115001,,1,S:8AM-8PM,11,NEW HAVEN,1530,170479,,,1,1,8,2,8,18JAN18:08:30,8,8839010101,,2,,0,,,,,,,3809.6939031,201711913wdS:8AM-8PM,,0,1764520171115001,8,,,06513,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171118,2017,4,9,11,9,11,828,5,3,C,5,1.5,0.00,104,45,1,0,0,0,0,,,1764520171118002,4,6,2,,,,,Y,,we,1764520171118,3,1764520171118002,,1,S:8AM-8PM,11,NEW LONDON,1245,170479,,,1,1,8,1,8,18JAN18:08:30,8,8839010101,,5,,0,,,,,,,21676.204746,201711913weS:8AM-8PM,,0,1764520171118002,8,,,06320,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171124,2017,4,9,11,9,11,666,5,3,C,5,0.5,1.00,12,7,1,0,0,0,0,,,1764520171124001,4,6,2,,,,,Y,,we,1764520171124,1,1764520171124001,,1,S:8AM-8PM,11,NEW LONDON,1324,170479,,,1,1,8,1,8,18JAN18:08:30,8,8839010101,,5,,0,,,,,,,3974.9372959,201711913weS:8AM-8PM,,0,1764520171124001,8,,,06340,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171124,2017,4,9,11,9,11,666,5,3,C,5,0.5,1.00,12,0,1,0,0,0,0,,,1764520171124002,4,6,2,,,,,Y,,we,1764520171124,1,1764520171124002,,1,S:8AM-8PM,11,NEW LONDON,1325,170479,,,1,1,8,2,8,18JAN18:08:30,8,8839010101,,5,,0,,,,,,,3974.9372959,201711913weS:8AM-8PM,,0,1764520171124002,8,,,06340,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171124,2017,4,9,11,9,11,666,5,3,C,5,0.5,1.00,4,2,1,0,0,0,0,,,1764520171124003,4,6,2,,,,,Y,,we,1764520171124,1,1764520171124003,,1,S:8AM-8PM,11,NEW LONDON,1326,170479,,,1,1,8,2,8,18JAN18:08:30,8,8839010101,,5,,0,,,,,,,3974.9372959,201711913weS:8AM-8PM,,0,1764520171124003,8,,,06340,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171124,2017,4,9,11,9,11,666,5,3,C,5,0.5,1.00,24,20,1,0,0,0,0,,,1764520171124004,4,6,2,,,,,Y,,we,1764520171124,1,1764520171124004,,1,S:8AM-8PM,11,NEW LONDON,1348,170479,,,1,1,8,1,8,18JAN18:08:30,8,8839010101,,5,,0,,,,,,,3974.9372959,201711913weS:8AM-8PM,,0,1764520171124004,8,,,06385,03/03/2025
,,201711913weS:8AM-8PM,201769131764520171124,2017,4,9,9,9,11,1777,1,3,C,5,4,,50,10,1,0,0,0,0,,,1764520171124005,4,6,2,,,,,Y,,we,1764520171124,1,1764520171124005,,1,S:8AM-8PM,11,NEW HAVEN,1624,,,,1,1,8,1,8,18JAN18:08:30,8,,,0,,0,,,,,,,3270.3556752,201711913weS:8AM-8PM,,0,1764520171124005,8,,,06260,03/03/2025
,,201711913weS:8AM-8PM,201769131764520171124,2017,4,9,9,9,11,1777,1,3,C,5,4,,2,1,1,0,0,0,0,,,1764520171124006,4,6,2,,,,,Y,,we,1764520171124,1,1764520171124006,,1,S:8AM-8PM,11,NEW HAVEN,1625,,,,1,1,8,2,8,18JAN18:08:30,8,,,0,,0,,,,,,,3270.3556752,201711913weS:8AM-8PM,,0,1764520171124006,8,,,06260,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171125,2017,4,9,7,9,11,627,1,3,C,5,0.5,,5,3,1,0,0,0,0,,,1764520171125001,4,6,2,,,,,Y,,we,1764520171125,1,1764520171125001,,1,S:8AM-8PM,11,MIDDLESEX,1543,170479,,,1,1,8,2,8,18JAN18:08:30,8,8839010101,,1,,0,,,,,,,12272.377304,201711913weS:8AM-8PM,,0,1764520171125001,8,,,06457,03/03/2025
,TAUTOG,201711913weS:8AM-8PM,201769131764520171125,2017,4,9,7,9,11,627,1,3,C,5,0.5,,5,3,1,0,0,0,0,,,1764520171125002,4,6,2,,,,,Y,,we,1764520171125,1,1764520171125002,,1,S:8AM-8PM,11,MIDDLESEX,1544,170479,,,1,1,8,2,8,18JAN18:08:30,8,8839010101,,1,,0,,,,,,,12272.377304,201711913weS:8AM-8PM,,0,1764520171125002,8,,,06457,03/03/2025
,,201711913weS:8AM-8PM,201769131764520171125,2017,4,9,3,9,11,627,1,3,C,5,2.5,,30,7,1,0,0,0,0,,,1764520171125003,4,6,2,,,,,Y,,we,1764520171125,1,1764520171125003,,1,S:8AM-8PM,11,HARTFORD,1614,,,,1,1,8,2,8,18JAN18:08:30,8,,,1,,0,,,,,,,12272.377304,201711913weS:8AM-8PM,,0,1764520171125003,8,,,06026,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,9,9,1,4334,5,3,3,5,1,0.00,101,26,1,1,0,0,0,,,1764520171126002,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126002,2,1,S:8AM-8PM,11,NEW HAVEN,1210,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1375.4743089,201711913weS:8AM-8PM,,0,1764520171126002,8,,,06461,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,1,9,1,4334,5,3,3,5,0.5,0.00,90,2,1,0,0,0,0,,,1764520171126003,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126003,,1,S:8AM-8PM,11,FAIRFIELD,1302,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1375.4743089,201711913weS:8AM-8PM,,0,1764520171126003,8,,,06484,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,9,9,1,4334,5,3,3,5,1,0.00,201,41,1,1,0,0,0,,,1764520171126004,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126004,2,1,S:8AM-8PM,11,NEW HAVEN,1324,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1375.4743089,201711913weS:8AM-8PM,,0,1764520171126004,8,,,06401,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,9,9,1,4334,5,3,3,5,1,0.00,101,25,1,1,0,0,0,,,1764520171126005,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126005,2,1,S:8AM-8PM,11,NEW HAVEN,1347,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1375.4743089,201711913weS:8AM-8PM,,0,1764520171126005,8,,,06401,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,1,9,1,4334,5,3,3,5,6,0.00,100,60,1,1,0,0,0,,,1764520171126006,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126006,2,1,S:8AM-8PM,11,FAIRFIELD,1405,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1286.5826518,201711913weS:8AM-8PM,,0,1764520171126006,8,,,06484,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,1,9,1,4334,5,3,3,5,1,0.00,1,0,1,1,0,0,0,,,1764520171126009,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126009,2,1,S:8AM-8PM,11,FAIRFIELD,1515,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1286.5826518,201711913weS:8AM-8PM,,0,1764520171126009,8,,,06612,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131764520171126,2017,4,9,1,9,1,4334,5,3,3,5,1,0.00,1,0,1,1,0,0,0,,,1764520171126010,4,6,2,,,,,Y,,we,1764520171126,3,1764520171126010,2,1,S:8AM-8PM,11,FAIRFIELD,1516,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1286.5826518,201711913weS:8AM-8PM,,0,1764520171126010,8,,,06612,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131764520171201,2017,4,9,7,9,11,604,1,3,C,5,1.5,,50,20,1,0,0,0,0,,,1764520171201001,4,6,2,,,,,Y,,we,1764520171201,1,1764520171201001,,1,S:8AM-8PM,12,MIDDLESEX,1319,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,0,,0,,,,,,,1931.0081938,201712913weS:8AM-8PM,,0,1764520171201001,8,,,06475,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131764520171202,2017,4,9,7,9,11,604,1,3,C,5,1,,60,23,1,0,0,0,0,,,1764520171202001,4,6,2,,,,,Y,,we,1764520171202,1,1764520171202001,,1,S:8AM-8PM,12,MIDDLESEX,1017,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,0,,0,,,,,,,6798.346317,201712913weS:8AM-8PM,,0,1764520171202001,8,,,06475,03/03/2025
,STRIPED BASS,201712913wdS:8AM-8PM,201769131764520171204,2017,4,9,7,9,11,607,5,3,C,5,1.5,0.00,50,20,1,0,0,0,0,,,1764520171204001,4,6,2,,,,,Y,,wd,1764520171204,3,1764520171204001,,1,S:8AM-8PM,12,MIDDLESEX,1220,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,13471.363849,201712913wdS:8AM-8PM,,0,1764520171204001,8,,,06475,03/03/2025
WHITE PERCH,CHANNEL CATFISH,201712913wdS:8AM-8PM,201769131764520171205,2017,4,9,1,9,1,4334,5,3,3,5,1.5,0.00,10,1,1,0,0,0,0,,,1764520171205001,4,6,2,,,,,Y,,wd,1764520171205,3,1764520171205001,,1,S:8AM-8PM,12,FAIRFIELD,1225,163998,167678,,1,1,8,1,8,18JAN18:08:30,8,8777020105,8835020101,5,,0,,,,,,,510.66679185,201712913wdS:8AM-8PM,,0,1764520171205001,8,,,06615,03/03/2025
WHITE PERCH,CHANNEL CATFISH,201712913wdS:8AM-8PM,201769131764520171205,2017,4,9,1,9,1,4334,5,3,3,5,1.5,0.00,10,1,1,0,0,0,0,,,1764520171205002,4,6,2,,,,,Y,,wd,1764520171205,3,1764520171205002,,1,S:8AM-8PM,12,FAIRFIELD,1226,163998,167678,,1,1,8,1,8,18JAN18:08:30,8,8777020105,8835020101,5,,0,,,,,,,510.66679185,201712913wdS:8AM-8PM,,0,1764520171205002,8,,,06615,03/03/2025
,STRIPED BASS,201712913wdS:8AM-8PM,201769131764520171205,2017,4,9,9,9,1,4334,5,3,3,5,1,0.00,300,50,1,1,0,0,0,,,1764520171205004,4,6,2,,,,,Y,,wd,1764520171205,3,1764520171205004,2,1,S:8AM-8PM,12,NEW HAVEN,1600,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,395.68534911,201712913wdS:8AM-8PM,,0,1764520171205004,8,,,06461,03/03/2025
,STRIPED BASS,201712913wdS:8AM-8PM,201769131764520171205,2017,4,9,9,9,1,4334,5,3,3,5,1,1.00,50,12,1,1,0,0,0,,,1764520171205005,4,6,2,,,,,Y,,wd,1764520171205,3,1764520171205005,2,1,S:8AM-8PM,12,NEW HAVEN,1615,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,395.68534911,201712913wdS:8AM-8PM,,0,1764520171205005,8,,,06477,03/03/2025
,STRIPED BASS,201712913wdS:8AM-8PM,201769131764520171214,2017,4,9,9,9,1,4334,5,3,3,5,1,0.00,30,2,1,1,0,0,0,,,1764520171214001,4,6,2,,,,,Y,,wd,1764520171214,3,1764520171214001,2,1,S:8AM-8PM,12,NEW HAVEN,1311,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,362.6817822,201712913wdS:8AM-8PM,,0,1764520171214001,8,,,06477,03/03/2025
,STRIPED BASS,201712913wdS:8AM-8PM,201769131764520171214,2017,4,9,9,9,1,4334,5,3,3,5,0.5,0.00,100,50,1,1,0,0,0,,,1764520171214002,4,6,2,,,,,Y,,wd,1764520171214,3,1764520171214002,2,1,S:8AM-8PM,12,NEW HAVEN,1348,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,362.6817822,201712913wdS:8AM-8PM,,0,1764520171214002,8,,,06461,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131764520171216,2017,4,9,9,9,9,4336,5,3,3,5,1,0.00,12,10,1,1,0,0,0,,,1764520171216001,4,6,2,,,,,Y,,we,1764520171216,3,1764520171216001,2,1,S:8AM-8PM,12,NEW HAVEN,1307,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1961.619969,201712913weS:8AM-8PM,,0,1764520171216001,8,,,06401,03/03/2025
,STRIPED BASS,201712913weS:8AM-8PM,201769131764520171216,2017,4,9,9,9,9,4336,5,3,3,5,0.5,0.00,160,30,1,0,0,0,0,,,1764520171216006,4,6,2,,,,,Y,,we,1764520171216,3,1764520171216006,,1,S:8AM-8PM,12,NEW HAVEN,1336,167680,,,1,1,8,2,8,18JAN18:08:30,8,8835020102,,5,,0,,,,,,,1961.619969,201712913weS:8AM-8PM,,0,1764520171216006,8,,,06708,03/03/2025
,HICKORY SHAD,201712913wdS:8AM-8PM,201769131764520171221,2017,4,9,7,9,11,604,1,3,C,5,0.5,,10,7,1,0,0,0,0,,,1764520171221001,4,6,2,,,,,Y,,wd,1764520171221,1,1764520171221001,,1,S:8AM-8PM,12,MIDDLESEX,1132,161704,,,1,1,8,2,8,18JAN18:08:30,8,8747010103,,0,,0,,,,,,,2398.9240045,201712913wdS:8AM-8PM,,0,1764520171221001,8,,,06441,03/03/2025
,HICKORY SHAD,201712913wdS:8AM-8PM,201769131764520171221,2017,4,9,11,9,11,604,1,3,C,5,0.5,,5,0,1,0,0,0,0,,,1764520171221002,4,6,2,,,,,Y,,wd,1764520171221,1,1764520171221002,,1,S:8AM-8PM,12,NEW LONDON,1133,161704,,,1,1,8,1,8,18JAN18:08:30,8,8747010103,,0,,0,,,,,,,2398.9240045,201712913wdS:8AM-8PM,,0,1764520171221002,8,,,06249,03/03/2025
,STRIPED BASS,201711913weS:8AM-8PM,201769131772020171110,2017,4,9,11,9,11,666,2,3,C,5,2,,100,20,1,0,0,0,0,,,1772020171110001,4,6,2,,,,,Y,,we,1772020171110,1,1772020171110001,,1,S:8AM-8PM,11,NEW LONDON,1310,167680,,,1,1,8,1,8,18JAN18:08:30,8,8835020102,,2,,0,,,,,,,4390.1268299,201711913weS:8AM-8PM,,0,1772020171110001,8,,,06360,03/03/2025
