PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
BLUEFISH,STRIPED BASS,20086498711we,11710200811097825,2008,4,9,3,9,7,825,8,7,C,5,6,0,50,20,1,1,2,0,0,1,4,2,1171020081109008,4,6,2,,0,6.5,Y,,1171020081109,3,11,we,1171020081109005,1,,,HARTFORD,1415,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,8,,8,,,,,,,,,,2569.2679021,20086498711we,,0,1171020081109008,8,06108,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,11,9,11,754,8,7,C,5,6,0,50,8,1,1,1,0,0,0,2,1,1171020081206001,4,6,2,,0,6.5,Y,,1171020081206,3,12,we,1171020081206001,1,,,NEW LONDON,1300,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206001,8,06382,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,11,9,11,754,8,7,C,5,6,0,50,10,1,1,1,0,0,1,2,2,1171020081206002,4,6,2,,0,6.5,Y,,1171020081206,3,12,we,1171020081206001,1,,,NEW LONDON,1305,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206002,8,06360,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,11,9,11,754,8,7,C,5,5.5,0,25,10,1,1,1,0,0,0,2,1,1171020081206003,4,6,2,,0,5.5,Y,,1171020081206,3,12,we,1171020081206003,1,,,NEW LONDON,1310,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206003,8,06335,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,44,9,9,11,754,8,7,C,5,5.5,0,12,5,1,1,1,0,0,1,2,2,1171020081206004,4,6,2,,0,5.5,O,,1171020081206,3,12,we,1171020081206003,1,,,WASHINGTON,1315,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4116.5988718,20086498712we,,0,1171020081206004,8,02882,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,15,9,11,754,8,7,C,5,4.5,,2,0,1,1,0,0,0,0,2,1,1171020081206005,4,6,2,,0,4.5,Y,,1171020081206,3,12,we,1171020081206005,,,,WINDHAM,1320,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206005,8,06242,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,33,5,9,11,754,8,7,C,5,4.5,0,2,0,1,1,1,0,0,1,2,2,1171020081206006,4,6,2,,0,4.5,O,,1171020081206,3,12,we,1171020081206005,1,,,,1325,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4116.5988718,20086498712we,,0,1171020081206006,8,03467,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,3,9,11,754,8,7,C,5,6,0,2,2,9,1,1,0,0,0,2,1,1171020081206007,4,6,2,,0,6,Y,,1171020081206,3,12,we,1171020081206007,1,,,HARTFORD,1400,167680,,,1,1,8,2,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206007,8,06040,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,3,9,11,754,8,7,C,5,6,0,2,2,9,1,1,0,0,1,2,2,1171020081206008,4,6,2,,0,6,Y,,1171020081206,3,12,we,1171020081206007,1,,,HARTFORD,1405,167680,,,1,1,8,2,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206008,8,06040,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,44,3,9,11,754,8,7,C,5,6,0,50,10,1,1,1,0,0,0,2,1,1171020081206009,4,6,2,,0,6,O,,1171020081206,3,12,we,1171020081206009,1,,,KENT,1430,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4116.5988718,20086498712we,,0,1171020081206009,8,02888,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,44,7,9,11,754,8,7,C,5,6,0,2,1,1,1,1,0,0,1,2,2,1171020081206010,4,6,2,,0,6,O,,1171020081206,3,12,we,1171020081206009,1,,,PROVIDENCE,1435,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4116.5988718,20086498712we,,0,1171020081206010,8,02895,03/03/2025
,STRIPED BASS,20086498712we,117102008120611754,2008,4,9,11,9,11,754,8,7,C,5,8,0,20,10,1,1,1,0,0,0,1,8,1171020081206011,4,6,2,,0,8,Y,,1171020081206,3,12,we,1171020081206011,1,,,NEW LONDON,1445,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,4450.1192685,20086498712we,,0,1171020081206011,8,02889,03/03/2025
,STRIPED BASS,20086498712wd,117102008121511754,2008,4,9,15,9,11,754,8,7,C,5,4,0,30,20,1,1,1,0,0,0,1,8,1171020081215001,4,6,2,,0,4,Y,,1171020081215,3,12,wd,1171020081215001,1,,,WINDHAM,1215,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,6082.8832374,20086498712wd,,0,1171020081215001,8,06235,03/03/2025
,STRIPED BASS,20086498712wd,117102008121511754,2008,4,9,11,9,11,754,8,7,C,5,2,,50,10,9,1,0,0,0,0,1,8,1171020081215002,4,6,2,,0,2,Y,,1171020081215,3,12,wd,1171020081215002,,,,NEW LONDON,1255,167680,,,1,9,8,2,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,6082.8832374,20086498712wd,,0,1171020081215002,8,06389,03/03/2025
,STRIPED BASS,20086498712wd,117102008121511754,2008,4,44,9,9,11,754,8,7,C,5,5,0,6,2,1,1,1,0,0,0,2,1,1171020081215003,4,6,2,,0,5,O,,1171020081215,3,12,wd,1171020081215003,1,,,WASHINGTON,1305,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,5626.9930672,20086498712wd,,0,1171020081215003,8,02895,03/03/2025
,STRIPED BASS,20086498712wd,117102008121511754,2008,4,44,9,9,11,754,8,7,C,5,5,0,6,3,9,1,1,0,0,1,2,2,1171020081215004,4,6,2,,0,5,O,,1171020081215,3,12,wd,1171020081215003,1,,,WASHINGTON,1310,167680,,,1,1,8,2,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,5626.9930672,20086498712wd,,0,1171020081215004,8,02817,03/03/2025
,STRIPED BASS,20086498712wd,117102008121511754,2008,4,9,11,9,11,754,8,7,C,5,4,0,20,10,1,1,1,0,0,0,2,1,1171020081215005,4,6,2,,0,4,Y,,1171020081215,3,12,wd,1171020081215005,1,,,NEW LONDON,1340,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,6082.8832374,20086498712wd,,0,1171020081215005,8,06351,03/03/2025
,STRIPED BASS,20086498712wd,117102008121511754,2008,4,9,11,9,11,754,8,7,C,5,4,0,10,5,1,1,1,0,0,1,2,2,1171020081215006,4,6,2,,0,4,Y,,1171020081215,3,12,wd,1171020081215005,1,,,NEW LONDON,1350,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,6082.8832374,20086498712wd,,0,1171020081215006,8,06351,03/03/2025
,STRIPED BASS,20086498712wd,217102008120311754,2008,4,9,11,9,11,754,8,7,C,5,3,0,31,25,1,1,1,0,0,0,2,1,2171020081203002,4,6,2,,0,3,Y,,2171020081203,3,12,wd,2171020081203002,1,,,NEW LONDON,1230,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,9906.4098438,20086498712wd,,0,2171020081203002,8,06382,03/03/2025
,STRIPED BASS,20086498712wd,217102008120311754,2008,4,9,7,9,11,754,8,7,C,5,3,0,50,30,1,1,1,0,0,1,2,2,2171020081203003,4,6,2,,0,3,Y,,2171020081203,3,12,wd,2171020081203002,1,,,MIDDLESEX,1235,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,9906.4098438,20086498712wd,,0,2171020081203003,8,06423,03/03/2025
,STRIPED BASS,20086498712wd,217102008120311754,2008,4,44,3,9,11,754,8,7,C,5,5,0,100,30,1,1,1,0,0,0,2,1,2171020081203004,4,6,2,,0,5.5,O,,2171020081203,3,12,wd,2171020081203004,1,,,KENT,1245,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,9163.960138,20086498712wd,,0,2171020081203004,8,02816,03/03/2025
,STRIPED BASS,20086498712wd,217102008120311754,2008,4,44,3,9,11,754,8,7,C,5,5,0,100,30,1,1,1,0,0,1,2,2,2171020081203005,4,6,2,,0,5.5,O,,2171020081203,3,12,wd,2171020081203004,1,,,KENT,1250,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,9163.960138,20086498712wd,,0,2171020081203005,8,02816,03/03/2025
,STRIPED BASS,20086498712wd,217102008120311754,2008,4,44,9,9,11,754,8,7,C,5,3,0,20,0,1,1,1,0,0,0,1,8,2171020081203006,4,6,2,,0,3,O,,2171020081203,3,12,wd,2171020081203006,1,,,WASHINGTON,1310,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,8,,8,,,,,,,,,,9163.960138,20086498712wd,,0,2171020081203006,8,02822,03/03/2025
,,200864238499xx,200864238499xx0000,2008,,,,23,,,,4,,2,,,,,,,,,,,,,200864238499xx02,4,6,,,,,,,,,99,xx,200864238499xx02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.921549,,,0,200864238499xx02,8,,03/03/2025
,ATLANTIC MACKEREL,200864258311we,1287820081101958,2008,4,25,17,25,9,58,2,3,1,1,6,0,40,6,1,1,2,1,0,0,,,1287820081101001,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101001,1,,,MIDDLESEX,1435,172414,,,1,1,8,1,1,,,20090325,1,8850030302,,2,,8,,,,,,,,,,22312.117921,200864258311we,,0,1287820081101001,8,01880,03/03/2025
,ATLANTIC MACKEREL,200864258311we,1287820081101958,2008,4,25,17,25,9,58,2,3,1,1,6,0,40,12,1,1,2,1,0,0,,,1287820081101002,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101002,1,,,MIDDLESEX,1456,172414,,,1,1,8,1,1,,,20090325,1,8850030302,,2,,8,,,,,,,,,,22312.117921,200864258311we,,0,1287820081101002,8,01880,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,17,25,9,1825,1,3,1,1,4,0,52,8,1,1,0,1,0,0,,,1287820081101003,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101003,1,8,0,MIDDLESEX,1610,172414,,,1,1,8,2,1,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101003,8,01890,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,9,25,9,1825,1,3,1,1,5,0,130,60,1,1,0,1,0,0,,,1287820081101004,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101004,1,3,0,ESSEX,1641,172414,,,1,1,8,1,1,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101004,8,01930,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,9,25,9,1825,1,3,1,1,2,0,100,16,1,1,0,1,0,0,,,1287820081101005,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101005,1,6,0,ESSEX,1655,172414,,,1,1,8,1,1,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101005,8,01930,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,9,25,9,1825,1,3,1,1,2.5,0,110,60,1,1,1,0,0,0,,,1287820081101006,4,6,2,,0,0,Y,,1287820081101,1,11,we,1287820081101006,1,0,12,ESSEX,1710,172414,,,1,1,8,1,8,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101006,8,01930,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,9,25,9,1825,1,3,1,1,2.5,0,60,16,1,1,1,0,0,0,,,1287820081101007,4,6,2,,0,0,Y,,1287820081101,1,11,we,1287820081101007,1,0,3,ESSEX,1721,172414,,,1,1,8,1,8,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101007,8,01930,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,17,25,9,1825,1,3,1,1,1,0,12,0,1,1,0,1,0,0,,,1287820081101008,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101008,1,1,0,MIDDLESEX,1731,172414,,,1,1,8,1,1,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101008,8,01801,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,17,25,9,1825,1,3,1,1,1,0,12,1,1,1,0,1,0,0,,,1287820081101009,4,6,1,,0,0,Y,,1287820081101,1,11,we,1287820081101009,1,2,0,MIDDLESEX,1757,172414,,,1,1,8,1,1,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101009,8,01801,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,17,25,9,1825,1,3,1,1,3,0,90,16,1,1,1,0,0,0,,,1287820081101010,4,6,2,,0,0,Y,,1287820081101,1,11,we,1287820081101010,1,0,1,MIDDLESEX,1804,172414,,,1,1,8,2,8,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101010,8,99998,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,25,25,9,1825,1,3,1,1,3,,8,0,1,1,0,0,0,0,,,1287820081101011,4,6,2,,0,0,Y,,1287820081101,1,11,we,1287820081101011,,,,SUFFOLK,1813,172414,,,1,1,8,2,8,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101011,8,99998,03/03/2025
,ATLANTIC MACKEREL,200864258311we,128782008110191825,2008,4,25,17,25,9,1825,1,3,1,1,3.5,0,20,1,1,1,1,0,0,0,,,1287820081101012,4,6,2,,0,0,Y,,1287820081101,1,11,we,1287820081101012,1,0,2,MIDDLESEX,1824,172414,,,1,1,8,1,8,,,20090325,1,8850030302,,0,,8,,,,,,,,,,2507.8225809,200864258311we,,0,1287820081101012,8,01760,03/03/2025
,STRIPED BASS,200864258311wd,11564200811041721,2008,4,25,17,25,1,721,2,3,5,5,4,0,180,40,1,1,1,0,0,0,,,1156420081104001,4,6,2,,0,0,Y,,1156420081104,1,11,wd,1156420081104001,1,,,MIDDLESEX,1030,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,2,,8,,,,,,,,,,1478.5394577,200864258311wd,,0,1156420081104001,8,01702,03/03/2025
,STRIPED BASS,200864258311wd,11564200811041721,2008,4,25,1,25,1,721,2,3,5,5,5,0,200,30,1,1,1,0,0,0,,,1156420081104002,4,6,2,,0,0,Y,,1156420081104,1,11,wd,1156420081104002,1,,,BARNSTABLE,1105,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,2,,8,,,,,,,,,,1478.5394577,200864258311wd,,0,1156420081104002,8,02642,03/03/2025
,STRIPED BASS,200864258311wd,115642008110411854,2008,4,25,23,25,1,1854,2,3,5,5,1,,26,8,1,1,0,0,0,0,,,1156420081104003,4,6,2,,0,0,Y,,1156420081104,1,11,wd,1156420081104003,,,,PLYMOUTH,1255,167680,,,1,1,8,2,8,,,20090325,8,8835020102,,2,,8,,,,,,,,,,541.08080103,200864258311wd,,0,1156420081104003,8,02301,03/03/2025
,STRIPED BASS,200864258311wd,115642008110411854,2008,4,25,1,25,1,1854,2,3,5,5,1.5,,27,5,1,1,0,0,0,0,,,1156420081104004,4,6,2,,0,0,Y,,1156420081104,1,11,wd,1156420081104004,,,,BARNSTABLE,1316,167680,,,1,1,8,2,8,,,20090325,8,8835020102,,2,,8,,,,,,,,,,541.08080103,200864258311wd,,0,1156420081104004,8,99998,03/03/2025
,,200864258311we,120072008110211854,2008,4,25,1,25,1,1854,1,3,5,5,1,,200,60,2,1,0,0,0,0,,,1200720081102001,4,6,2,,0,0,Y,,1200720081102,1,11,we,1200720081102001,,,,BARNSTABLE,814,,,,1,1,8,1,8,,,20090325,8,,,1,,8,,,,,,,,,,1609.9838235,200864258311we,,0,1200720081102001,8,02563,03/03/2025
,STRIPED BASS,200864258311we,120072008110211854,2008,4,25,1,25,1,1854,1,3,5,5,0.5,,100,60,1,1,0,0,0,0,,,1200720081102002,4,6,2,,0,0,Y,,1200720081102,1,11,we,1200720081102002,,,,BARNSTABLE,838,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,1,,8,,,,,,,,,,1609.9838235,200864258311we,,0,1200720081102002,8,02563,03/03/2025
BLUEFISH,STRIPED BASS,200864258311we,120072008110211854,2008,4,25,5,25,1,1854,1,3,5,5,2,,120,50,1,1,0,0,0,0,,,1200720081102003,4,6,2,,0,0,Y,,1200720081102,1,11,we,1200720081102003,,,,BRISTOL,906,167680,168559,,1,1,8,1,8,,,20090325,8,8835020102,8835250101,1,,8,,,,,,,,,,1609.9838235,200864258311we,,0,1200720081102003,8,02745,03/03/2025
,,200864258311we,120072008110211854,2008,4,25,1,25,1,1854,1,3,5,5,0.5,,100,20,2,1,0,0,0,0,,,1200720081102004,4,6,2,,0,0,Y,,1200720081102,1,11,we,1200720081102004,,,,BARNSTABLE,941,,,,1,1,8,1,8,,,20090325,8,,,1,,8,,,,,,,,,,1609.9838235,200864258311we,,0,1200720081102004,8,02563,03/03/2025
,STRIPED BASS,200864258311we,120072008110211854,2008,4,25,1,25,1,1854,1,3,5,5,2,,180,60,1,1,0,0,0,0,,,1200720081102005,4,6,2,,0,0,Y,,1200720081102,1,11,we,1200720081102005,,,,BARNSTABLE,957,167680,,,1,1,8,1,8,,,20090325,8,8835020102,,1,,8,,,,,,,,,,1609.9838235,200864258311we,,0,1200720081102005,8,02537,03/03/2025
,,200864258311we,120072008110211854,2008,4,25,1,25,1,1854,1,3,5,5,1,,2,0,2,1,0,0,0,0,,,1200720081102006,4,6,2,,0,0,Y,,1200720081102,1,11,we,1200720081102006,,,,BARNSTABLE,1013,,,,1,1,8,1,8,,,20090325,8,,,1,,8,,,,,,,,,,1609.9838235,200864258311we,,0,1200720081102006,8,02630,03/03/2025
