PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,TELEFON,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,DATE1,DIST,PRIM1,PRIM2,MODE2001,MONITOR,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,SHEEPSHEAD,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,4,,150,24,1,0,0,0,0,,,1511220130127006,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127006,,,,FLAGLER,169189,,1145,1,1,1,8,2,8,,,20FEB201311:19,1,8835430301,,,,,,,17459.943208,201316128301we,,0,1511220130127006,8,32164,03/03/2025
,SHEEPSHEAD,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,4,,150,24,1,0,0,0,0,,,1511220130127007,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127007,,,,FLAGLER,169189,,1146,1,1,1,8,2,8,,,20FEB201311:19,1,8835430301,,,,,,,17459.943208,201316128301we,,0,1511220130127007,8,32164,03/03/2025
,SHEEPSHEAD,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,4,,180,50,1,0,0,0,0,,,1511220130127008,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127008,,,,FLAGLER,169189,,1149,1,1,1,8,2,8,,,20FEB201311:19,1,8835430301,,,,,,,17459.943208,201316128301we,,0,1511220130127008,8,32137,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,2,0,100,15,1,2,0,0,0,,,1511220130127009,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127009,2,,,FLAGLER,,,1156,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127009,8,32164,03/03/2025
,SPOTTED SEATROUT,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,5,0,300,50,1,2,4,0,0,,,1511220130127010,6,1,1,,,,,Y,,1511220130127,,01,we,1511220130127010,2,,,FLAGLER,169239,,1236,1,1,1,8,1,1,,,20FEB201311:19,1,8835440102,,,,,,,17459.943208,201316128301we,,0,1511220130127010,8,32164,03/03/2025
,,201316128301we,151122013012735163,2013,5,42,5,12,35,163,1,3,1,1,4,,3,3,1,0,0,0,0,,,1511220130127011,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127011,,,,,,,1240,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,16125.301313,201316128301we,,0,1511220130127011,8,16201,03/03/2025
,,201316128301we,151122013012735163,2013,5,42,5,12,35,163,1,3,1,1,4,,3,3,1,0,0,0,0,,,1511220130127012,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127012,,,,,,,1241,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,16125.301313,201316128301we,,0,1511220130127012,8,99998,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,4.5,,150,24,1,0,0,0,0,,,1511220130127013,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127013,,,,FLAGLER,,,1316,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127013,8,32164,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,2,0,998,40,1,2,0,0,0,,,1511220130127014,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127014,2,,,FLAGLER,,,1356,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127014,8,32137,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,2,0,998,40,1,1,0,0,0,,,1511220130127015,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127015,2,,,FLAGLER,,,1357,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127015,8,99998,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,1.5,,12,2,1,0,0,0,0,,,1511220130127016,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127016,,,,FLAGLER,,,1401,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127016,8,99998,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,1.5,,12,2,1,0,0,0,0,,,1511220130127017,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127017,,,,FLAGLER,,,1402,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127017,8,32137,03/03/2025
,,201316128301we,151122013012735163,2013,7,12,33,12,35,163,1,3,1,1,6,0,200,30,1,1,0,0,0,,,1511220130127018,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127018,2,,,ESCAMBIA,,,1406,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,16125.301313,201316128301we,,0,1511220130127018,8,99998,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,1.5,0,200,30,1,2,0,0,0,,,1511220130127019,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127019,2,,,FLAGLER,,,1411,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127019,8,32164,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,1.5,0,200,30,1,2,0,0,0,,,1511220130127020,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127020,2,,,FLAGLER,,,1416,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127020,8,32164,03/03/2025
,SHEEPSHEAD,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,2,0,200,50,1,4,0,0,0,,,1511220130127021,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127021,2,,,FLAGLER,169189,,1426,1,1,1,8,1,8,,,20FEB201311:19,1,8835430301,,,,,,,17459.943208,201316128301we,,0,1511220130127021,8,32137,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201316128301we,151122013012735163,2013,6,12,127,12,35,163,1,3,1,1,3,0,300,50,1,1,0,0,0,,,1511220130127022,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127022,2,,,VOLUSIA,169273,168708,1441,1,1,1,8,1,8,,,20FEB201311:19,1,8835440600,8835280901,,,,,,17459.943208,201316128301we,,0,1511220130127022,8,32176,03/03/2025
,KINGFISH GENUS,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,5,0,150,7,1,2,1,0,0,,,1511220130127023,6,1,1,,,,,Y,,1511220130127,,01,we,1511220130127023,2,,,FLAGLER,169273,,1513,1,1,1,8,2,1,,,20FEB201311:19,1,8835440600,,,,,,,17459.943208,201316128301we,,0,1511220130127023,8,32137,03/03/2025
,KINGFISH GENUS,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,5,,150,7,1,0,0,0,0,,,1511220130127024,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127024,,,,FLAGLER,169273,,1514,1,1,1,8,1,8,,,20FEB201311:19,1,8835440600,,,,,,,17459.943208,201316128301we,,0,1511220130127024,8,32137,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,2,0,100,8,1,2,0,0,0,,,1511220130127025,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127025,2,,,FLAGLER,,,1529,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127025,8,32137,03/03/2025
,,201316128301we,151122013012735163,2013,7,12,105,12,35,163,1,3,1,1,5.5,0,40,6,1,1,0,0,0,,,1511220130127026,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127026,2,,,POLK,,,1546,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,16125.301313,201316128301we,,0,1511220130127026,8,33837,03/03/2025
,,201316128301we,151122013012735163,2013,7,12,105,12,35,163,1,3,1,1,5.5,0,40,6,1,1,0,0,0,,,1511220130127027,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127027,2,,,POLK,,,1547,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,16125.301313,201316128301we,,0,1511220130127027,8,33837,03/03/2025
,,201316128301we,151122013012735163,2013,7,12,105,12,35,163,1,3,1,1,5.5,0,998,2,1,1,0,0,0,,,1511220130127028,6,1,2,,,,,O,,1511220130127,,01,we,1511220130127028,2,,,POLK,,,1548,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,16125.301313,201316128301we,,0,1511220130127028,8,33837,03/03/2025
,,201316128301we,151122013012735163,2013,6,12,117,12,35,163,1,3,1,1,4,0,48,2,1,4,0,0,0,,,1511220130127029,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127029,2,,,SEMINOLE,,,1707,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,17459.943208,201316128301we,,0,1511220130127029,8,32773,03/03/2025
,BLACK DRUM,201316128301we,151122013012735163,2013,6,12,35,12,35,163,1,3,1,1,3,0,100,12,1,1,0,0,0,,,1511220130127030,6,1,2,,,,,Y,,1511220130127,,01,we,1511220130127030,2,,,FLAGLER,169288,,1712,1,1,1,8,1,8,,,20FEB201311:19,1,8835440801,,,,,,,17459.943208,201316128301we,,0,1511220130127030,8,32164,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,2,0,998,0,1,0,0,0,0,,,1511220130130003,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130003,,,,VOLUSIA,169273,168708,1425,1,1,1,8,1,8,,,20FEB201311:19,1,8835440600,8835280901,,,,,,45496.963557,201316128301wd,,0,1511220130130003,8,32127,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,2,0,3,0,1,0,0,0,0,,,1511220130130004,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130004,,,,VOLUSIA,169273,168708,1426,1,1,1,8,2,8,,,20FEB201311:19,1,8835440600,8835280901,,,,,,45496.963557,201316128301wd,,0,1511220130130004,8,32127,03/03/2025
,KINGFISH GENUS,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,6,0,30,8,1,1,10,0,0,,,1511220130130005,6,1,1,,,,,Y,,1511220130130,,01,wd,1511220130130005,2,,,VOLUSIA,169273,,1450,1,1,1,8,2,1,,,20FEB201311:19,1,8835440600,,,,,,,45496.963557,201316128301wd,,0,1511220130130005,8,32141,03/03/2025
,KINGFISH GENUS,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,6,0,30,8,1,0,0,0,0,,,1511220130130006,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130006,,,,VOLUSIA,169273,,1451,1,1,1,8,2,8,,,20FEB201311:19,1,8835440600,,,,,,,45496.963557,201316128301wd,,0,1511220130130006,8,32141,03/03/2025
,,201316128301wd,1511220130130127295,2013,0,39,51,12,127,295,5,3,1,1,3.5,0,998,5,1,0,2,0,0,,,1511220130130007,6,1,1,,,,,O,,1511220130130,,01,wd,1511220130130007,2,2,0,,,,1459,1,1,1,8,1,1,,,20FEB201311:19,1,,,,,,,,41911.51809,201316128301wd,,0,1511220130130007,8,43515,03/03/2025
,,201316128301wd,1511220130130127295,2013,4,9,5,12,127,295,5,3,1,1,2,0.5,40,5,1,0,0,0,0,,,1511220130130008,6,1,2,,,,,O,,1511220130130,,01,wd,1511220130130008,,,,LITCHFIELD,,,1510,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,41911.51809,201316128301wd,,0,1511220130130008,8,06790,03/03/2025
,,201316128301wd,1511220130130127295,2013,0,26,139,12,127,295,5,3,1,1,2,0,30,10,1,0,2,0,0,,,1511220130130009,6,1,1,,,,,O,,1511220130130,,01,wd,1511220130130009,2,2,0,,,,1517,1,1,1,8,1,1,,,20FEB201311:19,1,,,,,,,,41911.51809,201316128301wd,,0,1511220130130009,8,49426,03/03/2025
,,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,3,0,7,0,1,0,0,0,0,,,1511220130130010,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130010,,,,VOLUSIA,,,1525,1,1,1,8,1,8,,,20FEB201311:19,1,,,,,,,,45496.963557,201316128301wd,,0,1511220130130010,8,32725,03/03/2025
,,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,2,2,4,4,1,0,0,0,0,,,1511220130130011,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130011,,,,VOLUSIA,,,1530,1,1,1,8,2,8,,,20FEB201311:19,1,,,,,,,,45496.963557,201316128301wd,,0,1511220130130011,8,32763,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,5.5,0,998,8,1,0,4,0,0,,,1511220130130012,6,1,1,,,,,Y,,1511220130130,,01,wd,1511220130130012,2,4,0,VOLUSIA,169273,168708,1545,1,1,1,8,2,1,,,20FEB201311:19,1,8835440600,8835280901,,,,,,45496.963557,201316128301wd,,0,1511220130130012,8,32169,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201316128301wd,1511220130130127295,2013,6,12,127,12,127,295,5,3,1,1,5.5,0,998,24,1,0,0,0,0,,,1511220130130013,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130013,,,,VOLUSIA,169273,168708,1546,1,1,1,8,2,8,,,20FEB201311:19,1,8835440600,8835280901,,,,,,45496.963557,201316128301wd,,0,1511220130130013,8,32169,03/03/2025
,FLORIDA POMPANO,201316128301wd,15112201301301271631,2013,6,12,127,12,127,1631,5,3,1,1,0.5,0,360,60,1,1,0,0,0,,,1511220130130014,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130014,2,,,VOLUSIA,168708,,1636,1,1,1,8,1,8,,,20FEB201311:19,1,8835280901,,,,,,,45154.409017,201316128301wd,,0,1511220130130014,8,32169,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201316128301wd,15112201301301271631,2013,6,12,127,12,127,1631,5,3,1,1,3,0,998,14,1,0,0,0,0,,,1511220130130015,6,1,2,,,,,Y,,1511220130130,,01,wd,1511220130130015,,,,VOLUSIA,169273,168708,1705,1,1,1,8,1,8,,,20FEB201311:19,1,8835440600,8835280901,,,,,,45154.409017,201316128301wd,,0,1511220130130015,8,32169,03/03/2025
BLACK DRUM,SHEEPSHEAD,201316128302we,15112201302031271819,2013,6,12,127,12,127,1819,2,3,1,1,3.5,0,20,1,2,2,7,0,0,,,1511220130203001,6,1,1,,,,,Y,,1511220130203,,02,we,1511220130203001,2,5,0,VOLUSIA,169189,169288,1309,1,1,1,2,1,2,,,22MAR201307:43,1,8835430301,8835440801,,,,,,10290.397296,201316128302we,,0,1511220130203001,8,32763,03/03/2025
