PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,STRIPED BASS,20072498304wd,11707200704259200,2007,4,23,9,9,9,200,1,3,C,5,2,0,6,1,1,1,1,0,0,0,,,1170720070425001,4,2,2,,0,0,O,,1170720070425,1,04,wd,1170720070425001,1,,,HANCOCK,1115,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,29496.09388,20072498304wd,,0,1170720070425001,8,04660,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,4,0,150,24,1,1,1,0,0,0,,,1170720070428001,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428001,1,,,HARTFORD,1050,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428001,8,06082,03/03/2025
,,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,3,0,60,8,1,1,1,0,0,0,,,1170720070428002,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428002,1,,,HARTFORD,1100,,,,1,1,8,1,8,,,20070720,8,,,1,,,,,2809.2448067,20072498304we,,0,1170720070428002,8,06114,03/03/2025
,,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,3,0,60,8,1,1,1,0,0,0,,,1170720070428003,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428003,1,,,HARTFORD,1105,,,,1,1,8,1,8,,,20070720,8,,,1,,,,,2809.2448067,20072498304we,,0,1170720070428003,8,06114,03/03/2025
,,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,3,0,60,8,1,1,1,0,0,0,,,1170720070428004,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428004,1,,,HARTFORD,1110,,,,1,1,8,1,8,,,20070720,8,,,1,,,,,2809.2448067,20072498304we,,0,1170720070428004,8,06114,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,11,9,11,604,1,3,C,5,1,,300,50,1,1,0,0,0,0,,,1170720070428005,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428005,,,,NEW LONDON,1115,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428005,8,06371,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,5,0,20,1,1,1,1,0,0,0,,,1170720070428006,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428006,1,,,HARTFORD,1150,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428006,8,06037,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,7,9,11,604,1,3,C,5,5,0,40,6,1,1,1,0,0,0,,,1170720070428007,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428007,1,,,MIDDLESEX,1230,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428007,8,06457,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,7,9,11,604,1,3,C,5,5,0,40,2,1,1,1,0,0,0,,,1170720070428008,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428008,1,,,MIDDLESEX,1235,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428008,8,06457,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,7,9,11,604,1,3,C,5,0.5,,30,1,1,1,0,0,0,0,,,1170720070428009,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428009,,,,MIDDLESEX,1240,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428009,8,06475,03/03/2025
,,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,1,,1,1,1,1,0,0,0,0,,,1170720070428010,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428010,,,,HARTFORD,1250,,,,1,1,8,1,8,,,20070720,8,,,1,,,,,2809.2448067,20072498304we,,0,1170720070428010,8,06106,03/03/2025
,,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,1,,1,1,1,1,0,0,0,0,,,1170720070428011,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428011,,,,HARTFORD,1252,,,,1,1,8,1,8,,,20070720,8,,,1,,,,,2809.2448067,20072498304we,,0,1170720070428011,8,06106,03/03/2025
,,20072498304we,117072007042811604,2007,4,9,3,9,11,604,1,3,C,5,1,,1,1,1,1,0,0,0,0,,,1170720070428012,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428012,,,,HARTFORD,1254,,,,1,1,8,2,8,,,20070720,8,,,1,,,,,2809.2448067,20072498304we,,0,1170720070428012,8,06106,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,11,9,11,604,1,3,C,5,0.5,,50,1,1,1,0,0,0,0,,,1170720070428013,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428013,,,,NEW LONDON,1255,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428013,8,06498,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,5,36,119,9,11,604,1,3,C,5,0.5,,50,1,1,1,0,0,0,0,,,1170720070428014,4,2,2,,0,0,O,,1170720070428,1,04,we,1170720070428014,,,,WESTCHESTER,1300,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2375.267398,20072498304we,,0,1170720070428014,8,10543,03/03/2025
,STRIPED BASS,20072498304we,117072007042811604,2007,4,9,7,9,11,604,1,3,C,5,3,0,7,7,1,1,1,0,0,0,,,1170720070428015,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428015,1,,,MIDDLESEX,1305,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2809.2448067,20072498304we,,0,1170720070428015,8,06416,03/03/2025
,,20072498304we,117072007042811605,2007,4,9,11,9,11,605,5,3,3,5,2,0,4,4,1,1,0,0,0,0,,,1170720070428016,4,2,2,,0,0,Y,,1170720070428,1,04,we,1170720070428016,,,,NEW LONDON,1415,,,,1,1,8,1,8,,,20070720,8,,,5,,,,,16878.048292,20072498304we,,0,1170720070428016,8,06371,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,3,9,11,604,1,3,C,5,0.5,,35,5,1,1,0,0,0,0,,,1170720070429001,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429001,,,,HARTFORD,1015,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429001,8,06052,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,3,9,11,604,1,3,C,5,0.5,,35,1,1,1,0,0,0,0,,,1170720070429002,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429002,,,,HARTFORD,1020,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429002,8,06052,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,3,9,11,604,1,3,C,5,0.5,,1,1,1,1,0,0,0,0,,,1170720070429003,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429003,,,,HARTFORD,1025,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429003,8,06052,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,9,9,11,604,1,3,C,5,2,0,75,1,1,1,1,0,0,0,,,1170720070429004,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429004,1,,,NEW HAVEN,1125,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429004,8,99998,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,11,9,11,604,1,3,C,5,3,0,20,3,1,1,1,0,0,0,,,1170720070429005,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429005,1,,,NEW LONDON,1145,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429005,8,99998,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,7,9,11,604,1,3,C,5,2,0,100,3,1,1,1,0,0,0,,,1170720070429006,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429006,1,,,MIDDLESEX,1305,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429006,8,06417,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,7,9,11,604,1,3,C,5,2,0,100,3,1,1,1,0,0,0,,,1170720070429007,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429007,1,,,MIDDLESEX,1310,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429007,8,06419,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,7,9,11,604,1,3,C,5,2,,100,3,1,1,0,0,0,0,,,1170720070429008,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429008,,,,MIDDLESEX,1315,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429008,8,06419,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,3,9,11,604,1,3,C,5,4,,3,1,1,1,0,0,0,0,,,1170720070429009,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429009,,,,HARTFORD,1325,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429009,8,06010,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,11,9,11,604,1,3,C,5,3,,200,2,1,1,0,0,0,0,,,1170720070429010,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429010,,,,NEW LONDON,1345,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429010,8,06475,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,11,9,11,604,1,3,C,5,3,,200,3,1,1,0,0,0,0,,,1170720070429011,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429011,,,,NEW LONDON,1350,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429011,8,06475,03/03/2025
,STRIPED BASS,20072498304we,117072007042911604,2007,4,9,5,9,11,604,1,3,C,5,3,0,2,2,1,1,1,0,0,0,,,1170720070429012,4,2,2,,0,0,Y,,1170720070429,1,04,we,1170720070429012,1,,,LITCHFIELD,1355,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,1,,,,,2120.1847597,20072498304we,,0,1170720070429012,8,06790,03/03/2025
,,20072498499xx,20072498499xx0000,2007,,,,9,,,,4,,2,,,,,,,,,,,,,20072498499xx002,4,2,,,,,,,,,99,xx,20072498499xx002,,,,,,,,,,,,,,,,,,,,,,,,,511.36391437,,,0,20072498499xx002,8,,03/03/2025
,,20072498704wd,117072007042411825,2007,4,9,11,9,11,825,8,7,C,5,4,,200,1,1,1,0,0,0,0,2,1,1170720070424001,4,2,2,,0,4,Y,,1170720070424,3,04,wd,1170720070424001,,,,NEW LONDON,1150,,,,1,1,8,1,8,,,20070720,8,,,8,,,,,33975.524505,20072498704wd,,0,1170720070424001,8,06075,03/03/2025
,,20072498704wd,117072007042411825,2007,4,9,11,9,11,825,8,7,C,5,4,,200,1,1,1,0,0,0,1,2,2,1170720070424002,4,2,2,,0,4,Y,,1170720070424,3,04,wd,1170720070424001,,,,NEW LONDON,1155,,,,1,1,8,1,8,,,20070720,8,,,8,,,,,33975.524505,20072498704wd,,0,1170720070424002,8,06075,03/03/2025
,,200724238499xx,200724238499xx0000,2007,,,,23,,,,4,,2,,,,,,,,,,,,,200724238499xx02,4,2,,,,,,,,,99,xx,200724238499xx02,,,,,,,,,,,,,,,,,,,,,,,,,280,,,0,200724238499xx02,8,,03/03/2025
,,200724238499xx,200724238499xx0000,2007,,,,23,,,,4,,5,,,,,,,,,,,,,200724238499xx05,4,2,,,,,,,,,99,xx,200724238499xx05,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0,200724238499xx05,8,,03/03/2025
,WINTER FLOUNDER,200724258303wd,1287820070327958,2007,4,25,9,25,9,58,2,3,1,1,2,,40,0,1,1,0,0,0,0,,,1287820070327001,4,2,2,,0,0,Y,,1287820070327,1,03,wd,1287820070327001,,,,ESSEX,1415,172904,,,1,1,8,1,8,,,20070720,1,8857042001,,2,,,,,63741.960304,200724258303wd,,0,1287820070327001,8,01930,03/03/2025
,,200724258304we,12878200704089110,2007,4,25,9,25,9,110,1,3,1,1,1,,0,0,1,1,0,0,0,0,,,1287820070408001,4,2,2,,0,0,Y,,1287820070408,1,04,we,1287820070408001,,,,ESSEX,1210,,,,1,1,8,2,8,,,20070720,1,,,0,,,,,14693.691692,200724258304we,,0,1287820070408001,8,01915,03/03/2025
,SCUP,200724258303we,11564200703245711,2007,4,25,17,25,5,711,3,3,B,5,1,,1,0,1,1,0,0,0,0,,,1156420070324001,4,2,2,,0,0,Y,,1156420070324,1,03,we,1156420070324001,,,,MIDDLESEX,1635,169182,,,1,1,8,1,8,,,20070720,8,8835430101,,3,,,,,5006.4414885,200724258303we,,0,1156420070324001,8,01852,03/03/2025
,STRIPED BASS,200724258304we,11564200704011559,2007,4,25,5,25,1,559,2,3,B,5,0.5,,65,2,1,1,0,0,0,0,,,1156420070401001,4,2,2,,0,0,Y,,1156420070401,1,04,we,1156420070401001,,,,BRISTOL,1320,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,2,,,,,4231.7111186,200724258304we,,0,1156420070401001,8,02717,03/03/2025
,,200724258304we,12633200704211701,2007,4,25,21,25,1,701,1,3,B,5,2,,10,0,1,1,0,0,0,0,,,1263320070421001,4,2,2,,0,0,Y,,1263320070421,1,04,we,1263320070421001,,,,NORFOLK,1450,,,,1,1,8,1,8,,,20070720,8,,,0,,,,,3169.1010789,200724258304we,,0,1263320070421001,8,02188,03/03/2025
,,200724258304we,12633200704211701,2007,4,25,21,25,1,701,1,3,B,5,2,,10,0,1,1,0,0,0,0,,,1263320070421002,4,2,2,,0,0,Y,,1263320070421,1,04,we,1263320070421002,,,,NORFOLK,1455,,,,1,1,8,2,8,,,20070720,8,,,0,,,,,3169.1010789,200724258304we,,0,1263320070421002,8,02188,03/03/2025
,STRIPED BASS,200724258304we,12633200704211701,2007,4,25,5,25,1,701,2,3,B,5,2,,50,0,1,1,0,0,0,0,,,1263320070421003,4,2,2,,0,0,Y,,1263320070421,1,04,we,1263320070421003,,,,BRISTOL,1530,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,2,,,,,3169.1010789,200724258304we,,0,1263320070421003,8,02771,03/03/2025
,STRIPED BASS,200724258304we,12633200704211701,2007,4,25,5,25,1,701,2,3,B,5,2,,50,0,1,1,0,0,0,0,,,1263320070421004,4,2,2,,0,0,Y,,1263320070421,1,04,we,1263320070421004,,,,BRISTOL,1535,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,2,,,,,3169.1010789,200724258304we,,0,1263320070421004,8,02771,03/03/2025
,,200724258304we,126332007042123763,2007,4,25,21,25,23,763,2,3,V,5,2,,6,0,1,1,0,0,0,0,,,1263320070421005,4,2,2,,0,0,Y,,1263320070421,1,04,we,1263320070421005,,,,NORFOLK,1835,,,,1,1,8,2,8,,,20070720,8,,,2,,,,,20665.088966,200724258304we,,0,1263320070421005,8,02062,03/03/2025
,,200724258304we,126332007042123763,2007,4,25,21,25,23,763,2,3,V,5,2,,6,0,1,1,0,0,0,0,,,1263320070421006,4,2,2,,0,0,Y,,1263320070421,1,04,we,1263320070421006,,,,NORFOLK,1840,,,,1,1,8,2,8,,,20070720,8,,,2,,,,,20665.088966,200724258304we,,0,1263320070421006,8,02062,03/03/2025
,STRIPED BASS,200724258304we,1287820070414986,2007,4,25,17,25,9,86,1,3,4,5,3,,40,6,1,1,0,0,0,0,,,1287820070414001,4,2,2,,0,0,Y,,1287820070414,1,04,we,1287820070414001,,,,MIDDLESEX,1400,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,0,,,,,4995.6849875,200724258304we,,0,1287820070414001,8,01801,03/03/2025
,,200724258304we,13096200704071386,2007,0,99,998,25,1,386,2,3,3,5,1,,0,0,1,1,0,0,0,0,,,1309620070407001,4,2,2,,0,0,O,,1309620070407,1,04,we,1309620070407001,,,,,1055,,,,1,1,8,2,8,,,20070720,8,,,2,,,,,7626.4942626,200724258304we,,0,1309620070407001,8,99997,03/03/2025
,,200724258304we,13096200704071386,2007,0,99,998,25,1,386,2,3,3,5,1,,0,0,2,1,0,0,0,0,,,1309620070407002,4,2,2,,0,0,O,,1309620070407,1,04,we,1309620070407002,,,,,1100,,,,1,1,8,2,8,,,20070720,8,,,2,,,,,7626.4942626,200724258304we,,0,1309620070407002,8,99997,03/03/2025
,BROWN TROUT,200724258304we,13096200704071704,2007,4,25,25,25,1,704,5,3,3,5,1,0,10,0,1,1,0,0,0,0,,,1309620070407003,4,2,2,,0,0,Y,,1309620070407,1,04,we,1309620070407003,,,,SUFFOLK,1225,161997,,,1,1,8,2,8,,,20070720,8,8755010306,,5,,,,,3928.8532513,200724258304we,,0,1309620070407003,8,02186,03/03/2025
,STRIPED BASS,200724258304we,13096200704071386,2007,4,25,1,25,1,386,2,3,3,5,0.5,,100,3,1,1,0,0,0,0,,,1309620070407004,4,2,2,,0,0,Y,,1309620070407,1,04,we,1309620070407004,,,,BARNSTABLE,1330,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,2,,,,,7486.2600055,200724258304we,,0,1309620070407004,8,02673,03/03/2025
STRIPED BASS,BROWN TROUT,200724258304we,13096200704071704,2007,4,25,25,25,1,704,5,3,3,5,1,0,4,0,1,1,0,0,0,0,,,1309620070407005,4,2,2,,0,0,Y,,1309620070407,1,04,we,1309620070407005,,,,SUFFOLK,1410,161997,167680,,1,1,8,2,8,,,20070720,8,8755010306,8835020102,5,,,,,3928.8532513,200724258304we,,0,1309620070407005,8,02186,03/03/2025
BROWN TROUT,STRIPED BASS,200724258304wd,13096200704241704,2007,4,25,23,25,1,704,5,3,3,5,2,0,150,24,1,1,1,0,0,0,,,1309620070424001,4,2,2,,0,0,Y,,1309620070424,1,04,wd,1309620070424001,2,0,36,PLYMOUTH,1225,167680,161997,,1,1,8,1,8,,,20070720,8,8835020102,8755010306,5,,,,,1994.6269862,200724258304wd,,0,1309620070424001,8,02381,03/03/2025
BROWN TROUT,STRIPED BASS,200724258304wd,13096200704241704,2007,4,25,23,25,1,704,5,3,3,5,3,0,50,1,1,1,1,0,0,0,,,1309620070424002,4,2,2,,0,0,Y,,1309620070424,1,04,wd,1309620070424002,2,0,25,PLYMOUTH,1230,167680,161997,,1,1,8,1,8,,,20070720,8,8835020102,8755010306,5,,,,,1994.6269862,200724258304wd,,0,1309620070424002,8,02381,03/03/2025
,BROWN TROUT,200724258304wd,13096200704241704,2007,4,25,1,25,1,704,5,3,5,5,2,0,60,20,1,1,1,0,0,0,,,1309620070424003,4,2,2,,0,0,Y,,1309620070424,1,04,wd,1309620070424003,2,0,1,BARNSTABLE,1330,161997,,,1,1,8,1,8,,,20070720,8,8755010306,,5,,,,,1994.6269862,200724258304wd,,0,1309620070424003,8,02534,03/03/2025
STRIPED BASS,BROWN TROUT,200724258304wd,13096200704241704,2007,4,25,1,25,1,704,5,3,3,5,2,0,40,1,1,1,0,0,0,0,,,1309620070424004,4,2,2,,0,0,Y,,1309620070424,1,04,wd,1309620070424004,,,,BARNSTABLE,1430,161997,167680,,1,1,8,1,8,,,20070720,8,8755010306,8835020102,5,,,,,1994.6269862,200724258304wd,,0,1309620070424004,8,02649,03/03/2025
,,200724258304wd,13096200704241704,2007,4,25,1,25,1,704,5,3,3,5,1,0,10,0,1,1,0,0,0,0,,,1309620070424005,4,2,2,,0,0,Y,,1309620070424,1,04,wd,1309620070424005,,,,BARNSTABLE,1530,,,,1,1,8,2,8,,,20070720,8,,,5,,,,,1994.6269862,200724258304wd,,0,1309620070424005,8,02563,03/03/2025
,BROWN TROUT,200724258304wd,13096200704241704,2007,4,25,1,25,1,704,5,3,3,5,2,0,24,1,1,1,0,0,0,0,,,1309620070424006,4,2,2,,0,0,Y,,1309620070424,1,04,wd,1309620070424006,,,,BARNSTABLE,1610,161997,,,1,1,8,2,8,,,20070720,8,8755010306,,5,,,,,1994.6269862,200724258304wd,,0,1309620070424006,8,02536,03/03/2025
,STRIPED BASS,200724258304wd,13096200704261559,2007,4,25,21,25,1,559,2,3,5,5,0.5,,20,0,1,1,0,0,0,0,,,1309620070426001,4,2,2,,0,0,Y,,1309620070426,1,04,wd,1309620070426001,,,,NORFOLK,1040,167680,,,1,1,8,2,8,,,20070720,8,8835020102,,2,,,,,16333.945335,200724258304wd,,0,1309620070426001,8,02056,03/03/2025
,STRIPED BASS,200724258304wd,130962007042611854,2007,4,25,23,25,1,1854,2,3,5,5,1,,150,30,1,1,0,0,0,0,,,1309620070426002,4,2,2,,0,0,Y,,1309620070426,1,04,wd,1309620070426002,,,,PLYMOUTH,1100,167680,,,1,1,8,1,8,,,20070720,8,8835020102,,2,,,,,8589.9259365,200724258304wd,,0,1309620070426002,8,02538,03/03/2025
,,200724258304we,16427200704087599,2007,5,36,1,25,7,599,1,3,5,5,1,,4,0,1,1,0,0,0,0,,,1642720070408001,4,2,2,,0,0,O,,1642720070408,1,04,we,1642720070408001,,,,,1330,,,,1,1,8,2,8,,,20070720,8,,,1,,,,,8689.245928,200724258304we,,0,1642720070408001,8,12208,03/03/2025
