PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,TOURN,TURTLE,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,4,20,,4,1054219900204013,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204013,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,8,8,52,21905.350766,199016128302we,,0,1054219900204013,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,2,,2,1054219900204014,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204014,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1625,8,8,58,21905.350766,199016128302we,,0,1054219900204014,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,2,5,,2.5,1054219900204015,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204015,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1635,8,8,98,21905.350766,199016128302we,,0,1054219900204015,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,1,1,,2.5,1054219900204016,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204016,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1640,8,8,6,21905.350766,199016128302we,,0,1054219900204016,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,1,1,,2.5,1054219900204017,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204017,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1645,8,8,8,21905.350766,199016128302we,,0,1054219900204017,32223,03/03/2025
,,199016128302we,10542199002043143,0,1,1,,2,1,31,31,Y,0,5,,6,1054219900204018,43,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204018,2,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1700,8,8,41,21905.350766,199016128302we,,0,1054219900204018,32206,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,1,,3.5,1054219900204019,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204019,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1715,8,8,22,21905.350766,199016128302we,,0,1054219900204019,32203,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,0,,3.5,1054219900204020,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204020,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1720,8,8,25,21905.350766,199016128302we,,0,1054219900204020,32207,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,0,0,,1,1054219900218001,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218001,,,,8,1,,St. Johns,21AUG91:15:40,1,8,1,,,,0,0,1,88,8,1420,8,8,99,42007.992392,199016128302we,,0,1054219900218001,32086,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,0,5,,1,1054219900218002,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218002,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1425,8,8,99,42007.992392,199016128302we,,0,1054219900218002,32086,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,0,12,,0.5,1054219900218003,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218003,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1510,8,8,54,42007.992392,199016128302we,,0,1054219900218003,32086,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,2,2,,3,1054219900218004,209,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218004,2,0,1,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1520,8,8,46,42007.992392,199016128302we,,0,1054219900218004,32086,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,2,2,,3,1054219900218005,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218005,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1530,8,8,9,42007.992392,199016128302we,,0,1054219900218005,32086,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,2,2,,3,1054219900218006,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218006,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1535,8,8,6,42007.992392,199016128302we,,0,1054219900218006,32086,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,4,50,,3,1054219900218007,209,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218007,2,0,1,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1555,8,8,55,42007.992392,199016128302we,,0,1054219900218007,32086,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,31,Y,12,36,,7,1054219900218008,209,1,3,3,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218008,2,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1615,8,8,35,42007.992392,199016128302we,,0,1054219900218008,32210,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,31,Y,12,36,,7,1054219900218009,209,1,3,3,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218009,2,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1625,8,8,98,42007.992392,199016128302we,,0,1054219900218009,32210,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,30,200,,2.5,1054219900218010,209,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218010,2,,,8,9,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1650,8,8,39,42007.992392,199016128302we,,0,1054219900218010,32084,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,55,350,,2.5,1054219900218011,209,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218011,2,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1715,8,8,98,42007.992392,199016128302we,,0,1054219900218011,32086,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,5,250,,2.5,1054219900218012,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218012,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1720,8,8,98,42007.992392,199016128302we,,0,1054219900218012,32086,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,31,Y,0,100,,2,1054219900218013,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218013,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1735,8,8,98,42007.992392,199016128302we,,0,1054219900218013,32223,03/03/2025
,,199016128302we,1054219900218109209,0,1,1,,1,1,109,31,Y,0,100,,2.5,1054219900218014,209,1,3,0,8,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218014,2,8,0,8,1,,Duval,08AUG91:08:36,1,1,1,,,,0,0,1,88,8,1740,8,8,13,42007.992392,199016128302we,,0,1054219900218014,32223,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,31,Y,0,4,,2.5,1054219900218015,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218015,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1750,8,8,98,42007.992392,199016128302we,,0,1054219900218015,32257,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,40,90,,7,1054219900218016,209,1,3,3,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218016,2,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1810,8,8,98,42007.992392,199016128302we,,0,1054219900218016,32084,03/03/2025
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,40,90,,7,1054219900218017,209,1,3,3,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218017,2,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1815,8,8,42,42007.992392,199016128302we,,0,1054219900218017,32084,03/03/2025
,,199016128302we,1054219900218109209,0,1,1,,2,1,109,163,O,0,0,,2.5,1054219900218018,209,1,3,1,0,0,,,,,12,26,6,1,1,1990,1054219900218,02,we,,,1054219900218018,2,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1825,8,8,98,30906.055426,199016128302we,,0,1054219900218018,48146,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,163,O,0,0,,2.5,1054219900218019,209,1,3,0,0,0,,,,,12,26,6,1,1,1990,1054219900218,02,we,,,1054219900218019,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1830,8,8,98,30906.055426,199016128302we,,0,1054219900218019,48146,03/03/2025
,,199016128302we,1054219900218109209,,1,1,,2,1,109,163,O,0,0,,2.5,1054219900218020,209,1,3,0,0,0,,,,,12,26,6,1,1,1990,1054219900218,02,we,,,1054219900218020,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1835,8,8,98,30906.055426,199016128302we,,0,1054219900218020,48146,03/03/2025
,,199016128302wd,10629199002079918,0,1,1,,1,1,99,29,O,25,25,,4,1062919900207007,18,2,3,0,4,0,,,,5,12,34,6,1,1,1990,1062919900207,02,wd,,,1062919900207007,2,2,0,8,1,,Ocean,08AUG91:08:36,1,1,1,,,,0,0,1,88,8,1250,8,8,72,18672.516627,199016128302wd,,0,1062919900207007,08753,03/03/2025
CREVALLE JACK,BLUEFISH,199016128302wd,10629199002079918,,1,1,,2,1,99,99,Y,32,100,,1,1062919900207008,18,2,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207008,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835250101,8835280303,1,88,8,1320,8,8,33,25379.975723,199016128302wd,,0,1062919900207008,33470,03/03/2025
,,199016128302wd,10629199002079918,0,1,1,,1,1,99,99,Y,1,12,,3,1062919900207009,18,1,3,0,3,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207009,2,2,0,8,1,,Palm Beach,08AUG91:08:36,1,1,1,,,,,,1,88,8,1345,8,8,39,25379.975723,199016128302wd,,0,1062919900207009,33458,03/03/2025
,,199016128302wd,10629199002079918,0,1,1,,2,1,99,99,Y,1,12,,3,1062919900207010,18,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207010,2,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1405,8,8,40,25379.975723,199016128302wd,,0,1062919900207010,33418,03/03/2025
,,199016128302wd,10629199002079918,0,1,1,,2,1,99,99,Y,0,1,,3,1062919900207011,18,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207011,2,0,4,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1430,8,8,66,25379.975723,199016128302wd,,0,1062919900207011,33417,03/03/2025
,,199016128302wd,10629199002079918,0,1,1,,2,1,99,133,O,0,1,,3,1062919900207012,18,1,3,2,0,0,,,,,12,55,6,1,1,1990,1062919900207,02,wd,,,1062919900207012,2,0,2,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1450,8,8,61,18672.516627,199016128302wd,,0,1062919900207012,53151,03/03/2025
BLUEFISH,CREVALLE JACK,199016128302wd,10629199002079918,0,1,1,,2,1,99,125,O,7,7,,3,1062919900207013,18,5,3,1,0,0,,,,,12,26,6,1,1,1990,1062919900207,02,wd,,,1062919900207013,2,,,8,1,,,08AUG91:08:36,1,8,1,,,,8835280303,8835250101,1,88,8,1520,8,8,40,18672.516627,199016128302wd,,0,1062919900207013,48042,03/03/2025
,,199016128302wd,10629199002079918,1,1,1,,2,1,99,125,O,7,7,,3,1062919900207014,18,5,3,0,0,0,,,,,12,26,6,1,1,1990,1062919900207,02,wd,,,1062919900207014,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1525,8,8,10,18672.516627,199016128302wd,,0,1062919900207014,48042,03/03/2025
GULF KINGFISH,FLORIDA POMPANO,199016128302wd,10629199002079918,,1,1,,2,1,99,99,Y,16,20,,2,1062919900207015,18,5,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207015,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835280901,8835440602,1,88,8,1555,8,8,84,25379.975723,199016128302wd,,0,1062919900207015,33478,03/03/2025
,,199016128302wd,10629199002079918,,1,1,,2,1,99,55,O,7,7,,2,1062919900207016,18,5,3,0,0,0,,,,5,12,36,6,1,1,1990,1062919900207,02,wd,,,1062919900207016,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,8,8,49,18672.516627,199016128302wd,,0,1062919900207016,10950,03/03/2025
BLUEFISH,GULF KINGFISH,199016128302wd,10629199002079918,,1,1,,2,1,99,29,O,36,60,,2,1062919900207017,18,5,3,0,0,0,,,,5,12,34,6,1,1,1990,1062919900207,02,wd,,,1062919900207017,,,,8,1,,Ocean,08AUG91:08:36,1,8,1,,,,8835440602,8835250101,1,88,8,1625,8,8,67,18672.516627,199016128302wd,,0,1062919900207017,09999,03/03/2025
,GULF KINGFISH,199016128302wd,10629199002079918,0,1,1,,1,1,99,111,Y,14,100,,5,1062919900207018,18,5,3,1,1,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207018,2,1,0,8,1,,St. Lucie,08AUG91:08:36,1,1,1,,,,8835440602,0,1,88,8,1635,8,8,26,25379.975723,199016128302wd,,0,1062919900207018,34952,03/03/2025
,GULF KINGFISH,199016128302wd,10629199002079918,,1,1,,2,1,99,111,Y,16,104,,5,1062919900207019,18,5,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207019,,,,8,1,,St. Lucie,08AUG91:08:36,1,8,1,,,,8835440602,0,1,88,8,1640,8,8,26,25379.975723,199016128302wd,,0,1062919900207019,34952,03/03/2025
GULF KINGFISH,ATLANTIC CROAKER,199016128302wd,10629199002079918,,1,1,,2,1,99,99,Y,16,104,,2,1062919900207020,18,5,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900207,02,wd,,,1062919900207020,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835440702,8835440602,1,88,8,1645,8,8,73,25379.975723,199016128302wd,,0,1062919900207020,33477,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,0,0,,2,1062919900214001,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214001,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1205,8,8,38,25379.975723,199016128302wd,,0,1062919900214001,33407,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,77,O,0,0,,2,1062919900214002,85,1,3,0,0,0,,,,5,12,51,6,1,1,1990,1062919900214,02,wd,,,1062919900214002,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1220,8,8,43,18672.516627,199016128302wd,,0,1062919900214002,24333,03/03/2025
,BLACK DRUM,199016128302wd,10629199002149985,0,1,1,,2,1,99,99,Y,1,2,,4,1062919900214006,85,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214006,2,0,1,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835440801,0,1,88,8,1325,8,8,45,25379.975723,199016128302wd,,0,1062919900214006,33413,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,7,O,2,2,,2,1062919900214007,85,1,3,0,0,0,,,,,12,50,6,1,1,1990,1062919900214,02,wd,,,1062919900214007,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1350,8,8,63,18672.516627,199016128302wd,,0,1062919900214007,09999,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,25,O,2,2,,2,1062919900214008,85,1,3,0,0,0,,,,4,12,25,6,1,1,1990,1062919900214,02,wd,,,1062919900214008,,,,8,1,,Suffolk,21AUG91:15:40,1,8,1,,,,0,0,1,88,8,1405,8,8,73,18672.516627,199016128302wd,,0,1062919900214008,01906,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,2,12,,1.5,1062919900214009,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214009,,,,8,9,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1425,8,8,70,25379.975723,199016128302wd,,0,1062919900214009,33460,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,32,200,,3,1062919900214010,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214010,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1440,8,8,77,25379.975723,199016128302wd,,0,1062919900214010,33460,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,1,3,,3,1062919900214011,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214011,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1455,8,8,64,25379.975723,199016128302wd,,0,1062919900214011,33461,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,1,3,,3,1062919900214012,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214012,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1500,8,8,64,25379.975723,199016128302wd,,0,1062919900214012,33461,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,15,O,0,0,,3,1062919900214013,85,1,3,0,0,0,,,,5,12,24,6,1,1,1990,1062919900214,02,wd,,,1062919900214013,,,,8,1,,Cecil,21AUG91:15:40,1,8,1,,,,0,0,1,88,8,1510,8,8,42,18672.516627,199016128302wd,,0,1062919900214013,21921,03/03/2025
,BLUEFISH,199016128302wd,10629199002149985,,1,1,,2,1,99,17,O,1,6,,3,1062919900214016,85,1,3,0,0,0,,,,4,12,25,6,1,1,1990,1062919900214,02,wd,,,1062919900214016,,,,8,1,,Middlesex,21AUG91:15:40,1,8,1,,,,8835250101,0,1,88,8,1555,8,8,77,18672.516627,199016128302wd,,0,1062919900214016,01720,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,69,O,0,0,,3,1062919900214017,85,1,3,0,0,0,,,,5,12,42,6,1,1,1990,1062919900214,02,wd,,,1062919900214017,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,8,8,40,18672.516627,199016128302wd,,0,1062919900214017,18411,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,127,O,0,0,,3,1062919900214018,85,1,3,0,0,0,,,,5,12,42,6,1,1,1990,1062919900214,02,wd,,,1062919900214018,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1625,8,8,31,18672.516627,199016128302wd,,0,1062919900214018,18421,03/03/2025
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,10,30,,3,1062919900214019,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214019,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1630,8,8,27,25379.975723,199016128302wd,,0,1062919900214019,33415,03/03/2025
,SHEEPSHEAD,199016128302wd,10629199002149985,0,1,1,,1,1,99,99,Y,24,165,,4,1062919900214020,85,1,3,0,2,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214020,2,2,0,8,1,,Palm Beach,08AUG91:08:36,1,1,1,,,,8835430301,0,1,88,8,1640,8,8,39,25379.975723,199016128302wd,,0,1062919900214020,33480,03/03/2025
,,199016128302wd,106291990021585333,0,1,1,,2,1,85,85,Y,24,24,,3,1062919900215007,333,5,3,1,0,0,,,,6,12,12,6,1,1,1990,1062919900215,02,wd,,,1062919900215007,2,0,1,8,1,,Martin,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1320,8,8,62,25379.975723,199016128302wd,,0,1062919900215007,34994,03/03/2025
