PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,3.5,0,24,6,1,1,0,0,0,0,,,1511220110120011,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120011,,,,VOLUSIA,,,1211,1,1,1,8,2,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120011,8,32720,03/03/2025
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,6.5,0,200,30,2,2,1,25,0,0,,,1511220110120013,6,1,1,,,,Y,,1511220110120,,01,wd,1511220110120013,2,,,VOLUSIA,169273,,1417,1,1,1,2,1,2,,,2,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120013,8,32168,03/03/2025
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,6.5,0,200,30,2,0,1,0,1,0,,,1511220110120014,6,1,3,,,,Y,,1511220110120,,01,wd,1511220110120013,2,,,VOLUSIA,169273,,1418,1,1,1,8,2,8,,,2,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120013,8,32168,03/03/2025
,,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,4,0,998,1,1,1,1,0,0,0,,,1511220110120015,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120015,2,,,VOLUSIA,,,1455,1,1,1,8,1,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120015,8,32168,03/03/2025
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,1.5,0,20,5,2,1,0,1,0,0,,,1511220110120016,6,1,1,,,,Y,,1511220110120,,01,wd,1511220110120016,2,1,0,VOLUSIA,169273,,1615,1,1,1,8,1,1,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120016,8,32168,03/03/2025
,KINGFISH GENUS,201116128301wd,1511220110120127295,2011,6,12,127,12,127,295,5,3,1,1,1.5,0,20,5,2,1,0,0,0,0,,,1511220110120017,6,1,2,,,,Y,,1511220110120,,01,wd,1511220110120017,,,,VOLUSIA,169273,,1616,1,1,1,8,2,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,20924.276077,201116128301wd,,0,1511220110120017,8,99998,03/03/2025
KINGFISH GENUS,RED DRUM,201116128301we,1511220110122127175,2011,6,12,117,12,127,175,2,3,1,1,5,0,24,3,1,1,1,0,0,0,,,1511220110122014,6,1,2,,,,Y,,1511220110122,,01,we,1511220110122014,2,0,3,SEMINOLE,169290,169273,1447,1,1,1,8,2,8,,,2,18FEB201113:29,1,8835440901,8835440600,,,,,,,,,,,,,12512.591955,201116128301we,,0,1511220110122014,8,99998,03/03/2025
,KINGFISH GENUS,201116128301wd,151122011012835163,2011,0,26,147,12,35,163,1,3,1,1,2,,2,2,1,1,0,0,0,0,,,1511220110128001,6,1,2,,,,O,,1511220110128,,01,wd,1511220110128001,,,,,169273,,1150,1,1,1,8,1,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,10843.865742,201116128301wd,,0,1511220110128001,8,48059,03/03/2025
SHEEPSHEAD,KINGFISH GENUS,201116128301wd,151122011012835163,2011,6,12,35,12,35,163,1,3,1,1,6,0,300,55,1,1,1,0,0,0,,,1511220110128002,6,1,2,,,,Y,,1511220110128,,01,wd,1511220110128002,2,,,FLAGLER,169273,169189,1135,1,1,1,8,2,8,,,1,18FEB201113:29,1,8835440600,8835430301,,,,,,,,,,,,,11790.39512,201116128301wd,,0,1511220110128002,8,32164,03/03/2025
,,201116128301wd,151122011012835163,2011,0,99,998,12,35,163,1,3,1,1,5.5,,998,50,1,1,0,0,0,0,,,1511220110128003,6,1,2,,,,O,,1511220110128,,01,wd,1511220110128003,,,,,,,1205,1,1,1,8,1,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,10843.865742,201116128301wd,,0,1511220110128003,8,99997,03/03/2025
,,201116128301wd,151122011012835163,2011,0,99,998,12,35,163,1,3,1,1,5.5,,998,50,1,1,0,0,0,0,,,1511220110128004,6,1,2,,,,O,,1511220110128,,01,wd,1511220110128004,,,,,,,1206,1,1,1,8,2,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,10843.865742,201116128301wd,,0,1511220110128004,8,99997,03/03/2025
,KINGFISH GENUS,201116128301wd,151122011012835163,2011,6,12,35,12,35,163,1,3,1,1,5.5,0,40,10,1,1,1,0,0,0,,,1511220110128005,6,1,2,,,,Y,,1511220110128,,01,wd,1511220110128005,2,0,2,FLAGLER,169273,,1235,1,1,1,8,1,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,11790.39512,201116128301wd,,0,1511220110128005,8,32136,03/03/2025
,KINGFISH GENUS,201116128301wd,151122011012835163,2011,6,12,35,12,35,163,1,3,1,1,2,,998,50,2,1,0,0,0,0,,,1511220110128006,6,1,2,,,,Y,,1511220110128,,01,wd,1511220110128006,,,,FLAGLER,169273,,1315,1,1,1,8,2,8,,,2,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,11790.39512,201116128301wd,,0,1511220110128006,8,32136,03/03/2025
,KINGFISH GENUS,201116128301wd,151122011012835163,2011,6,12,117,12,35,163,1,3,1,1,8,0,30,25,1,2,0,12,0,0,,,1511220110128007,6,1,1,,,,Y,,1511220110128,,01,wd,1511220110128007,2,12,0,SEMINOLE,169273,,1418,1,1,1,2,1,2,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,11790.39512,201116128301wd,,0,1511220110128007,8,99998,03/03/2025
,KINGFISH GENUS,201116128301wd,151122011012835163,2011,6,12,117,12,35,163,1,3,1,1,8,,30,25,1,0,0,0,1,0,,,1511220110128008,6,1,3,,,,Y,,1511220110128,,01,wd,1511220110128007,,,,SEMINOLE,169273,,1419,1,1,1,8,2,8,,,2,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,11790.39512,201116128301wd,,0,1511220110128007,8,99998,03/03/2025
,KINGFISH GENUS,201116128301wd,151122011012835163,2011,0,50,11,12,35,163,1,3,1,1,4.5,0,30,30,1,1,1,0,0,0,,,1511220110128009,6,1,2,,,,O,,1511220110128,,01,wd,1511220110128009,2,0,2,,169273,,1448,1,1,1,8,1,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,10843.865742,201116128301wd,,0,1511220110128009,8,05450,03/03/2025
,,201116128301wd,151122011012835163,2011,6,12,127,12,35,163,1,3,1,1,3,,25,9,2,1,0,0,0,0,,,1511220110128010,6,1,2,,,,Y,,1511220110128,,01,wd,1511220110128010,,,,VOLUSIA,,,1545,1,1,1,8,1,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,11790.39512,201116128301wd,,0,1511220110128010,8,32176,03/03/2025
,,201116128301wd,151122011012835163,2011,0,26,157,12,35,163,1,3,1,1,2,,40,10,1,1,0,0,0,0,,,1511220110128011,6,1,2,,,,O,,1511220110128,,01,wd,1511220110128011,,,,,,,1620,1,1,1,8,1,8,,,2,18FEB201113:29,1,,,,,,,,,,,,,,,10843.865742,201116128301wd,,0,1511220110128011,8,48768,03/03/2025
,KINGFISH GENUS,201116128301we,151122011013035220,2011,6,12,35,12,35,220,5,3,1,1,5,0,998,1,2,1,1,0,0,0,,,1511220110130001,6,1,2,,,,Y,,1511220110130,,01,we,1511220110130001,2,0,7,FLAGLER,169273,,1225,1,1,1,8,1,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,18948.198884,201116128301we,,0,1511220110130001,8,32136,03/03/2025
,,201116128301we,151122011013035220,2011,6,12,35,12,35,220,5,3,1,1,4.5,0,30,5,2,1,0,2,0,0,,,1511220110130002,6,1,1,,,,Y,,1511220110130,,01,we,1511220110130002,2,2,0,FLAGLER,,,1240,1,1,1,8,1,1,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,18948.198884,201116128301we,,0,1511220110130002,8,32136,03/03/2025
KINGFISH GENUS,BLUEFISH,201116128301we,151122011013035220,2011,6,12,35,12,35,220,5,3,1,1,1,0,100,2,2,1,0,0,0,0,,,1511220110130003,6,1,2,,,,Y,,1511220110130,,01,we,1511220110130003,,,,FLAGLER,168559,169273,1245,1,1,1,8,1,8,,,2,18FEB201113:29,1,8835250101,8835440600,,,,,,,,,,,,,18948.198884,201116128301we,,0,1511220110130003,8,32136,03/03/2025
,KINGFISH GENUS,201116128301we,151122011013035220,2011,6,12,35,12,35,220,5,3,1,1,5,0,998,21,2,1,0,0,0,0,,,1511220110130004,6,1,2,,,,Y,,1511220110130,,01,we,1511220110130004,,,,FLAGLER,169273,,1505,1,1,1,8,1,8,,,1,18FEB201113:29,1,8835440600,,,,,,,,,,,,,,18948.198884,201116128301we,,0,1511220110130004,8,32136,03/03/2025
,FLORIDA POMPANO,201116128301we,151122011013035220,2011,6,12,35,12,35,220,5,3,1,1,4,0,24,6,1,2,0,7,0,0,,,1511220110130005,6,1,1,,,,Y,,1511220110130,,01,we,1511220110130005,2,7,0,FLAGLER,168708,,1530,1,1,1,2,1,2,,,1,18FEB201113:29,1,8835280901,,,,,,,,,,,,,,18948.198884,201116128301we,,0,1511220110130005,8,32164,03/03/2025
,,201116128301we,151122011013035220,2011,6,12,35,12,35,220,5,3,1,1,4,0,998,10,1,0,0,0,1,0,,,1511220110130006,6,1,3,,,,Y,,1511220110130,,01,we,1511220110130005,,,,FLAGLER,,,1531,1,1,1,8,2,8,,,1,18FEB201113:29,1,,,,,,,,,,,,,,,18948.198884,201116128301we,,0,1511220110130005,8,32164,03/03/2025
BLUEFISH,KINGFISH GENUS,201116128302wd,1511220110221127221,2011,0,99,998,12,127,221,5,3,1,1,3,0,20,3,1,1,0,0,0,0,,,1511220110221001,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221001,,,,,169273,168559,1137,1,1,1,8,2,8,,,2,21MAR201113:57,1,8835440600,8835250101,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221001,8,99997,03/03/2025
,KINGFISH GENUS,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,3,0,5,5,2,1,0,0,0,0,,,1511220110221002,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221002,,,,VOLUSIA,169273,,1205,1,1,1,8,1,8,,,1,21MAR201113:57,1,8835440600,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221002,8,32174,03/03/2025
,KINGFISH GENUS,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,3,0,5,5,2,1,0,0,0,0,,,1511220110221003,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221003,,,,VOLUSIA,169273,,1206,1,1,1,8,2,8,,,1,21MAR201113:57,1,8835440600,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221003,8,32174,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,2,0,998,15,2,1,1,0,0,0,,,1511220110221004,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221004,2,,,VOLUSIA,,,1226,1,1,1,8,1,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221004,8,32176,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,2,0,150,20,2,1,1,0,0,0,,,1511220110221005,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221005,2,,,VOLUSIA,,,1227,1,1,1,8,2,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221005,8,32176,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,2,0,5,4,2,1,0,0,0,0,,,1511220110221006,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221006,,,,VOLUSIA,,,1330,1,1,1,8,1,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221006,8,32174,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,4,0,5,1,2,1,1,0,0,0,,,1511220110221007,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221007,2,,,VOLUSIA,,,1336,1,1,1,8,2,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221007,8,32174,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,13,57,12,127,221,5,3,1,1,5.5,2.5,20,5,1,1,2,0,0,0,,,1511220110221008,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221008,2,0,2,,,,1445,1,1,1,8,1,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221008,8,30189,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,13,57,12,127,221,5,3,1,1,5.5,2.5,20,5,1,1,1,0,0,0,,,1511220110221009,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221009,2,0,1,,,,1446,1,1,1,8,2,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221009,8,30189,03/03/2025
,,201116128302wd,1511220110221127221,2011,5,42,91,12,127,221,5,3,1,1,1,1,1,1,1,1,0,0,0,0,,,1511220110221010,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221010,,,,,,,1450,1,1,1,8,1,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221010,8,19403,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,3,0,20,10,2,1,0,0,0,0,,,1511220110221011,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221011,,,,VOLUSIA,,,1525,1,1,1,8,1,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221011,8,32174,03/03/2025
,,201116128302wd,1511220110221127221,2011,6,12,127,12,127,221,5,3,1,1,3,0,20,10,2,1,0,0,0,0,,,1511220110221012,6,1,2,,,,Y,,1511220110221,,02,wd,1511220110221012,,,,VOLUSIA,,,1526,1,1,1,8,2,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,18564.27655,201116128302wd,,0,1511220110221012,8,32174,03/03/2025
,,201116128302wd,1511220110221127221,2011,0,39,171,12,127,221,5,3,1,1,4,0,4,3,1,2,0,3,0,0,,,1511220110221013,6,1,1,,,,O,,1511220110221,,02,wd,1511220110221013,2,3,0,,,,1545,1,1,1,2,1,2,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221013,8,43517,03/03/2025
,,201116128302wd,1511220110221127221,2011,0,39,171,12,127,221,5,3,1,1,4,0,4,3,1,0,0,0,1,0,,,1511220110221014,6,1,3,,,,O,,1511220110221,,02,wd,1511220110221013,,,,,,,1546,1,1,1,8,2,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221013,8,43517,03/03/2025
,,201116128302wd,1511220110221127221,2011,0,47,19,12,127,221,5,3,1,1,4,0,0,0,2,1,0,0,0,0,,,1511220110221015,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221015,,,,,,,1547,1,1,1,8,2,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221015,8,99998,03/03/2025
,,201116128302wd,1511220110221127221,2011,7,12,83,12,127,221,5,3,1,1,1.5,0,14,3,2,1,0,0,0,0,,,1511220110221016,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221016,,,,MARION,,,1750,1,1,1,8,1,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221016,8,34474,03/03/2025
,,201116128302wd,1511220110221127221,2011,7,12,83,12,127,221,5,3,1,1,1.5,0,14,3,2,1,0,0,0,0,,,1511220110221017,6,1,2,,,,O,,1511220110221,,02,wd,1511220110221017,,,,MARION,,,1751,1,1,1,8,2,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,17073.942005,201116128302wd,,0,1511220110221017,8,34474,03/03/2025
,KINGFISH GENUS,201116128302wd,1511220110225127295,2011,0,26,75,12,127,295,5,3,1,1,3,0,6,6,1,1,0,0,0,0,,,1511220110225001,6,1,2,,,,O,,1511220110225,,02,wd,1511220110225001,,,,,169273,,1120,1,1,1,8,1,8,,,1,21MAR201113:57,1,8835440600,,,,,,,,,,,,,,23559.52351,201116128302wd,,0,1511220110225001,8,49230,03/03/2025
,KINGFISH GENUS,201116128302wd,1511220110225127295,2011,0,26,75,12,127,295,5,3,1,1,3,0,0,0,1,1,0,0,0,0,,,1511220110225002,6,1,2,,,,O,,1511220110225,,02,wd,1511220110225002,,,,,169273,,1121,1,1,1,8,2,8,,,1,21MAR201113:57,1,8835440600,,,,,,,,,,,,,,23559.52351,201116128302wd,,0,1511220110225002,8,49230,03/03/2025
,,201116128302wd,1511220110225127295,2011,6,12,127,12,127,295,5,3,1,1,6,0,50,8,1,2,0,4,0,0,,,1511220110225003,6,1,1,,,,Y,,1511220110225,,02,wd,1511220110225003,2,4,0,VOLUSIA,,,1154,1,1,1,2,1,2,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,25615.965528,201116128302wd,,0,1511220110225003,8,32738,03/03/2025
,FLORIDA POMPANO,201116128302wd,1511220110225127295,2011,6,12,97,12,127,295,5,3,1,1,6,0,50,10,1,0,1,0,1,0,,,1511220110225004,6,1,3,,,,Y,,1511220110225,,02,wd,1511220110225003,2,,,OSCEOLA,168708,,1155,1,1,1,8,2,8,,,2,21MAR201113:57,1,8835280901,,,,,,,,,,,,,,25615.965528,201116128302wd,,0,1511220110225003,8,99998,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201116128302wd,1511220110225127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,12,12,1,1,1,2,0,0,,,1511220110225005,6,1,1,,,,Y,,1511220110225,,02,wd,1511220110225005,2,,,VOLUSIA,169273,168708,1250,1,1,1,8,1,1,,,1,21MAR201113:57,1,8835440600,8835280901,,,,,,,,,,,,,25615.965528,201116128302wd,,0,1511220110225005,8,99998,03/03/2025
FLORIDA POMPANO,KINGFISH GENUS,201116128302wd,1511220110225127295,2011,6,12,127,12,127,295,5,3,1,1,3,0,9,9,1,1,1,0,0,0,,,1511220110225006,6,1,2,,,,Y,,1511220110225,,02,wd,1511220110225006,2,,,VOLUSIA,169273,168708,1251,1,1,1,8,2,8,,,1,21MAR201113:57,1,8835440600,8835280901,,,,,,,,,,,,,25615.965528,201116128302wd,,0,1511220110225006,8,32168,03/03/2025
,,201116128302wd,1511220110225127295,2011,6,12,127,12,127,295,5,3,1,1,2,0,100,13,2,1,1,0,0,0,,,1511220110225007,6,1,2,,,,Y,,1511220110225,,02,wd,1511220110225007,2,,,VOLUSIA,,,1320,1,1,1,8,1,8,,,1,21MAR201113:57,1,,,,,,,,,,,,,,,25615.965528,201116128302wd,,0,1511220110225007,8,32141,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,201116128302wd,1511220110225127295,2011,0,39,47,12,127,295,5,3,1,1,3.5,0,10,3,2,3,0,10,0,0,,,1511220110225008,6,1,1,,,,O,,1511220110225,,02,wd,1511220110225008,2,1,0,,168708,169273,1332,1,1,1,2,1,2,,,1,21MAR201113:57,1,8835280901,8835440600,,,,,,,,,,,,,23559.52351,201116128302wd,,0,1511220110225008,8,43128,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,201116128302wd,1511220110225127295,2011,0,39,71,12,127,295,5,3,1,1,3.5,0,3,3,1,0,1,0,1,0,,,1511220110225009,6,1,3,,,,O,,1511220110225,,02,wd,1511220110225008,2,,,,168708,169273,1333,1,1,1,8,2,8,,,1,21MAR201113:57,1,8835280901,8835440600,,,,,,,,,,,,,23559.52351,201116128302wd,,0,1511220110225008,8,45142,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,201116128302wd,1511220110225127295,2011,0,39,71,12,127,295,5,3,1,1,3.5,0,3,3,1,0,0,0,1,0,,,1511220110225010,6,1,3,,,,O,,1511220110225,,02,wd,1511220110225008,,,,,168708,169273,1334,1,1,1,8,2,8,,,1,21MAR201113:57,1,8835280901,8835440600,,,,,,,,,,,,,23559.52351,201116128302wd,,0,1511220110225008,8,45142,03/03/2025
KINGFISH GENUS,FLORIDA POMPANO,201116128302wd,1511220110225127295,2011,6,12,127,12,127,295,5,3,1,1,2,0,35,3,2,1,0,0,0,0,,,1511220110225011,6,1,2,,,,Y,,1511220110225,,02,wd,1511220110225011,,,,VOLUSIA,168708,169273,1340,1,1,1,8,1,8,,,1,21MAR201113:57,1,8835280901,8835440600,,,,,,,,,,,,,25615.965528,201116128302wd,,0,1511220110225011,8,32738,03/03/2025
,,201116128302wd,1511220110225127295,2011,5,51,167,12,127,295,5,3,1,1,4,0,12,4,1,1,1,0,0,0,,,1511220110225012,6,1,2,,,,O,,1511220110225,,02,wd,1511220110225012,2,,,,,,1400,1,1,1,8,1,8,,,2,21MAR201113:57,1,,,,,,,,,,,,,,,23559.52351,201116128302wd,,0,1511220110225012,8,24266,03/03/2025
