PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,,20112498304we,117122011042311604,2011,4,9,13,9,11,604,1,3,C,5,3,,0,0,2,1,0,0,0,0,,,1171220110423005,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423005,,,,TOLLAND,948,,,,1,1,8,2,8,,,,20110729,8,,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423005,8,06076,03/03/2025
,,20112498304we,117122011042311604,2011,4,9,13,9,11,604,1,3,C,5,3,,0,0,2,1,0,0,0,0,,,1171220110423006,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423006,,,,TOLLAND,949,,,,1,1,8,2,8,,,,20110729,8,,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423006,8,06076,03/03/2025
,,20112498304we,117122011042311604,2011,4,9,13,9,11,604,1,3,C,5,3,,0,0,2,1,0,0,0,0,,,1171220110423007,4,2,2,,0,0,Y,,1171220110423,1,04,we,1171220110423007,,,,TOLLAND,950,,,,1,1,8,2,8,,,,20110729,8,,,0,,8,,,,,,,,,,10522.402337,20112498304we,,0,1171220110423007,8,06076,03/03/2025
,,20112498499xx,20112498499xx0000,2011,,,,9,,,,4,,2,,,,,,,,,,,,,20112498499xx002,4,2,,,,,,,,,99,xx,20112498499xx002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,0,20112498499xx002,8,,03/03/2025
,,20112498499xx,20112498499xx0000,2011,,,,9,,,,4,,5,,,,,,,,,,,,,20112498499xx005,4,2,,,,,,,,,99,xx,20112498499xx005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,0,20112498499xx005,8,,03/03/2025
,,20112498599xx,20112498599xx0000,2011,,,,9,,,,5,,1,,,,,,,,,,,,,20112498599xx001,4,2,,,,,,,,,99,xx,20112498599xx001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0,20112498599xx001,8,,03/03/2025
,WINTER FLOUNDER,20112498704we,117122011041011645,2011,4,9,5,9,11,645,8,7,C,5,4,0,50,3,2,2,0,2,0,0,2,1,1171220110410001,4,2,1,,0,4,Y,,1171220110410,3,04,we,1171220110410001,1,2,0,LITCHFIELD,1200,172904,,,1,1,2,1,2,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,3205.30349,20112498704we,,0,1171220110410001,8,06757,03/03/2025
,WINTER FLOUNDER,20112498704we,117122011041011645,2011,4,9,7,9,11,645,8,7,C,5,4,,30,2,1,0,0,0,1,1,2,2,1171220110410002,4,2,3,,0,4,Y,,1171220110410,3,04,we,1171220110410001,,,,MIDDLESEX,1201,172904,,,1,1,8,1,8,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,3205.30349,20112498704we,,0,1171220110410001,8,06413,03/03/2025
,WINTER FLOUNDER,20112498704wd,117122011041511645,2011,4,9,11,9,11,645,8,7,C,5,4.5,0,100,1,1,1,0,1,0,0,1,8,1171220110415001,4,2,1,,0,4.5,Y,,1171220110415,3,04,wd,1171220110415001,1,1,0,NEW LONDON,1215,172904,,,1,1,8,1,1,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,3941.2450386,20112498704wd,,0,1171220110415001,8,06415,03/03/2025
TAUTOG,WINTER FLOUNDER,20112498704wd,117122011041511645,2011,4,9,11,9,11,645,8,7,C,5,4,,15,0,1,1,0,0,0,0,2,1,1171220110415002,4,2,2,,0,4.5,Y,,1171220110415,3,04,wd,1171220110415002,,,,NEW LONDON,1330,172904,170479,,1,1,8,1,8,,,,20110729,8,8857042001,8839010101,8,,8,,,,,,,,,,3941.2450386,20112498704wd,,0,1171220110415002,8,06371,03/03/2025
TAUTOG,WINTER FLOUNDER,20112498704wd,117122011041511645,2011,4,9,11,9,11,645,8,7,C,5,4,,5,0,1,1,0,0,0,1,2,2,1171220110415003,4,2,2,,0,4.5,Y,,1171220110415,3,04,wd,1171220110415002,,,,NEW LONDON,1331,172904,170479,,1,1,8,1,8,,,,20110729,8,8857042001,8839010101,8,,8,,,,,,,,,,3941.2450386,20112498704wd,,0,1171220110415003,8,06360,03/03/2025
,WINTER FLOUNDER,20112498704wd,117122011042511645,2011,4,9,11,9,11,645,8,7,C,5,4,0,80,3,1,1,0,1,0,0,1,8,1171220110425001,4,2,1,,0,4,Y,,1171220110425,3,04,wd,1171220110425001,1,1,0,NEW LONDON,1220,172904,,,1,1,8,1,1,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,2408.5386347,20112498704wd,,0,1171220110425001,8,06415,03/03/2025
,WINTER FLOUNDER,20112498704wd,117122011042511645,2011,4,9,11,9,11,645,8,7,C,5,1.5,0,200,15,2,2,0,2,0,0,2,1,1171220110425002,4,2,1,,0,2,Y,,1171220110425,3,04,wd,1171220110425002,1,2,0,NEW LONDON,1440,172904,,,1,1,2,1,2,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,2408.5386347,20112498704wd,,0,1171220110425002,8,06357,03/03/2025
,WINTER FLOUNDER,20112498704wd,117122011042511645,2011,4,9,11,9,11,645,8,7,C,5,1.5,,200,15,2,0,0,0,1,1,2,2,1171220110425003,4,2,3,,0,2,Y,,1171220110425,3,04,wd,1171220110425002,,,,NEW LONDON,1441,172904,,,1,1,8,1,8,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,2408.5386347,20112498704wd,,0,1171220110425002,8,06385,03/03/2025
,STRIPED BASS,20112498704wd,11712201104267825,2011,4,9,1,9,7,825,8,7,C,5,4.5,,70,5,1,1,0,0,0,0,2,1,1171220110426001,4,2,2,,0,5,Y,,1171220110426,3,04,wd,1171220110426001,,,,FAIRFIELD,1245,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,2390.0995692,20112498704wd,,0,1171220110426001,8,06470,03/03/2025
,STRIPED BASS,20112498704wd,11712201104267825,2011,4,9,9,9,7,825,8,7,C,5,4.5,,0,0,1,1,0,0,0,1,2,2,1171220110426002,4,2,2,,0,5,Y,,1171220110426,3,04,wd,1171220110426001,,,,NEW HAVEN,1246,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,2390.0995692,20112498704wd,,0,1171220110426002,8,06460,03/03/2025
,STRIPED BASS,20112498704wd,11712201104267825,2011,4,9,13,9,7,825,8,7,C,5,3,0,100,10,1,1,1,0,0,0,2,1,1171220110426003,4,2,2,,0,3,Y,,1171220110426,3,04,wd,1171220110426003,1,,,TOLLAND,1315,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,2390.0995692,20112498704wd,,0,1171220110426003,8,06237,03/03/2025
,STRIPED BASS,20112498704wd,11712201104267825,2011,4,9,13,9,7,825,8,7,C,5,3,0,100,10,1,1,1,0,0,1,2,2,1171220110426004,4,2,2,,0,3,Y,,1171220110426,3,04,wd,1171220110426003,1,,,TOLLAND,1316,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,2390.0995692,20112498704wd,,0,1171220110426004,8,06237,03/03/2025
,STRIPED BASS,20112498704wd,11712201104267825,2011,4,9,7,9,7,825,8,7,C,5,5,0,150,5,1,1,1,0,0,0,2,1,1171220110426005,4,2,2,,0,5.5,Y,,1171220110426,3,04,wd,1171220110426005,1,,,MIDDLESEX,1330,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,2390.0995692,20112498704wd,,0,1171220110426005,8,06419,03/03/2025
,STRIPED BASS,20112498704wd,11712201104267825,2011,5,36,59,9,7,825,8,7,C,5,5,0,12,0,1,1,1,0,0,1,2,2,1171220110426006,4,2,2,,0,5.5,O,,1171220110426,3,04,wd,1171220110426005,1,,,NASSAU,1331,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,2210.9702226,20112498704wd,,0,1171220110426006,8,11735,03/03/2025
TAUTOG,WINTER FLOUNDER,20112498704wd,117122011042911645,2011,4,9,11,9,11,645,8,7,C,5,3,0,80,15,1,1,0,1,0,0,1,8,1171220110429001,4,2,1,,0,3.5,Y,,1171220110429,3,04,wd,1171220110429001,1,1,0,NEW LONDON,1115,172904,170479,,1,1,8,1,1,,,,20110729,8,8857042001,8839010101,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429001,8,06415,03/03/2025
WINTER FLOUNDER,TAUTOG,20112498704wd,117122011042911645,2011,4,9,11,9,11,645,8,7,C,5,3.5,0,80,8,1,1,2,0,0,0,2,1,1171220110429002,4,2,2,,0,4,Y,,1171220110429,3,04,wd,1171220110429002,1,,,NEW LONDON,1200,170479,172904,,1,1,8,1,8,,,,20110729,8,8839010101,8857042001,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429002,8,06385,03/03/2025
WINTER FLOUNDER,TAUTOG,20112498704wd,117122011042911645,2011,4,9,11,9,11,645,8,7,C,5,3.5,0,15,8,1,1,2,0,0,1,2,2,1171220110429003,4,2,2,,0,4,Y,,1171220110429,3,04,wd,1171220110429002,1,,,NEW LONDON,1201,170479,172904,,1,1,8,1,8,,,,20110729,8,8839010101,8857042001,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429003,8,06320,03/03/2025
WINTER FLOUNDER,TAUTOG,20112498704wd,117122011042911645,2011,4,9,11,9,11,645,8,7,C,5,2,0,300,40,1,1,1,3,0,0,1,8,1171220110429004,4,2,1,,0,2,Y,,1171220110429,3,04,wd,1171220110429004,1,,,NEW LONDON,1210,170479,172904,,8,1,8,2,1,,,,20110729,8,8839010101,8857042001,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429004,8,06420,03/03/2025
,WINTER FLOUNDER,20112498704wd,117122011042911645,2011,4,9,11,9,11,645,8,7,C,5,0.5,0,100,50,1,1,1,0,0,0,1,8,1171220110429005,4,2,2,,0,4,Y,,1171220110429,3,04,wd,1171220110429005,1,,,NEW LONDON,1430,172904,,,1,1,8,1,8,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429005,8,06385,03/03/2025
STRIPED BASS,WINTER FLOUNDER,20112498704wd,117122011042911645,2011,4,9,7,9,11,645,8,7,C,5,2,0,0,0,1,1,1,0,0,0,1,8,1171220110429006,4,2,2,,0,4,Y,,1171220110429,3,04,wd,1171220110429006,1,,,MIDDLESEX,1500,172904,167680,,1,1,8,1,8,,,,20110729,8,8857042001,8835020102,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429006,8,06469,03/03/2025
,WINTER FLOUNDER,20112498704wd,117122011042911645,2011,4,9,11,9,11,645,8,7,C,5,2,0,0,0,1,1,0,1,0,0,1,8,1171220110429007,4,2,1,,0,3.5,Y,,1171220110429,3,04,wd,1171220110429007,1,1,0,NEW LONDON,1520,172904,,,1,1,8,1,1,,,,20110729,8,8857042001,,8,,8,,,,,,,,,,1595.2658489,20112498704wd,,0,1171220110429007,8,06357,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,25,13,9,7,825,8,7,C,5,3.5,,15,0,1,1,0,0,0,0,1,8,1171220110430001,4,2,2,,0,4,O,,1171220110430,3,04,we,1171220110430001,,,,,1155,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,532.73823874,20112498704we,,0,1171220110430001,8,01013,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,7,9,7,825,8,7,C,5,5,,10,0,1,1,0,0,0,0,2,1,1171220110430002,4,2,2,,0,5,Y,,1171220110430,3,04,we,1171220110430002,,,,MIDDLESEX,1305,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430002,8,06419,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,5,,0,0,1,1,0,0,0,1,2,2,1171220110430003,4,2,2,,0,5,Y,,1171220110430,3,04,we,1171220110430002,,,,HARTFORD,1306,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430003,8,06078,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,7,9,7,825,8,7,C,5,1.5,,7,0,1,1,0,0,0,0,3,1,1171220110430004,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430004,,,,MIDDLESEX,1320,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430004,8,06455,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,9,9,7,825,8,7,C,5,1.5,,7,0,1,1,0,0,0,1,3,2,1171220110430005,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430004,,,,NEW HAVEN,1321,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430005,8,06450,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,9,9,7,825,8,7,C,5,1.5,,7,0,1,1,0,0,0,1,3,2,1171220110430006,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430004,,,,NEW HAVEN,1322,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430006,8,06450,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,3,0,30,0,2,1,1,0,0,0,4,1,1171220110430007,4,2,2,,0,5,Y,,1171220110430,3,04,we,1171220110430007,1,,,HARTFORD,1345,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430007,8,06095,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,3,,30,0,2,1,0,0,0,1,4,2,1171220110430008,4,2,2,,0,5,Y,,1171220110430,3,04,we,1171220110430007,,,,HARTFORD,1346,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430008,8,06111,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,3,,30,0,2,1,0,0,0,1,4,2,1171220110430009,4,2,2,,0,5,Y,,1171220110430,3,04,we,1171220110430007,,,,HARTFORD,1347,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430009,8,06111,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,3,,30,0,2,1,0,0,0,1,4,2,1171220110430010,4,2,2,,0,5,Y,,1171220110430,3,04,we,1171220110430007,,,,HARTFORD,1348,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430010,8,06111,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,11,9,7,825,8,7,C,5,1.5,,30,0,1,1,0,0,0,0,3,1,1171220110430011,4,2,2,,0,4,Y,,1171220110430,3,04,we,1171220110430011,,,,NEW LONDON,1355,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430011,8,06371,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,11,9,7,825,8,7,C,5,1.5,,0,0,8,1,0,0,0,1,3,2,1171220110430012,4,2,2,,0,4,Y,,1171220110430,3,04,we,1171220110430011,,,,NEW LONDON,1356,167680,,,1,2,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430012,8,06320,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,11,9,7,825,8,7,C,5,1.5,,0,0,8,1,0,0,0,1,3,2,1171220110430013,4,2,2,,0,4,Y,,1171220110430,3,04,we,1171220110430011,,,,NEW LONDON,1357,167680,,,1,2,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430013,8,06320,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,2,,50,4,1,1,0,0,0,0,2,1,1171220110430014,4,2,2,,0,4,Y,,1171220110430,3,04,we,1171220110430014,,,,HARTFORD,1410,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430014,8,06479,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,2,,50,4,1,1,0,0,0,1,2,2,1171220110430015,4,2,2,,0,4,Y,,1171220110430,3,04,we,1171220110430014,,,,HARTFORD,1411,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430015,8,06479,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,11,9,7,825,8,7,C,5,2,,2,2,1,1,0,0,0,0,1,8,1171220110430016,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430016,,,,NEW LONDON,1430,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430016,8,06371,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,11,9,7,825,8,7,C,5,1,,50,0,1,1,0,0,0,0,4,1,1171220110430017,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430017,,,,NEW LONDON,1455,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430017,8,06371,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,25,17,9,7,825,8,7,C,5,1,,0,0,1,1,0,0,0,1,4,2,1171220110430018,4,2,2,,0,2,O,,1171220110430,3,04,we,1171220110430017,,,,MIDDLESEX,1456,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,532.73823874,20112498704we,,0,1171220110430018,8,02144,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,25,17,9,7,825,8,7,C,5,1,,0,0,8,1,0,0,0,1,4,2,1171220110430019,4,2,2,,0,2,O,,1171220110430,3,04,we,1171220110430017,,,,MIDDLESEX,1457,167680,,,1,2,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,532.73823874,20112498704we,,0,1171220110430019,8,02155,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,25,17,9,7,825,8,7,C,5,1,,0,0,1,1,0,0,0,1,4,2,1171220110430020,4,2,2,,0,2,O,,1171220110430,3,04,we,1171220110430017,,,,MIDDLESEX,1458,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,532.73823874,20112498704we,,0,1171220110430020,8,01852,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,7,9,7,825,8,7,C,5,1,,70,0,2,1,0,0,0,0,3,1,1171220110430021,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430021,,,,MIDDLESEX,1520,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430021,8,06475,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,7,9,7,825,8,7,C,5,1,,30,0,2,1,0,0,0,1,3,2,1171220110430022,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430021,,,,MIDDLESEX,1521,167680,,,1,1,8,1,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430022,8,06498,03/03/2025
,STRIPED BASS,20112498704we,11712201104307825,2011,4,9,3,9,7,825,8,7,C,5,1,,10,0,2,1,0,0,0,1,3,2,1171220110430023,4,2,2,,0,2,Y,,1171220110430,3,04,we,1171220110430021,,,,HARTFORD,1522,167680,,,1,1,8,2,8,,,,20110729,8,8835020102,,8,,8,,,,,,,,,,575.89985694,20112498704we,,0,1171220110430023,8,06062,03/03/2025
,,201124238499xx,201124238499xx0000,2011,,,,23,,,,4,,2,,,,,,,,,,,,,201124238499xx02,4,2,,,,,,,,,99,xx,201124238499xx02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,0,201124238499xx02,8,,03/03/2025
,,201124238599xx,201124238599xx0000,2011,,,,23,,,,5,,2,,,,,,,,,,,,,201124238599xx02,4,2,,,,,,,,,99,xx,201124238599xx02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,201124238599xx02,8,,03/03/2025
,,201124258304we,128782011043025171,2011,4,25,25,25,25,171,2,3,1,1,3,,0,0,9,1,0,0,0,0,,,1287820110430001,4,2,2,,0,0,Y,,1287820110430,1,04,we,1287820110430001,,,,SUFFOLK,1321,,,,1,1,8,2,8,,,,20110729,1,,,2,,8,,,,,,,,,,11039.353488,201124258304we,,0,1287820110430001,8,02110,03/03/2025
,,201124258304we,128782011043025171,2011,4,25,25,25,25,171,2,3,1,1,3,,0,0,8,1,0,0,0,0,,,1287820110430002,4,2,2,,0,0,Y,,1287820110430,1,04,we,1287820110430002,,,,SUFFOLK,1334,,,,1,1,8,2,8,,,,20110729,1,,,2,,8,,,,,,,,,,11039.353488,201124258304we,,0,1287820110430002,8,02110,03/03/2025
