PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MODE2001,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,STRIPED BASS,20116498711wd,117122011110811737,2011,5,36,83,9,11,737,8,7,C,5,3.5,0,5,1,1,1,1,0,0,0,2,1,1171220111108004,4,6,2,,0,6,O,,1171220111108,3,11,wd,1171220111108004,1,,,,167680,,1310,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,8,,,1848.928936,20116498711wd,,0,1171220111108004,8,02168,03/03/2025
,STRIPED BASS,20116498711wd,117122011110811737,2011,5,36,21,9,11,737,8,7,C,5,3.5,0,5,1,1,1,1,0,0,1,2,2,1171220111108005,4,6,2,,0,6,O,,1171220111108,3,11,wd,1171220111108004,1,,,,167680,,1311,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,8,,,1848.928936,20116498711wd,,0,1171220111108005,8,12029,03/03/2025
,TAUTOG,20116498711wd,117122011110811737,2011,4,44,9,9,11,737,8,7,C,5,4,0,50,2,2,1,1,0,0,0,3,1,1171220111108006,4,6,2,,0,5,O,,1171220111108,3,11,wd,1171220111108006,1,0,1,WASHINGTON,170479,,1350,,1,1,8,2,8,,,,26MAR201214:26,8,8839010101,,,8,,,,,,,,8,,,1848.928936,20116498711wd,,0,1171220111108006,8,02891,03/03/2025
,TAUTOG,20116498711wd,117122011110811737,2011,4,44,9,9,11,737,8,7,C,5,4,0,50,2,2,1,1,0,0,1,3,2,1171220111108007,4,6,2,,0,5,O,,1171220111108,3,11,wd,1171220111108006,1,0,1,WASHINGTON,170479,,1351,,1,1,8,2,8,,,,26MAR201214:26,8,8839010101,,,8,,,,,,,,8,,,1848.928936,20116498711wd,,0,1171220111108007,8,02891,03/03/2025
,TAUTOG,20116498711wd,117122011110811737,2011,4,44,9,9,11,737,8,7,C,5,4,,2,2,2,1,0,0,0,1,3,2,1171220111108008,4,6,2,,0,5,O,,1171220111108,3,11,wd,1171220111108006,,,,WASHINGTON,170479,,1352,,1,1,8,2,8,,,,26MAR201214:26,8,8839010101,,,8,,,,,,,,8,,,1848.928936,20116498711wd,,0,1171220111108008,8,02891,03/03/2025
,,201164238499xx,201164238499xx0000,2011,,,,23,,,,4,,2,,,,,,,,,,,,,201164238499xx02,4,6,,,,,,,,,99,xx,201164238499xx02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,0,201164238499xx02,8,,03/03/2025
,STRIPED BASS,201164258311wd,12007201111031721,2011,4,25,21,25,1,721,5,3,1,1,1,0,120,40,1,1,0,0,0,0,,,1200720111103005,4,6,2,,0,0,Y,,1200720111103,1,11,wd,1200720111103005,,,,NORFOLK,167680,,1344,,1,1,8,1,8,,,,26MAR201214:26,1,8835020102,,,8,,,,,,,,5,,,2038.2550742,201164258311wd,,0,1200720111103005,8,02184,03/03/2025
STRIPED BASS,BLUEFISH,201164258311wd,13096201111071905,2011,4,25,1,25,1,905,5,3,1,1,1,0,20,5,1,1,0,0,0,0,,,1309620111107001,4,6,2,,0,0,Y,,1309620111107,1,11,wd,1309620111107001,,,,BARNSTABLE,168559,167680,825,,1,1,8,2,8,,,,26MAR201214:26,1,8835250101,8835020102,,8,,,,,,,,5,,,6451.4681865,201164258311wd,,0,1309620111107001,8,02645,03/03/2025
BLUEFISH,STRIPED BASS,201164258311wd,16844201111027764,2011,4,25,7,25,7,764,5,3,1,1,2,0,50,10,1,1,0,0,0,0,,,1684420111102001,4,6,2,,0,0,Y,,1684420111102,1,11,wd,1684420111102001,,,,DUKES,167680,168559,1150,,1,1,8,2,8,,,,26MAR201214:26,1,8835020102,8835250101,,8,,,,,,,,5,,,2488.3123896,201164258311wd,,0,1684420111102001,8,02557,03/03/2025
,BLUEFISH,201164258311wd,16844201111027764,2011,4,25,7,25,7,764,5,3,1,1,2,0,75,8,1,1,0,0,0,0,,,1684420111102002,4,6,2,,0,0,Y,,1684420111102,1,11,wd,1684420111102002,,,,DUKES,168559,,1155,,1,1,8,2,8,,,,26MAR201214:26,1,8835250101,,,8,,,,,,,,5,,,2488.3123896,201164258311wd,,0,1684420111102002,8,02557,03/03/2025
BLUEFISH,STRIPED BASS,201164258311wd,16844201111027764,2011,4,25,7,25,7,764,5,3,1,1,3,0.5,50,20,1,1,1,0,0,0,,,1684420111102003,4,6,2,,0,0,Y,,1684420111102,1,11,wd,1684420111102003,2,,,DUKES,167680,168559,1220,,1,1,8,2,8,,,,26MAR201214:26,1,8835020102,8835250101,,8,,,,,,,,5,,,2488.3123896,201164258311wd,,0,1684420111102003,8,02534,03/03/2025
,POLLOCK,201164258311wd,120072011110311854,2011,4,25,23,25,1,1854,1,3,5,5,2,0,2,2,1,1,1,0,0,0,,,1200720111103001,4,6,2,,0,0,Y,,1200720111103,1,11,wd,1200720111103001,1,0,36,PLYMOUTH,164727,,1038,,1,1,8,2,8,,,,26MAR201214:26,8,8791030901,,,8,,,,,,,,1,,,2148.0809654,201164258311wd,,0,1200720111103001,8,02360,03/03/2025
,POLLOCK,201164258311wd,120072011110311854,2011,4,25,1,25,1,1854,1,3,5,5,1,0,8,3,2,1,1,0,0,0,,,1200720111103002,4,6,2,,0,0,Y,,1200720111103,1,11,wd,1200720111103002,1,0,20,BARNSTABLE,164727,,1047,,1,1,8,2,8,,,,26MAR201214:26,8,8791030901,,,8,,,,,,,,1,,,2148.0809654,201164258311wd,,0,1200720111103002,8,02601,03/03/2025
,STRIPED BASS,201164258311wd,12007201111031563,2011,0,50,23,25,1,563,5,3,5,5,4.5,0,5,3,1,1,0,0,0,0,,,1200720111103003,4,6,2,,0,0,O,,1200720111103,1,11,wd,1200720111103003,,,,,167680,,1150,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,5,,,2629.504702,201164258311wd,,0,1200720111103003,8,05674,03/03/2025
,STRIPED BASS,201164258311wd,12007201111031721,2011,4,25,23,25,1,721,2,3,5,5,0.5,,5,1,2,1,0,0,0,0,,,1200720111103004,4,6,2,,0,0,Y,,1200720111103,1,11,wd,1200720111103004,,,,PLYMOUTH,167680,,1325,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,2,,,1696.7395186,201164258311wd,,0,1200720111103004,8,02360,03/03/2025
,STRIPED BASS,201164258311wd,12007201111081563,2011,4,25,21,25,1,563,5,3,5,5,1,0,1,0,2,1,0,0,0,0,,,1200720111108001,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108001,,,,NORFOLK,167680,,1021,,1,1,8,2,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,5,,,1476.1651138,201164258311wd,,0,1200720111108001,8,02184,03/03/2025
,STRIPED BASS,201164258311wd,12007201111081563,2011,4,25,23,25,1,563,5,3,5,5,1,0,20,8,1,1,0,0,0,0,,,1200720111108002,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108002,,,,PLYMOUTH,167680,,1146,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,5,,,1476.1651138,201164258311wd,,0,1200720111108002,8,02324,03/03/2025
,STRIPED BASS,201164258311wd,12007201111081563,2011,4,25,23,25,1,563,5,3,5,5,1,0,20,8,1,1,0,0,0,0,,,1200720111108003,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108003,,,,PLYMOUTH,167680,,1228,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,5,,,1476.1651138,201164258311wd,,0,1200720111108003,8,02338,03/03/2025
,,201164258311wd,12007201111081563,2011,4,25,1,25,1,563,5,3,5,5,2,0,90,20,1,1,0,0,0,0,,,1200720111108004,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108004,,,,BARNSTABLE,,,1320,,1,1,8,1,8,,,,26MAR201214:26,8,,,,8,,,,,,,,5,,,1476.1651138,201164258311wd,,0,1200720111108004,8,02649,03/03/2025
,STRIPED BASS,201164258311wd,12007201111081310,2011,4,25,23,25,1,310,1,3,5,5,6,0,60,30,1,1,1,0,0,0,,,1200720111108005,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108005,1,,,PLYMOUTH,167680,,1417,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,980.39619698,201164258311wd,,0,1200720111108005,8,02346,03/03/2025
,STRIPED BASS,201164258311wd,12007201111081310,2011,4,25,17,25,1,310,1,3,5,5,5,,35,10,1,1,0,0,0,0,,,1200720111108006,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108006,,,,MIDDLESEX,167680,,1448,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,980.39619698,201164258311wd,,0,1200720111108006,8,01746,03/03/2025
,STRIPED BASS,201164258311wd,12007201111081310,2011,4,25,21,25,1,310,1,3,5,5,4,,60,14,1,1,0,0,0,0,,,1200720111108007,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108007,,,,NORFOLK,167680,,1519,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,980.39619698,201164258311wd,,0,1200720111108007,8,02190,03/03/2025
,,201164258311wd,120072011110811854,2011,4,25,1,25,1,1854,5,3,5,5,0.5,0,0,0,2,1,0,0,0,0,,,1200720111108008,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108008,,,,BARNSTABLE,,,1547,,1,1,8,1,8,,,,26MAR201214:26,8,,,,8,,,,,,,,5,,,861.9910625,201164258311wd,,0,1200720111108008,8,02537,03/03/2025
,ATLANTIC MACKEREL,201164258311wd,120072011110811854,2011,4,25,5,25,1,1854,5,3,5,5,5,0,6,2,1,1,0,0,0,0,,,1200720111108009,4,6,2,,0,0,Y,,1200720111108,1,11,wd,1200720111108009,,,,BRISTOL,172414,,1616,,1,1,8,1,8,,,,26MAR201214:26,8,8850030302,,,8,,,,,,,,5,,,861.9910625,201164258311wd,,0,1200720111108009,8,02721,03/03/2025
,,201164258311we,12007201111131310,2011,4,25,5,25,1,310,1,3,5,5,1,,25,4,2,1,0,0,0,0,,,1200720111113001,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113001,,,,BRISTOL,,,840,,1,1,8,2,8,,,,26MAR201214:26,8,,,,8,,,,,,,,1,,,1654.6728602,201164258311we,,0,1200720111113001,8,02767,03/03/2025
,STRIPED BASS,201164258311we,12007201111131310,2011,4,25,23,25,1,310,1,3,5,5,3.5,,12,2,2,1,0,0,0,0,,,1200720111113002,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113002,,,,PLYMOUTH,167680,,934,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,1654.6728602,201164258311we,,0,1200720111113002,8,02301,03/03/2025
,STRIPED BASS,201164258311we,12007201111131310,2011,4,25,23,25,1,310,1,3,5,5,3.5,,0,0,2,1,0,0,0,0,,,1200720111113003,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113003,,,,PLYMOUTH,167680,,942,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,1654.6728602,201164258311we,,0,1200720111113003,8,02301,03/03/2025
,STRIPED BASS,201164258311we,120072011111311854,2011,4,25,17,25,1,1854,2,3,5,5,2,,8,3,2,1,0,0,0,0,,,1200720111113004,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113004,,,,MIDDLESEX,167680,,1045,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,2,,,754.03655123,201164258311we,,0,1200720111113004,8,01876,03/03/2025
,STRIPED BASS,201164258311we,120072011111311854,2011,4,25,17,25,1,1854,1,3,5,5,2,,8,3,2,1,0,0,0,0,,,1200720111113005,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113005,,,,MIDDLESEX,167680,,1052,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113005,8,01876,03/03/2025
,ATLANTIC MACKEREL,201164258311we,120072011111311854,2011,4,25,1,25,1,1854,1,3,5,5,1.5,,25,5,1,1,0,0,0,0,,,1200720111113006,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113006,,,,BARNSTABLE,172414,,1123,,1,1,8,1,8,,,,26MAR201214:26,8,8850030302,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113006,8,02532,03/03/2025
,ATLANTIC MACKEREL,201164258311we,120072011111311854,2011,4,25,1,25,1,1854,1,3,5,5,3,,50,10,1,1,0,0,0,0,,,1200720111113007,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113007,,,,BARNSTABLE,172414,,1213,,1,1,8,1,8,,,,26MAR201214:26,8,8850030302,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113007,8,02532,03/03/2025
,,201164258311we,12007201111131563,2011,4,25,25,25,1,563,5,3,5,5,2,0,45,12,2,1,0,0,0,0,,,1200720111113008,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113008,,,,SUFFOLK,,,1317,,1,1,8,1,8,,,,26MAR201214:26,8,,,,8,,,,,,,,5,,,2393.0739013,201164258311we,,0,1200720111113008,8,02171,03/03/2025
,,201164258311we,12007201111131563,2011,4,25,25,25,1,563,5,3,5,5,2,0,40,6,2,1,0,0,0,0,,,1200720111113009,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113009,,,,SUFFOLK,,,1324,,1,1,8,1,8,,,,26MAR201214:26,8,,,,8,,,,,,,,5,,,2393.0739013,201164258311we,,0,1200720111113009,8,02118,03/03/2025
,SMELT FAMILY,201164258311we,120072011111311854,2011,4,25,21,25,1,1854,1,3,5,5,2,,20,3,1,1,0,0,0,0,,,1200720111113010,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113010,,,,NORFOLK,162028,,1447,,1,1,8,2,8,,,,26MAR201214:26,8,8755030000,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113010,8,02032,03/03/2025
POLLOCK,ATLANTIC MACKEREL,201164258311we,120072011111311854,2011,4,25,27,25,1,1854,1,3,5,5,1,,200,50,2,1,0,0,0,0,,,1200720111113011,4,6,2,,0,0,N,,1200720111113,1,11,we,1200720111113011,,,,,172414,164727,1502,,1,1,8,2,8,,,,26MAR201214:26,8,8850030302,8791030901,,8,,,,,,,,1,,,1231.8629362,201164258311we,,0,1200720111113011,8,01757,03/03/2025
,POLLOCK,201164258311we,120072011111311854,2011,4,25,1,25,1,1854,1,3,5,5,1,0,10,7,2,1,0,1,0,0,,,1200720111113012,4,6,1,,0,0,Y,,1200720111113,1,11,we,1200720111113012,1,1,0,BARNSTABLE,164727,,1516,,1,1,8,2,1,,,,26MAR201214:26,8,8791030901,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113012,8,02621,03/03/2025
,POLLOCK,201164258311we,120072011111311854,2011,4,25,1,25,1,1854,1,3,5,5,1,0,8,0,2,1,0,1,0,0,,,1200720111113013,4,6,1,,0,0,Y,,1200720111113,1,11,we,1200720111113013,1,5,0,BARNSTABLE,164727,,1523,,1,1,8,2,1,,,,26MAR201214:26,8,8791030901,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113013,8,02621,03/03/2025
,STRIPED BASS,201164258311we,120072011111311854,2011,4,25,21,25,1,1854,1,3,5,5,8,,25,3,1,1,0,0,0,0,,,1200720111113014,4,6,2,,0,0,Y,,1200720111113,1,11,we,1200720111113014,,,,NORFOLK,167680,,1538,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,754.03655123,201164258311we,,0,1200720111113014,8,02048,03/03/2025
,STRIPED BASS,201164258311we,120072011111311854,2011,4,44,7,25,1,1854,1,3,5,5,8,,5,2,2,1,0,0,0,0,,,1200720111113015,4,6,2,,0,0,O,,1200720111113,1,11,we,1200720111113015,,,,PROVIDENCE,167680,,1545,,1,1,8,1,8,,,,26MAR201214:26,8,8835020102,,,8,,,,,,,,1,,,796.22528721,201164258311we,,0,1200720111113015,8,02859,03/03/2025
,ATLANTIC MACKEREL,201164258312wd,120072011120211854,2011,4,25,1,25,1,1854,1,3,5,5,1.5,,30,10,1,1,0,0,0,0,,,1200720111202001,4,6,2,,0,0,Y,,1200720111202,1,12,wd,1200720111202001,,,,BARNSTABLE,172414,,1152,,1,1,8,2,8,,,,26MAR201214:26,8,8850030302,,,8,,,,,,,,1,,,948.60994088,201164258312wd,,0,1200720111202001,8,02563,03/03/2025
,ATLANTIC MACKEREL,201164258312wd,120072011120211854,2011,4,25,1,25,1,1854,1,3,5,5,2,,40,15,1,1,0,0,0,0,,,1200720111202002,4,6,2,,0,0,Y,,1200720111202,1,12,wd,1200720111202002,,,,BARNSTABLE,172414,,1413,,1,1,8,1,8,,,,26MAR201214:26,8,8850030302,,,8,,,,,,,,1,,,948.60994088,201164258312wd,,0,1200720111202002,8,02536,03/03/2025
,ATLANTIC MACKEREL,201164258312wd,120072011120211854,2011,4,25,5,25,1,1854,1,3,5,5,2,,3,3,1,1,0,0,0,0,,,1200720111202003,4,6,2,,0,0,Y,,1200720111202,1,12,wd,1200720111202003,,,,BRISTOL,172414,,1423,,1,1,8,2,8,,,,26MAR201214:26,8,8850030302,,,8,,,,,,,,1,,,948.60994088,201164258312wd,,0,1200720111202003,8,02740,03/03/2025
,RAINBOW SMELT,201164258311we,126332011112721143,2011,4,25,23,25,21,143,1,3,5,5,1,,1,1,1,1,0,0,0,0,,,1263320111127001,4,6,2,,0,0,Y,,1263320111127,1,11,we,1263320111127001,,,,PLYMOUTH,162041,,1245,,1,1,8,1,8,,,,26MAR201214:26,8,8755030302,,,8,,,,,,,,0,,,12783.184444,201164258311we,,0,1263320111127001,8,02339,03/03/2025
,RAINBOW SMELT,201164258311we,126332011112721143,2011,4,25,23,25,21,143,1,3,5,5,1,,1,1,1,1,0,0,0,0,,,1263320111127002,4,6,2,,0,0,Y,,1263320111127,1,11,we,1263320111127002,,,,PLYMOUTH,162041,,1250,,1,1,8,2,8,,,,26MAR201214:26,8,8755030302,,,8,,,,,,,,0,,,12783.184444,201164258311we,,0,1263320111127002,8,02339,03/03/2025
,RAINBOW SMELT,201164258311we,126332011112721143,2011,4,25,21,25,21,143,1,3,5,5,1,,40,16,1,1,0,0,0,0,,,1263320111127003,4,6,2,,0,0,Y,,1263320111127,1,11,we,1263320111127003,,,,NORFOLK,162041,,1310,,1,1,8,1,8,,,,26MAR201214:26,8,8755030302,,,8,,,,,,,,0,,,12783.184444,201164258311we,,0,1263320111127003,8,02169,03/03/2025
,RAINBOW SMELT,201164258311we,126332011112721143,2011,4,25,21,25,21,143,1,3,5,5,1,,40,10,1,1,0,0,0,0,,,1263320111127004,4,6,2,,0,0,Y,,1263320111127,1,11,we,1263320111127004,,,,NORFOLK,162041,,1315,,1,1,8,1,8,,,,26MAR201214:26,8,8755030302,,,8,,,,,,,,0,,,12783.184444,201164258311we,,0,1263320111127004,8,02169,03/03/2025
,RAINBOW SMELT,201164258311we,126332011112721143,2011,4,25,21,25,21,143,1,3,5,5,1,,40,10,1,1,0,0,0,0,,,1263320111127005,4,6,2,,0,0,Y,,1263320111127,1,11,we,1263320111127005,,,,NORFOLK,162041,,1320,,1,1,8,2,8,,,,26MAR201214:26,8,8755030302,,,8,,,,,,,,0,,,12783.184444,201164258311we,,0,1263320111127005,8,02169,03/03/2025
,WINTER FLOUNDER,201164258312we,126332011121021143,2011,4,25,21,25,21,143,1,3,4,5,0.5,,150,45,1,1,0,0,0,0,,,1263320111210001,4,6,2,,0,0,Y,,1263320111210,1,12,we,1263320111210001,,,,NORFOLK,172904,,1345,,1,1,8,1,8,,,,26MAR201214:26,8,8857042001,,,8,,,,,,,,0,,,19493.232944,201164258312we,,0,1263320111210001,8,02122,03/03/2025
,WINTER FLOUNDER,201164258312we,126332011121021143,2011,4,25,21,25,21,143,1,3,4,5,0.5,,150,45,1,1,0,0,0,0,,,1263320111210002,4,6,2,,0,0,Y,,1263320111210,1,12,we,1263320111210002,,,,NORFOLK,172904,,1350,,1,1,8,2,8,,,,26MAR201214:26,8,8857042001,,,8,,,,,,,,0,,,19493.232944,201164258312we,,0,1263320111210002,8,02122,03/03/2025
,TAUTOG,201164258311we,12786201111055711,2011,4,33,15,25,5,711,3,3,B,5,5,0,10,4,2,1,1,1,0,0,,,1278620111105001,4,6,1,,0,0,O,,1278620111105,1,11,we,1278620111105001,1,2,0,ROCKINGHAM,170479,,1310,,1,1,8,2,1,,,,26MAR201214:26,8,8839010101,,,8,,,,,,,,3,,,18768.807445,201164258311we,,0,1278620111105001,8,03038,03/03/2025
,TAUTOG,201164258311we,12786201111055711,2011,4,33,15,25,5,711,3,3,B,5,5,0,3,0,2,1,1,0,0,0,,,1278620111105002,4,6,2,,0,0,O,,1278620111105,1,11,we,1278620111105002,1,,,ROCKINGHAM,170479,,1320,,1,1,8,2,8,,,,26MAR201214:26,8,8839010101,,,8,,,,,,,,3,,,18768.807445,201164258311we,,0,1278620111105002,8,03038,03/03/2025
