PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,NEW_LIST,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,IMP_REC,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,DISTKEYS,REEF,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,TAUTOG,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,11,9,1772120211121005,C,4.00,,40,3,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121005,,,1,S:8AM-8PM,06360,11,,,NEW LONDON,1542,0,8,1,170479,,,1,56,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,715.62557492,202111913weS:8AM-8PM,,0,1772120211121005,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,15,9,1772120211121006,C,4.00,,15,12,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121006,,,1,S:8AM-8PM,06226,11,,,WINDHAM,1542,0,8,1,170479,,,1,57,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,715.62557492,202111913weS:8AM-8PM,,0,1772120211121006,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,11,9,1772120211121007,C,3.00,0.00,25,15,6,4,1777,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121007,,,1,S:8AM-8PM,06320,11,,,NEW LONDON,1605,5,8,1,170479,,,1,53,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,715.62557492,202111913weS:8AM-8PM,,0,1772120211121007,03/03/2025
,,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,13,9,1772120211121008,C,1.00,,5,2,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121008,,,1,S:8AM-8PM,06360,11,,,TOLLAND,1623,0,8,1,,,,1,58,2,2,8,8,18JAN22:10:44,,,,,,,,,,715.62557492,202111913weS:8AM-8PM,,0,1772120211121008,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131772120211121,2021,4,9,13,9,1772120211121009,C,4.00,,5,4,6,4,1777,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211121,1,1772120211121009,,,1,S:8AM-8PM,06076,11,,,TOLLAND,1645,0,8,1,170479,,,1,37,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,715.62557492,202111913weS:8AM-8PM,,0,1772120211121009,03/03/2025
,STRIPED BASS,202112913wdS:8AM-8PM,202169131772120211201,2021,4,9,11,9,1772120211201001,C,1.00,,100,6,6,4,754,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,wd,,1772120211201,1,1772120211201001,,,1,S:8AM-8PM,06360,12,,,NEW LONDON,1133,1,8,1,167680,,,1,62,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,3787.4715248,202112913wdS:8AM-8PM,,0,1772120211201001,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131772120211204,2021,4,9,1,9,1772120211204001,C,0.50,0.00,10,4,6,4,130,1,3,2,1,,,0,0,1,0,5,,1,,,2,Y,we,,1772120211204,1,1772120211204001,1,,1,S:8AM-8PM,06614,12,,,FAIRFIELD,1129,0,8,1,167680,,,1,61,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,981.9736667,202112913weS:8AM-8PM,,0,1772120211204001,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131772120211204,2021,4,9,1,9,1772120211204002,C,2.00,,150,24,6,4,130,1,3,2,1,,,0,0,0,0,5,,1,,,2,Y,we,,1772120211204,1,1772120211204002,,,1,S:8AM-8PM,06615,12,,,FAIRFIELD,1620,0,8,1,167680,,,1,60,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,836.59132505,202112913weS:8AM-8PM,,0,1772120211204002,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131772120211204,2021,4,9,1,9,1772120211204003,C,2.00,,300,40,6,4,130,1,3,2,1,,,0,0,0,0,5,,1,,,2,Y,we,,1772120211204,1,1772120211204003,,,1,S:8AM-8PM,06615,12,,,FAIRFIELD,1655,0,8,1,167680,,,1,54,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,836.59132505,202112913weS:8AM-8PM,,0,1772120211204003,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131772120211205,2021,4,9,3,9,1772120211205001,C,1.50,,20,0,6,4,604,1,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1772120211205,1,1772120211205001,,,1,S:8AM-8PM,06051,12,,,HARTFORD,1534,0,8,1,167680,,,1,24,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,2171.917413,202112913weS:8AM-8PM,,0,1772120211205001,03/03/2025
,,202112913weS:8AM-8PM,202169131772120211217,2021,4,9,1,9,1772120211217001,C,3.00,,15,0,6,4,130,1,3,2,1,,,0,0,0,0,5,,1,,,2,Y,we,,1772120211217,1,1772120211217001,,,1,S:8AM-8PM,06606,12,,,FAIRFIELD,1157,1,8,1,,,,1,38,2,2,8,8,18JAN22:10:44,,,,,,,,,,1049.0285348,202112913weS:8AM-8PM,,0,1772120211217001,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131772120211217,2021,2,6,1,9,1772120211217002,C,0.50,,100,20,6,4,130,1,3,2,1,,,0,0,0,0,5,,1,,,2,O,we,,1772120211217,1,1772120211217002,,,1,S:8AM-8PM,06824,12,,,ALAMEDA,1313,1,8,1,167680,,,1,28,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,1049.0285348,202112913weS:8AM-8PM,,0,1772120211217002,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131772120211226,2021,0,8,31,9,1772120211226001,C,1.00,0.00,150,15,6,4,200,5,3,2,1,,,0,0,0,0,5,,9,,,2,O,we,,1772120211226,3,1772120211226001,,,1,S:8AM-8PM,80218,12,,,,1336,5,8,1,167680,,,1,40,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,329.33862269,202112913weS:8AM-8PM,,0,1772120211226001,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131794720211111,2021,4,9,11,9,1794720211111001,C,1.50,0.00,100,15,6,4,625,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1794720211111,1,1794720211111001,,,1,S:8AM-8PM,06371,11,,,NEW LONDON,1536,5,8,8,170479,,,1,38,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,11629.871976,202111913weS:8AM-8PM,,0,1794720211111001,03/03/2025
,STRIPED BASS,202112913wdS:8AM-8PM,202169131794720211215,2021,4,9,1,9,1794720211215001,C,0.50,0.00,24,3,6,4,92,5,3,2,1,,,0,0,0,0,5,,1,,,2,Y,wd,,1794720211215,1,1794720211215001,,,1,S:8AM-8PM,06605,12,,,FAIRFIELD,1222,5,8,1,167680,,,1,27,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,3787.4715248,202112913wdS:8AM-8PM,,0,1794720211215001,03/03/2025
,STRIPED BASS,202111913wdS:8AM-8PM,202169131796320211103,2021,4,9,11,9,1796320211103001,C,2.00,0.00,120,20,6,4,646,5,3,2,1,,,0,0,1,0,5,,11,,,2,Y,wd,,1796320211103,1,1796320211103001,1,,1,S:8AM-8PM,06371,11,,,NEW LONDON,1230,5,8,1,167680,,,1,59,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,3114.2550489,202111913wdS:8AM-8PM,,0,1796320211103001,03/03/2025
,TAUTOG,202111913wdS:8AM-8PM,202169131796320211103,2021,4,9,3,9,1796320211103002,C,6.50,,20,4,6,4,646,2,3,2,1,,,0,0,0,0,5,,11,,,1,Y,wd,,1796320211103,1,1796320211103002,,,1,S:8AM-8PM,06053,11,,,HARTFORD,1244,2,8,1,170479,,,1,46,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,3114.2550489,202111913wdS:8AM-8PM,,0,1796320211103002,03/03/2025
,TAUTOG,202111913wdS:8AM-8PM,202169131796320211103,2021,4,9,3,9,1796320211103003,C,6.50,,20,2,6,4,646,2,3,2,1,,,0,0,0,0,5,,11,,,2,Y,wd,,1796320211103,1,1796320211103003,,,1,S:8AM-8PM,06109,11,,,HARTFORD,1245,2,8,1,170479,,,1,47,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,3114.2550489,202111913wdS:8AM-8PM,,0,1796320211103003,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,11,9,1796720211111004,C,2.00,0.00,200,55,6,4,828,5,3,2,1,,,0,0,1,0,5,,11,,,2,Y,we,,1796720211111,3,1796720211111004,1,,1,S:8AM-8PM,06351,11,,,NEW LONDON,1328,5,8,1,170479,,,1,59,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,1517.0501784,202111913weS:8AM-8PM,,0,1796720211111004,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,11,9,1796720211111005,C,2.00,0.00,200,55,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,1,Y,we,,1796720211111,3,1796720211111005,,,1,S:8AM-8PM,06351,11,,,NEW LONDON,1329,5,8,1,170479,,,1,59,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,1517.0501784,202111913weS:8AM-8PM,,0,1796720211111005,03/03/2025
,,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,1,9,1796720211111011,C,0.50,0.00,100,25,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796720211111,3,1796720211111011,,,1,S:8AM-8PM,06615,11,,,FAIRFIELD,1420,5,8,1,,,,1,48,2,2,8,8,18JAN22:10:44,,,,,,,,,,3288.541842,202111913weS:8AM-8PM,,0,1796720211111011,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,9,9,1796720211111012,C,0.50,0.00,8,3,6,4,828,5,3,2,1,,,0,0,1,0,5,,11,,,2,Y,we,,1796720211111,3,1796720211111012,1,,1,S:8AM-8PM,06437,11,,,NEW HAVEN,1450,5,8,1,170479,,,1,36,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,3288.541842,202111913weS:8AM-8PM,,0,1796720211111012,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,9,9,1796720211111013,C,0.50,0.00,8,3,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796720211111,3,1796720211111013,,,1,S:8AM-8PM,06437,11,,,NEW HAVEN,1451,5,8,1,170479,,,1,36,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,3288.541842,202111913weS:8AM-8PM,,0,1796720211111013,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,3,9,1796720211111022,C,4.00,0.00,15,4,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796720211111,3,1796720211111022,,,1,S:8AM-8PM,06111,11,,,HARTFORD,1614,5,8,1,170479,,,1,47,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,3288.541842,202111913weS:8AM-8PM,,0,1796720211111022,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,4,9,3,9,1796720211111023,C,4.00,0.00,15,4,6,4,828,5,3,2,1,,,0,0,1,0,5,,11,,,2,Y,we,,1796720211111,3,1796720211111023,1,,1,S:8AM-8PM,06111,11,,,HARTFORD,1615,5,8,1,170479,,,1,50,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,3288.541842,202111913weS:8AM-8PM,,0,1796720211111023,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211111,2021,2,6,79,9,1796720211111024,C,1.50,0.00,1,0,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,2,O,we,,1796720211111,3,1796720211111024,,,1,S:8AM-8PM,93401,11,,,SAN LUIS OBISPO,1625,5,8,1,170479,,,2,56,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,3288.541842,202111913weS:8AM-8PM,,0,1796720211111024,03/03/2025
,STRIPED BASS,202111913wdS:8AM-8PM,202169131796720211115,2021,4,9,9,9,1796720211115001,C,1.00,,10,10,6,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,2,Y,wd,,1796720211115,1,1796720211115001,,,1,S:8AM-8PM,06405,11,,,NEW HAVEN,1146,0,8,1,167680,,,1,30,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,11530.779934,202111913wdS:8AM-8PM,,0,1796720211115001,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796720211119,2021,4,9,3,9,1796720211119001,C,2.50,0.00,20,5,6,4,666,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796720211119,1,1796720211119001,,,1,S:8AM-8PM,06033,11,,,HARTFORD,1405,5,8,1,170479,,,1,65,2,2,8,8,18JAN22:10:44,8839010101,,,,,,,,,5811.0317513,202111913weS:8AM-8PM,,0,1796720211119001,03/03/2025
,STRIPED BASS,202111913wdS:8AM-8PM,202169131796720211130,2021,4,9,9,9,1796720211130001,C,0.50,0.00,200,30,6,4,200,5,3,2,1,,,0,0,0,0,5,,9,,,2,Y,wd,,1796720211130,3,1796720211130001,,,1,S:8AM-8PM,06460,11,,,NEW HAVEN,1147,5,8,1,167680,,,1,31,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,2186.6364153,202111913wdS:8AM-8PM,,0,1796720211130001,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131796720211204,2021,4,9,9,9,1796720211204005,C,0.50,0.00,52,16,6,4,200,5,3,2,1,,,0,0,0,0,5,,9,,,2,Y,we,,1796720211204,3,1796720211204005,,,1,S:8AM-8PM,06405,12,,,NEW HAVEN,1153,5,8,1,167680,,,1,47,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,375.81092652,202112913weS:8AM-8PM,,0,1796720211204005,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131796720211212,2021,4,9,1,9,1796720211212001,C,2.00,0.00,110,45,6,4,89,5,3,2,1,,,0,0,1,0,5,,1,,,1,Y,we,,1796720211212,1,1796720211212001,1,,1,S:8AM-8PM,06824,12,,,FAIRFIELD,1550,5,8,1,167680,,,1,70,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,17926.956965,202112913weS:8AM-8PM,,0,1796720211212001,03/03/2025
,STRIPED BASS,202112913weS:8AM-8PM,202169131796720211212,2021,4,9,1,9,1796720211212002,C,1.00,0.00,80,10,6,4,89,5,3,2,1,,,0,0,1,0,5,,1,,,2,Y,we,,1796720211212,1,1796720211212002,1,,1,S:8AM-8PM,99998,12,,,FAIRFIELD,1649,5,8,1,167680,,,1,12,2,2,8,8,18JAN22:10:44,8835020102,,,,,,,,,17926.956965,202112913weS:8AM-8PM,,0,1796720211212002,03/03/2025
,ATLANTIC HERRING,202112913weS:8AM-8PM,202169131796720211212,2021,4,9,1,9,1796720211212003,C,1.00,0.00,150,55,6,4,89,5,3,2,1,,,0,0,0,0,5,,1,,,8,Y,we,,1796720211212,1,1796720211212003,,,1,S:8AM-8PM,06825,12,,,FAIRFIELD,1659,5,8,1,161722,,,1,50,2,2,8,8,18JAN22:10:44,8747010201,,,,,,,,,17926.956965,202112913weS:8AM-8PM,,0,1796720211212003,03/03/2025
,STRIPED BASS,202112913wdS:8AM-8PM,202169131796720211215,2021,4,9,9,9,1796720211215001,C,1.00,0.00,20,2,6,4,200,5,3,2,1,,,0,0,0,0,5,,9,,,2,Y,wd,,1796720211215,3,1796720211215001,,,1,S:8AM-8PM,06460,12,,,NEW HAVEN,1308,5,8,1,167680,,,1,38,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,1435.7091277,202112913wdS:8AM-8PM,,0,1796720211215001,03/03/2025
,STRIPED BASS,202111913weS:8AM-8PM,202169131796820211114,2021,4,9,5,9,1796820211114006,C,6.00,0.00,150,10,6,4,737,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796820211114,3,1796820211114006,,,1,S:8AM-8PM,02721,11,,,LITCHFIELD,1320,5,8,1,167680,,,1,31,2,1,8,8,18JAN22:10:44,8835020102,,,,,,,,,229.98690675,202111913weS:8AM-8PM,,0,1796820211114006,03/03/2025
BLACK SEA BASS,TAUTOG,202111913weS:8AM-8PM,202169131796820211128,2021,4,9,7,9,1796820211128001,C,2.50,0.00,20,5,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796820211128,3,1796820211128001,,,1,S:8AM-8PM,06457,11,,,MIDDLESEX,921,5,8,1,170479,167687,,1,60,2,1,8,8,18JAN22:10:44,8839010101,8835020301,,,,,,,,12863.282754,202111913weS:8AM-8PM,,0,1796820211128001,03/03/2025
,TAUTOG,202111913weS:8AM-8PM,202169131796820211128,2021,4,9,11,9,1796820211128002,C,1.50,0.00,1,1,6,4,828,5,3,2,1,,,0,0,0,0,5,,11,,,2,Y,we,,1796820211128,3,1796820211128002,,,1,S:8AM-8PM,06385,11,,,NEW LONDON,925,5,8,1,170479,,,1,35,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,12863.282754,202111913weS:8AM-8PM,,0,1796820211128002,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,9,9,1764520211117001,1,4.00,0.00,20,8,6,4,638,6,4,1,1,9,1,0,0,0,2,1,2,11,7.00,5,2,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06517,11,2,0,NEW HAVEN,658,6,1,1,170479,,,1,,2,1,1,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117001,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,9,9,1764520211117002,1,4.00,0.00,30,8,6,4,638,6,4,1,1,9,2,0,1,0,2,1,2,11,7.00,10,2,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06518,11,2,0,NEW HAVEN,701,6,1,1,170479,,,1,69,2,1,1,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117002,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,3,9,1764520211117003,1,4.00,0.00,10,4,6,4,638,6,4,1,1,9,2,0,1,2,2,1,2,11,7.00,,1,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06053,11,2,0,HARTFORD,702,6,1,1,170479,,,1,37,2,1,1,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117003,03/03/2025
,,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,9,9,1764520211117004,1,4.00,0.00,35,12,6,4,638,6,4,1,1,9,2,0,1,0,3,1,2,11,7.00,6,2,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06704,11,3,0,NEW HAVEN,705,6,1,1,,,,1,66,2,1,1,8,18JAN22:10:44,,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117004,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,11,9,1764520211117005,1,4.00,0.00,2,0,6,4,638,6,4,1,1,9,2,0,1,1,2,1,2,11,7.00,,2,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06385,11,2,0,NEW LONDON,708,6,1,1,170479,,,1,41,2,2,1,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117005,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,11,9,1764520211117006,1,4.00,0.00,30,12,6,4,638,6,4,1,1,9,2,0,1,0,5,1,2,11,7.00,11,2,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06333,11,5,0,NEW LONDON,710,6,1,1,170479,,,1,63,2,1,1,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117006,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,4,9,9,9,1764520211117007,1,4.00,0.00,30,2,6,4,638,6,4,1,1,9,2,0,1,2,1,1,2,11,7.00,,2,Y,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,06451,11,1,1,NEW HAVEN,710,6,1,1,170479,,,1,84,2,2,1,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117007,03/03/2025
,TAUTOG,202111904wdHEAD-BOAT,202169041764520211117,2021,5,36,119,9,1764520211117008,1,4.00,0.00,10,6,6,4,638,6,4,2,1,9,2,0,1,3,0,1,2,11,7.00,,1,O,wd,1,1764520211117,6,1764520211117001,1,,0,HEAD-BOAT,10701,11,0,3,WESTCHESTER,716,6,1,1,170479,,,1,59,2,1,8,8,18JAN22:10:44,8839010101,,,,,,,,,26.876757012,202111904wdHEAD-BOAT,,0,1764520211117008,03/03/2025
