PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,NEW_LIST,KOD,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,IMP_REC,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,DISTKEYS,REEF,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,STRIPED BASS,202104913weS:8AM-8PM,202129131764520210403,2021,4,9,11,9,1764520210403002,C,1.00,0.00,0,0,2,4,679,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1764520210403,1,1764520210403002,,,1,S:8AM-8PM,00634,04,,,NEW LONDON,1717,5,8,1,167680,,,1,23,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,18848.372094,202104913weS:8AM-8PM,,0,1764520210403002,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131764520210403,2021,4,9,11,9,1764520210403003,C,1.00,0.00,0,0,2,4,679,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1764520210403,1,1764520210403003,,,1,S:8AM-8PM,00634,04,,,NEW LONDON,1717,5,8,1,167680,,,2,23,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,18848.372094,202104913weS:8AM-8PM,,0,1764520210403003,03/03/2025
,TAUTOG,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410001,C,2.00,,30,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410001,,,1,S:8AM-8PM,06514,04,,,NEW HAVEN,1242,0,8,1,170479,,,1,69,2,2,8,8,11MAR22:10:09,8839010101,,,,,,,,,138.27647336,202104913weS:8AM-8PM,,0,1764520210410001,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,3,9,1764520210410002,C,4.00,0.00,5,0,2,4,251,1,3,2,1,,,0,0,1,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410002,1,,1,S:8AM-8PM,06010,04,,,HARTFORD,1442,0,8,1,167680,,,1,49,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410002,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,7,9,1764520210410003,C,4.00,0.00,5,0,2,4,251,1,3,2,1,,,0,0,1,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410003,1,,1,S:8AM-8PM,06457,04,,,MIDDLESEX,1442,0,8,1,167680,,,1,50,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410003,03/03/2025
,TAUTOG,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410004,C,1.00,,36,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410004,,,1,S:8AM-8PM,06517,04,,,NEW HAVEN,1449,0,8,1,170479,,,1,66,2,2,8,8,11MAR22:10:09,8839010101,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410004,03/03/2025
,TAUTOG,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410005,C,1.00,,36,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410005,,,1,S:8AM-8PM,99998,04,,,NEW HAVEN,1450,0,8,1,170479,,,1,73,2,2,8,8,11MAR22:10:09,8839010101,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410005,03/03/2025
,,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410006,C,1.00,,30,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410006,,,1,S:8AM-8PM,06515,04,,,NEW HAVEN,1541,0,8,1,,,,1,59,2,2,8,8,11MAR22:10:09,,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410006,03/03/2025
,,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410007,C,1.00,,30,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410007,,,1,S:8AM-8PM,06515,04,,,NEW HAVEN,1541,0,8,1,,,,1,59,2,2,8,8,11MAR22:10:09,,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410007,03/03/2025
,,202104913weS:8AM-8PM,202129131764520210410,2021,4,25,13,9,1764520210410008,C,2.00,,4,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,O,,we,1764520210410,1,1764520210410008,,,1,S:8AM-8PM,01020,04,,,,1554,0,8,1,,,,1,40,2,2,8,8,11MAR22:10:09,,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410008,03/03/2025
,,202104913weS:8AM-8PM,202129131764520210410,2021,4,25,13,9,1764520210410009,C,2.00,,4,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,O,,we,1764520210410,1,1764520210410009,,,1,S:8AM-8PM,01020,04,,,,1555,0,8,1,,,,1,13,2,2,8,8,11MAR22:10:09,,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410009,03/03/2025
,SCUP,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410010,C,3.00,,7,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410010,,,1,S:8AM-8PM,06513,04,,,NEW HAVEN,1643,0,8,1,169182,,,1,40,2,1,8,8,11MAR22:10:09,8835430101,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410010,03/03/2025
,SCUP,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410011,C,3.00,,0,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410011,,,1,S:8AM-8PM,06513,04,,,NEW HAVEN,1643,0,8,1,169182,,,1,39,2,2,8,8,11MAR22:10:09,8835430101,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410011,03/03/2025
,SCUP,202104913weS:8AM-8PM,202129131764520210410,2021,4,9,9,9,1764520210410012,C,3.00,,0,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1764520210410,1,1764520210410012,,,1,S:8AM-8PM,06513,04,,,NEW HAVEN,1643,0,8,1,169182,,,1,8,2,2,8,8,11MAR22:10:09,8835430101,,,,,,,,,186.90177062,202104913weS:8AM-8PM,,0,1764520210410012,03/03/2025
,,202104913wdS:8AM-8PM,202129131764520210419,2021,4,9,11,9,1764520210419001,C,1.00,0.00,300,0,2,4,617,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,wd,1764520210419,1,1764520210419001,,,1,S:8AM-8PM,06360,04,,,NEW LONDON,1436,5,8,1,,,,1,25,2,1,8,8,11MAR22:10:09,,,,,,,,,,3851.4187831,202104913wdS:8AM-8PM,,0,1764520210419001,03/03/2025
,,202104913wdS:8AM-8PM,202129131764520210419,2021,4,9,11,9,1764520210419002,C,1.00,0.00,300,0,2,4,617,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,wd,1764520210419,1,1764520210419002,,,1,S:8AM-8PM,06360,04,,,NEW LONDON,1436,5,8,1,,,,2,49,2,2,8,8,11MAR22:10:09,,,,,,,,,,3851.4187831,202104913wdS:8AM-8PM,,0,1764520210419002,03/03/2025
,,202104913wdS:8AM-8PM,202129131764520210419,2021,4,9,11,9,1764520210419003,C,1.00,0.00,300,98,2,4,617,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,wd,1764520210419,1,1764520210419003,,,1,S:8AM-8PM,06360,04,,,NEW LONDON,1437,5,8,1,,,,1,,2,2,8,8,11MAR22:10:09,,,,,,,,,,3851.4187831,202104913wdS:8AM-8PM,,0,1764520210419003,03/03/2025
,STRIPED BASS,202104913wdS:8AM-8PM,202129131764520210426,2021,4,9,9,9,1764520210426001,C,1.00,0.00,20,0,2,4,220,5,3,2,1,,,0,0,0,0,5,,9,,,,Y,,wd,1764520210426,1,1764520210426001,,,1,S:8AM-8PM,06460,04,,,NEW HAVEN,1321,5,8,1,167680,,,1,26,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,13508.148944,202104913wdS:8AM-8PM,,0,1764520210426001,03/03/2025
,STRIPED BASS,202104913wdS:8AM-8PM,202129131764520210427,2021,4,25,13,9,1764520210427001,C,0.50,,15,6,2,4,825,1,3,2,1,,,0,0,0,0,5,,7,,,,O,,wd,1764520210427,3,1764520210427001,,,1,S:8AM-8PM,01085,04,,,,1525,0,8,1,167680,,,1,30,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,30178.602922,202104913wdS:8AM-8PM,,0,1764520210427001,03/03/2025
,STRIPED BASS,202104913wdS:8AM-8PM,202129131764520210427,2021,4,25,13,9,1764520210427002,C,0.50,,15,6,2,4,825,1,3,2,1,,,0,0,0,0,5,,7,,,,O,,wd,1764520210427,3,1764520210427002,,,1,S:8AM-8PM,01085,04,,,,1525,0,8,1,167680,,,1,47,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,30178.602922,202104913wdS:8AM-8PM,,0,1764520210427002,03/03/2025
,WHITE PERCH,202104913weS:8AM-8PM,202129131764520210430,2021,4,9,3,9,1764520210430001,C,1.00,,0,0,2,4,604,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1764520210430,1,1764520210430001,,,1,S:8AM-8PM,06118,04,,,HARTFORD,836,0,8,1,167678,,,1,57,2,2,8,8,11MAR22:10:09,8835020101,,,,,,,,,7899.080352,202104913weS:8AM-8PM,,0,1764520210430001,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131764520210430,2021,4,9,3,9,1764520210430002,C,1.00,,12,0,2,4,604,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1764520210430,1,1764520210430002,,,1,S:8AM-8PM,06042,04,,,HARTFORD,1231,0,8,1,167680,,,1,58,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,655.09110444,202104913weS:8AM-8PM,,0,1764520210430002,03/03/2025
,,202103913weS:8AM-8PM,202129131772120210307,2021,4,9,11,9,1772120210307001,C,2.00,,0,0,2,4,754,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1772120210307,3,1772120210307001,,,1,S:8AM-8PM,06354,03,,,NEW LONDON,1433,1,8,1,,,,2,52,2,1,8,8,11MAR22:10:09,,,,,,,,,,413.41884875,202103913weS:8AM-8PM,,0,1772120210307001,03/03/2025
,,202103913weS:8AM-8PM,202129131772120210307,2021,4,9,11,9,1772120210307002,C,2.00,,0,0,2,4,754,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1772120210307,3,1772120210307002,,,1,S:8AM-8PM,06354,03,,,NEW LONDON,1434,1,8,1,,,,1,11,2,2,8,8,11MAR22:10:09,,,,,,,,,,413.41884875,202103913weS:8AM-8PM,,0,1772120210307002,03/03/2025
,ATLANTIC MENHADEN,202103913weS:8AM-8PM,202129131772120210307,2021,4,9,11,9,1772120210307003,C,2.00,,10,0,2,4,754,1,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1772120210307,3,1772120210307003,,,1,S:8AM-8PM,06360,03,,,NEW LONDON,1624,1,8,1,161732,,,1,30,2,1,8,8,11MAR22:10:09,8747010401,,,,,,,,,413.41884875,202103913weS:8AM-8PM,,0,1772120210307003,03/03/2025
,STRIPED BASS,202103913weS:8AM-8PM,202129131772120210312,2021,4,9,9,9,1772120210312001,C,2.00,,20,0,2,4,3887,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1772120210312,1,1772120210312001,,,1,S:8AM-8PM,06516,03,,,NEW HAVEN,1201,0,8,1,167680,,,1,73,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,952.46734893,202103913weS:8AM-8PM,,0,1772120210312001,03/03/2025
,,202103913weS:8AM-8PM,202129131772120210313,2021,4,9,1,9,1772120210313001,C,2.00,,25,0,2,4,128,1,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1772120210313,3,1772120210313001,,,1,S:8AM-8PM,06610,03,,,FAIRFIELD,1256,1,8,1,,,,1,,2,2,8,8,11MAR22:10:09,,,,,,,,,,173.27752683,202103913weS:8AM-8PM,,0,1772120210313001,03/03/2025
,,202103913weS:8AM-8PM,202129131772120210313,2021,4,9,1,9,1772120210313002,C,1.50,,25,0,2,4,128,1,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1772120210313,3,1772120210313002,,,1,S:8AM-8PM,06610,03,,,FAIRFIELD,1257,1,8,1,,,,1,,2,2,8,8,11MAR22:10:09,,,,,,,,,,173.27752683,202103913weS:8AM-8PM,,0,1772120210313002,03/03/2025
,BLACK SEA BASS,202103913weS:8AM-8PM,202129131772120210321,2021,4,9,1,9,1772120210321001,C,2.00,,10,0,2,4,128,1,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1772120210321,3,1772120210321001,,,1,S:8AM-8PM,06615,03,,,FAIRFIELD,1620,1,8,1,167687,,,1,41,2,2,8,8,11MAR22:10:09,8835020301,,,,,,,,,144.07852347,202103913weS:8AM-8PM,,0,1772120210321001,03/03/2025
,BLACK SEA BASS,202103913weS:8AM-8PM,202129131772120210321,2021,4,9,1,9,1772120210321002,C,2.00,,10,0,2,4,128,1,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1772120210321,3,1772120210321002,,,1,S:8AM-8PM,06615,03,,,FAIRFIELD,1620,1,8,1,167687,,,1,62,2,2,8,8,11MAR22:10:09,8835020301,,,,,,,,,144.07852347,202103913weS:8AM-8PM,,0,1772120210321002,03/03/2025
,STRIPED BASS,202103913weS:8AM-8PM,202129131772120210328,2021,4,9,9,9,1772120210328001,C,1.00,0.00,3,0,2,4,235,5,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1772120210328,1,1772120210328001,,,1,S:8AM-8PM,06516,03,,,NEW HAVEN,1644,5,8,1,167680,,,1,32,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,459.9811378,202103913weS:8AM-8PM,,0,1772120210328001,03/03/2025
,,202103913weS:8AM-8PM,202129131772120210328,2021,4,9,9,9,1772120210328002,C,0.50,,0,0,2,4,230,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1772120210328,1,1772120210328002,,,1,S:8AM-8PM,06451,03,,,NEW HAVEN,1732,0,8,1,,,,1,25,2,2,8,8,11MAR22:10:09,,,,,,,,,,4233.6005723,202103913weS:8AM-8PM,,0,1772120210328002,03/03/2025
,,202103913weS:8AM-8PM,202129131772120210328,2021,4,9,3,9,1772120210328003,C,0.50,,0,0,2,4,230,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1772120210328,1,1772120210328003,,,1,S:8AM-8PM,06112,03,,,HARTFORD,1733,0,8,1,,,,1,23,2,2,8,8,11MAR22:10:09,,,,,,,,,,4233.6005723,202103913weS:8AM-8PM,,0,1772120210328003,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131772120210403,2021,4,9,15,9,1772120210403002,C,1.00,0.00,0,0,2,4,679,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1772120210403,1,1772120210403002,,,1,S:8AM-8PM,03857,04,,,WINDHAM,1427,5,8,1,167680,,,1,37,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,731.71558953,202104913weS:8AM-8PM,,0,1772120210403002,03/03/2025
,SCUP,202104913weS:8AM-8PM,202129131772120210403,2021,4,9,3,9,1772120210403003,C,5.00,0.00,6,0,2,4,679,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1772120210403,1,1772120210403003,,,1,S:8AM-8PM,06108,04,,,HARTFORD,1439,5,8,1,169182,,,1,34,2,2,8,8,11MAR22:10:09,8835430101,,,,,,,,,731.71558953,202104913weS:8AM-8PM,,0,1772120210403003,03/03/2025
,SCUP,202104913weS:8AM-8PM,202129131772120210403,2021,4,9,7,9,1772120210403004,C,5.00,0.00,6,0,2,4,679,5,3,2,1,,,0,0,0,0,5,,11,,,,Y,,we,1772120210403,1,1772120210403004,,,1,S:8AM-8PM,06450,04,,,MIDDLESEX,1440,5,8,1,169182,,,1,35,2,2,8,8,11MAR22:10:09,8835430101,,,,,,,,,731.71558953,202104913weS:8AM-8PM,,0,1772120210403004,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131772120210410,2021,4,9,9,9,1772120210410001,C,1.50,,100,7,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1772120210410,1,1772120210410001,,,1,S:8AM-8PM,06512,04,,,NEW HAVEN,1040,0,8,1,167680,,,1,47,2,1,8,8,11MAR22:10:09,8835020102,,,,,,,,,2383.0199692,202104913weS:8AM-8PM,,0,1772120210410001,03/03/2025
,,202104913weS:8AM-8PM,202129131772120210411,2021,4,9,9,9,1772120210411001,C,1.00,,0,0,2,4,4467,1,3,2,1,,,0,0,0,0,5,,1,,,,Y,,we,1772120210411,1,1772120210411001,,,1,S:8AM-8PM,06770,04,,,NEW HAVEN,1321,0,8,1,,,,1,22,2,2,8,8,11MAR22:10:09,,,,,,,,,,544.87896848,202104913weS:8AM-8PM,,0,1772120210411001,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131772120210416,2021,4,9,1,9,1772120210416001,C,5.00,0.00,2,2,2,4,254,5,3,1,1,,,0,0,1,1,5,,9,,,,Y,,we,1772120210416,3,1772120210416001,1,,1,S:8AM-8PM,06810,04,1,0,FAIRFIELD,1658,5,8,1,167680,,,1,,2,2,1,8,11MAR22:10:09,8835020102,,,,,,,,,203.00986873,202104913weS:8AM-8PM,,0,1772120210416001,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131772120210416,2021,4,9,1,9,1772120210416002,C,5.00,0.00,2,2,2,4,254,5,3,2,1,,,0,0,1,0,5,,9,,,,Y,,we,1772120210416,3,1772120210416002,1,,1,S:8AM-8PM,06810,04,,,FAIRFIELD,1658,5,8,1,167680,,,1,,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,203.00986873,202104913weS:8AM-8PM,,0,1772120210416002,03/03/2025
,STRIPED BASS,202104913weS:8AM-8PM,202129131772120210416,2021,4,9,1,9,1772120210416003,C,5.00,0.00,2,2,2,4,254,5,3,2,1,,,0,0,1,0,5,,9,,,,Y,,we,1772120210416,3,1772120210416003,1,,1,S:8AM-8PM,06810,04,,,FAIRFIELD,1659,5,8,1,167680,,,1,,2,2,8,8,11MAR22:10:09,8835020102,,,,,,,,,203.00986873,202104913weS:8AM-8PM,,0,1772120210416003,03/03/2025
,,202104913weS:8AM-8PM,202129131772120210424,2021,4,9,9,9,1772120210424001,C,2.00,0.00,2,2,2,4,251,1,3,1,1,,,0,0,0,3,5,,9,,,,Y,,we,1772120210424,1,1772120210424001,1,,1,S:8AM-8PM,06501,04,5,0,NEW HAVEN,1605,0,8,1,,,,1,64,2,2,1,8,11MAR22:10:09,,,,,,,,,,176.08668245,202104913weS:8AM-8PM,,0,1772120210424001,03/03/2025
,,202104913weS:8AM-8PM,202129131772120210424,2021,4,9,9,9,1772120210424002,C,2.00,0.00,2,2,2,4,251,1,3,1,1,,,0,0,0,2,5,,9,,,,Y,,we,1772120210424,1,1772120210424002,1,,1,S:8AM-8PM,06501,04,5,0,NEW HAVEN,1605,0,8,1,,,,1,62,2,2,1,8,11MAR22:10:09,,,,,,,,,,176.08668245,202104913weS:8AM-8PM,,0,1772120210424002,03/03/2025
,,202103913wdS:8AM-8PM,202129131789820210325,2021,4,9,11,9,1789820210325001,C,7.00,,0,0,2,4,251,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,wd,1789820210325,1,1789820210325001,,,1,S:8AM-8PM,06770,03,,,NEW LONDON,1637,0,8,1,,,,1,45,2,1,8,8,11MAR22:10:09,,,,,,,,,,1662.2990159,202103913wdS:8AM-8PM,,0,1789820210325001,03/03/2025
,,202103913weS:8AM-8PM,202129131789820210327,2021,4,9,9,9,1789820210327001,C,1.00,,50,0,2,4,3887,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1789820210327,1,1789820210327001,,,1,S:8AM-8PM,06513,03,,,NEW HAVEN,1604,0,8,1,,,,1,19,2,1,8,8,11MAR22:10:09,,,,,,,,,,1153.0177884,202103913weS:8AM-8PM,,0,1789820210327001,03/03/2025
,,202103913weS:8AM-8PM,202129131789820210327,2021,4,9,9,9,1789820210327002,C,1.00,,50,0,2,4,3887,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1789820210327,1,1789820210327002,,,1,S:8AM-8PM,06519,03,,,NEW HAVEN,1604,0,8,1,,,,1,18,2,2,8,8,11MAR22:10:09,,,,,,,,,,1153.0177884,202103913weS:8AM-8PM,,0,1789820210327002,03/03/2025
,,202103913weS:8AM-8PM,202129131789820210327,2021,4,9,9,9,1789820210327003,C,1.00,,50,0,2,4,3887,1,3,2,1,,,0,0,0,0,5,,9,,,,Y,,we,1789820210327,1,1789820210327003,,,1,S:8AM-8PM,06519,03,,,NEW HAVEN,1604,0,8,1,,,,1,18,2,2,8,8,11MAR22:10:09,,,,,,,,,,1153.0177884,202103913weS:8AM-8PM,,0,1789820210327003,03/03/2025
