PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,SEX,AGE,REEF,DATE1,DIST,PRIM1,PRIM2,MODE2001,TURTLE,REEFCODE,AREA_NC,ART_REEF,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,,2021011263weS:8AM-8PM,2021112631554220210102,2021,6,12,111,12,111,929,2,3,1,1,2,0.00,6,1,1,3,0,0,0,,,1554220210102002,6,1,2,,,,,Y,we,1554220210102,1,,1554220210102002,2,6,S:8AM-8PM,34946,01,0,1,ST LUCIE,1057,,,1,1,,8,2,8,1,45,2,22FEB202108:52,1,,,,,,,,,,34216.244861,2021011263weS:8AM-8PM,,0,1554220210102002,03/03/2025
,,2021011263weS:8AM-8PM,2021112631554220210102,2021,6,12,111,12,111,929,2,3,1,1,5,0.00,150,25,1,4,1,0,0,,,1554220210102004,6,1,1,,,,,Y,we,1554220210102,1,,1554220210102004,2,6,S:8AM-8PM,34949,01,1,1,ST LUCIE,1136,,,1,1,,8,1,1,1,50,2,22FEB202108:52,1,,,,,,,,,,6409.4026424,2021011263weS:8AM-8PM,,0,1554220210102004,03/03/2025
,FLORIDA POMPANO,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,99,12,11,106,1,3,1,1,2.5,,40,3,1,0,0,0,0,,,1554220210131001,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131001,,5,S:8AM-8PM,33436,01,,,PALM BEACH,1124,168708,,1,1,,8,2,8,1,49,2,22FEB202108:52,1,8835280901,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131001,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,5,,30,6,1,0,0,0,0,,,1554220210131002,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131002,,5,S:8AM-8PM,33064,01,,,BROWARD,1139,,,1,1,,8,1,8,1,40,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131002,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,5,36,61,12,11,106,1,3,1,1,4.5,,5,3,1,0,0,0,0,,,1554220210131003,6,1,2,,,,,O,we,1554220210131,1,,1554220210131003,,5,S:8AM-8PM,10022,01,,,NEW YORK,1206,,,1,1,,8,1,8,1,44,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131003,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,5,34,25,12,11,106,1,3,1,1,4.5,,2,1,1,0,0,0,0,,,1554220210131004,6,1,2,,,,,O,we,1554220210131,1,,1554220210131004,,5,S:8AM-8PM,07726,01,,,MONMOUTH,1207,,,1,1,,8,2,8,1,72,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131004,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,6.5,,10,2,1,0,0,0,0,,,1554220210131005,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131005,,5,S:8AM-8PM,33023,01,,,BROWARD,1237,,,1,1,,8,1,8,1,36,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131005,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,6.5,,10,2,1,0,0,0,0,,,1554220210131006,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131006,,5,S:8AM-8PM,33023,01,,,BROWARD,1238,,,1,1,,8,2,8,1,66,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131006,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,6.5,,10,2,1,0,0,0,0,,,1554220210131007,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131007,,5,S:8AM-8PM,33023,01,,,BROWARD,1239,,,1,1,,8,2,8,2,65,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131007,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,7,0.00,57,12,1,2,0,0,0,,,1554220210131008,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131008,2,5,S:8AM-8PM,33064,01,0,12,BROWARD,1250,,,1,1,,8,1,8,1,72,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131008,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,7,0.00,52,9,1,1,0,0,0,,,1554220210131009,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131009,2,5,S:8AM-8PM,33064,01,0,10,BROWARD,1252,,,1,1,,8,2,8,2,47,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131009,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,86,12,11,106,1,3,1,1,2,,50,5,1,0,0,0,0,,,1554220210131010,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131010,,5,S:8AM-8PM,33141,01,,,MIAMI-DADE,1315,,,1,1,,8,2,8,1,26,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131010,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,2,,50,8,1,0,0,0,0,,,1554220210131011,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131011,,5,S:8AM-8PM,33073,01,,,BROWARD,1316,,,1,1,,8,2,8,1,26,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131011,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,11,12,11,106,1,3,1,1,2,,50,13,1,0,0,0,0,,,1554220210131012,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131012,,5,S:8AM-8PM,33073,01,,,BROWARD,1317,,,1,1,,8,2,8,1,26,2,22FEB202108:52,1,,,,,,,,,,2884.8915276,2021011253weS:8AM-8PM,,0,1554220210131012,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,99,12,11,106,1,3,1,1,3,,24,4,1,0,0,0,0,,,1554220210131013,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131013,,5,S:8AM-8PM,33434,01,,,PALM BEACH,1624,,,1,1,,8,1,8,1,59,2,22FEB202108:52,1,,,,,,,,,,3166.8814442,2021011253weS:8AM-8PM,,0,1554220210131013,03/03/2025
,,2021011253weS:8AM-8PM,2021112531554220210131,2021,6,12,99,12,11,106,1,3,1,1,3,,24,4,1,0,0,0,0,,,1554220210131014,6,1,2,,,,,Y,we,1554220210131,1,,1554220210131014,,5,S:8AM-8PM,33434,01,,,PALM BEACH,1625,,,1,1,,8,2,8,1,14,2,22FEB202108:52,1,,,,,,,,,,3166.8814442,2021011253weS:8AM-8PM,,0,1554220210131014,03/03/2025
,SPANISH MACKEREL,2021021253weS:8AM-8PM,2021112531563620210221,2021,6,12,99,12,99,3660,2,3,1,1,2.5,0.00,50,8,1,1,0,0,0,,,1563620210221001,6,1,2,,,,,Y,we,1563620210221,1,,1563620210221001,2,5,S:8AM-8PM,99998,02,,,PALM BEACH,1240,172436,,1,1,,8,1,8,1,62,2,19MAR202115:11,1,8850030502,,,,,,,,,4983.499095,2021021253weS:8AM-8PM,,0,1563620210221001,03/03/2025
,SPANISH MACKEREL,2021021253weS:8AM-8PM,2021112531563620210221,2021,6,12,99,12,99,3660,2,3,1,1,2.5,,30,5,1,0,0,0,0,,,1563620210221002,6,1,2,,,,,Y,we,1563620210221,1,,1563620210221002,,5,S:8AM-8PM,33462,02,,,PALM BEACH,1241,172436,,1,1,,8,2,8,1,66,2,19MAR202115:11,1,8850030502,,,,,,,,,4983.499095,2021021253weS:8AM-8PM,,0,1563620210221002,03/03/2025
,SNAPPER FAMILY,2021021253weS:8AM-8PM,2021112531563620210221,2021,6,12,99,12,99,3660,2,3,1,1,4,0.00,50,8,1,3,0,0,0,,,1563620210221003,6,1,2,,,,,Y,we,1563620210221,1,,1563620210221003,2,5,S:8AM-8PM,33460,02,,,PALM BEACH,1410,168845,,1,1,,8,1,8,1,48,2,19MAR202115:11,1,8835360000,,,,,,,,,2780.6157935,2021021253weS:8AM-8PM,,0,1563620210221003,03/03/2025
,,2021021253weS:8AM-8PM,2021112531563620210221,2021,6,12,11,12,99,3660,2,3,1,1,2.5,,12,2,1,0,0,0,0,,,1563620210221004,6,1,2,,,,,Y,we,1563620210221,1,,1563620210221004,,5,S:8AM-8PM,33334,02,,,BROWARD,1603,,,1,1,,8,2,8,1,999,2,19MAR202115:11,1,,,,,,,,,,2780.6157935,2021021253weS:8AM-8PM,,0,1563620210221004,03/03/2025
,,2021021253weS:8AM-8PM,2021112531563620210221,2021,6,12,99,12,99,3660,2,3,1,1,2.5,,20,3,1,0,0,0,0,,,1563620210221005,6,1,2,,,,,Y,we,1563620210221,1,,1563620210221005,,5,S:8AM-8PM,33436,02,,,PALM BEACH,1604,,,1,1,,8,2,8,1,999,2,19MAR202115:11,1,,,,,,,,,,2780.6157935,2021021253weS:8AM-8PM,,0,1563620210221005,03/03/2025
,FLORIDA POMPANO,2021011253weS:8AM-8PM,2021112531579320210101,2021,6,12,99,12,99,1448,1,3,1,1,2,,364,59,1,0,0,0,0,,,1579320210101001,6,1,2,,,,,Y,we,1579320210101,1,,1579320210101001,,5,S:8AM-8PM,33409,01,,,PALM BEACH,828,168708,,1,1,,8,2,8,1,39,2,22FEB202108:52,1,8835280901,,,,,,,,,49925.807118,2021011253weS:8AM-8PM,,0,1579320210101001,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210101,2021,4,25,17,12,99,1448,1,3,1,1,1.5,,9,9,1,0,0,0,0,,,1579320210101002,6,1,2,,,,,O,we,1579320210101,1,,1579320210101002,,5,S:8AM-8PM,01770,01,,,MIDDLESEX,944,,,1,1,,8,2,8,1,61,2,22FEB202108:52,1,,,,,,,,,,49925.807118,2021011253weS:8AM-8PM,,0,1579320210101002,03/03/2025
,FLORIDA POMPANO,2021011253weS:8AM-8PM,2021112531579320210101,2021,6,12,99,12,99,1448,1,3,1,1,4.5,,100,8,1,0,0,0,0,,,1579320210101003,6,1,2,,,,,Y,we,1579320210101,1,,1579320210101003,,5,S:8AM-8PM,33410,01,,,PALM BEACH,955,168708,,1,1,,8,2,8,1,50,2,22FEB202108:52,1,8835280901,,,,,,,,,49925.807118,2021011253weS:8AM-8PM,,0,1579320210101003,03/03/2025
,FLORIDA POMPANO,2021011253weS:8AM-8PM,2021112531579320210101,2021,6,12,99,12,99,1448,1,3,1,1,4,,40,20,1,0,0,0,0,,,1579320210101004,6,1,2,,,,,Y,we,1579320210101,1,,1579320210101004,,5,S:8AM-8PM,33477,01,,,PALM BEACH,1040,168708,,1,1,,8,1,8,1,999,2,22FEB202108:52,1,8835280901,,,,,,,,,49925.807118,2021011253weS:8AM-8PM,,0,1579320210101004,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210101,2021,6,12,9,12,99,1448,1,3,1,1,2,,10,1,1,0,0,0,0,,,1579320210101005,6,1,2,,,,,Y,we,1579320210101,1,,1579320210101005,,5,S:8AM-8PM,32955,01,,,BREVARD,1136,,,1,1,,8,2,8,1,35,2,22FEB202108:52,1,,,,,,,,,,3083.6907567,2021011253weS:8AM-8PM,,0,1579320210101005,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210101,2021,6,12,99,12,99,1448,1,3,1,1,5.5,,50,30,1,0,0,0,0,,,1579320210101006,6,1,2,,,,,Y,we,1579320210101,1,,1579320210101006,,5,S:8AM-8PM,33413,01,,,PALM BEACH,1145,,,1,1,,8,2,8,1,36,2,22FEB202108:52,1,,,,,,,,,,3083.6907567,2021011253weS:8AM-8PM,,0,1579320210101006,03/03/2025
,FLORIDA POMPANO,2021011253weS:8AM-8PM,2021112531579320210101,2021,6,12,99,12,99,1448,1,3,1,1,3,,100,30,1,0,0,0,0,,,1579320210101007,6,1,2,,,,,Y,we,1579320210101,1,,1579320210101007,,5,S:8AM-8PM,33436,01,,,PALM BEACH,1317,168708,,1,1,,8,1,8,2,60,2,22FEB202108:52,1,8835280901,,,,,,,,,3083.6907567,2021011253weS:8AM-8PM,,0,1579320210101007,03/03/2025
,MACKEREL FAMILY,2021011253weS:8AM-8PM,2021112531579320210110,2021,0,12,998,12,11,108,1,3,1,1,4,,10,3,1,0,0,0,0,,,1579320210110001,6,1,2,,,,,O,we,1579320210110,1,,1579320210110001,,5,S:8AM-8PM,33325,01,,,,1131,172398,,1,1,,8,2,8,1,53,2,22FEB202108:52,1,8850030000,,,,,,,,,6281.8555355,2021011253weS:8AM-8PM,,0,1579320210110001,03/03/2025
,MACKEREL FAMILY,2021011253weS:8AM-8PM,2021112531579320210110,2021,0,12,998,12,11,108,1,3,1,1,5.5,0.00,100,20,1,0,1,0,0,,,1579320210110002,6,1,1,,,,,O,we,1579320210110,1,,1579320210110002,2,5,S:8AM-8PM,33026,01,1,0,,1139,172398,,1,1,,8,2,1,1,88,2,22FEB202108:52,1,8850030000,,,,,,,,,6281.8555355,2021011253weS:8AM-8PM,,0,1579320210110002,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210110,2021,0,12,998,12,11,108,1,3,1,1,4.5,0.00,0,0,1,1,0,0,0,,,1579320210110003,6,1,2,,,,,O,we,1579320210110,1,,1579320210110003,2,5,S:8AM-8PM,33160,01,,,,1301,,,1,1,,8,2,8,1,41,2,22FEB202108:52,1,,,,,,,,,,6281.8555355,2021011253weS:8AM-8PM,,0,1579320210110003,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210110,2021,0,12,998,12,11,108,1,3,1,1,2,,15,5,1,0,0,0,0,,,1579320210110004,6,1,2,,,,,O,we,1579320210110,1,,1579320210110004,,5,S:8AM-8PM,33024,01,,,,1437,,,1,1,,8,2,8,1,17,2,22FEB202108:52,1,,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110004,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210110,2021,0,12,998,12,11,108,1,3,1,1,2,,15,5,1,0,0,0,0,,,1579320210110005,6,1,2,,,,,O,we,1579320210110,1,,1579320210110005,,5,S:8AM-8PM,33024,01,,,,1438,,,1,1,,8,2,8,1,14,2,22FEB202108:52,1,,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110005,03/03/2025
MACKEREL FAMILY,JACK FAMILY,2021011253weS:8AM-8PM,2021112531579320210110,2021,6,12,11,12,11,108,1,3,1,1,5,,50,10,1,0,0,0,0,,,1579320210110006,6,1,2,,,,,Y,we,1579320210110,1,,1579320210110006,,5,S:8AM-8PM,33020,01,,,BROWARD,1509,168584,172398,1,1,,8,2,8,1,47,2,22FEB202108:52,1,8835280000,8850030000,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110006,03/03/2025
ATLANTIC TARPON,COMMON SNOOK,2021011253weS:8AM-8PM,2021112531579320210110,2021,6,12,11,12,11,108,1,3,1,1,3,0.00,200,6,1,3,0,0,0,,,1579320210110007,6,1,2,,,,,Y,we,1579320210110,1,,1579320210110007,2,5,S:8AM-8PM,33021,01,0,10,BROWARD,1514,167648,161116,1,1,,8,2,8,1,23,2,22FEB202108:52,1,8835010105,8738020201,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110007,03/03/2025
,SPANISH MACKEREL,2021011253weS:8AM-8PM,2021112531579320210110,2021,6,37,145,12,11,108,1,3,1,1,4,0.00,20,10,1,1,0,0,0,,,1579320210110008,6,1,2,,,,,O,we,1579320210110,1,,1579320210110008,2,5,S:8AM-8PM,27541,01,,,,1540,172436,,1,1,,8,2,8,1,39,2,22FEB202108:52,1,8850030502,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110008,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210110,2021,6,12,11,12,11,108,1,3,1,1,4,0.00,2,1,1,1,0,0,0,,,1579320210110009,6,1,2,,,,,Y,we,1579320210110,1,,1579320210110009,2,5,S:8AM-8PM,33327,01,,,BROWARD,1550,,,1,1,,8,2,8,1,25,2,22FEB202108:52,1,,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110009,03/03/2025
,,2021011253weS:8AM-8PM,2021112531579320210110,2021,6,12,11,12,11,108,1,3,1,1,4,0.00,5,3,1,1,0,0,0,,,1579320210110010,6,1,2,,,,,Y,we,1579320210110,1,,1579320210110010,2,5,S:8AM-8PM,33327,01,,,BROWARD,1551,,,1,1,,8,2,8,1,18,2,22FEB202108:52,1,,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110010,03/03/2025
,COMMON SNOOK,2021011253weS:8AM-8PM,2021112531579320210110,2021,6,12,11,12,11,108,1,3,1,1,4,0.00,20,4,1,1,0,0,0,,,1579320210110011,6,1,2,,,,,Y,we,1579320210110,1,,1579320210110011,2,5,S:8AM-8PM,33327,01,,,BROWARD,1552,167648,,1,1,,8,2,8,1,22,2,22FEB202108:52,1,8835010105,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110011,03/03/2025
,LEFTEYE FLOUNDER FAMILY,2021011253weS:8AM-8PM,2021112531579320210110,2021,7,1,998,12,11,108,1,3,1,1,3,0.00,5,5,1,1,0,0,0,,,1579320210110012,6,1,2,,,,,O,we,1579320210110,1,,1579320210110012,2,5,S:8AM-8PM,35004,01,,,,1608,172714,,1,1,,8,2,8,2,60,2,22FEB202108:52,1,8857030000,,,,,,,,,6071.3837741,2021011253weS:8AM-8PM,,0,1579320210110012,03/03/2025
,,2021021253weS:8AM-8PM,2021112531579320210214,2021,6,12,86,12,99,18,2,3,1,1,0.5,,50,4,1,0,0,0,0,,,1579320210214001,6,1,2,,,,,Y,we,1579320210214,1,,1579320210214001,,5,S:8AM-8PM,33015,02,,,MIAMI-DADE,1447,,,1,1,,8,2,8,1,39,2,19MAR202115:11,1,,,,,,,,,,2920.0573067,2021021253weS:8AM-8PM,,0,1579320210214001,03/03/2025
,,2021021253weS:8AM-8PM,2021112531579320210214,2021,7,12,81,12,99,18,2,3,1,1,2,,30,10,1,0,0,0,0,,,1579320210214002,6,1,2,,,,,O,we,1579320210214,1,,1579320210214002,,5,S:8AM-8PM,34221,02,,,MANATEE,1537,,,1,1,,8,2,8,1,24,2,19MAR202115:11,1,,,,,,,,,,2920.0573067,2021021253weS:8AM-8PM,,0,1579320210214002,03/03/2025
SHEEPSHEAD,FLORIDA POMPANO,2021011273weS:8AM-8PM,2021112731581320210118,2021,6,12,127,12,127,21,1,3,1,1,1,,260,10,1,0,0,0,0,,,1581320210118001,6,1,2,,,,,Y,we,1581320210118,1,,1581320210118001,,7,S:8AM-8PM,32118,01,,,VOLUSIA,1157,168708,169189,1,1,,8,1,8,1,35,2,22FEB202108:52,1,8835280901,8835430301,,,,,,,,4034.0030319,2021011273weS:8AM-8PM,,0,1581320210118001,03/03/2025
SHEEPSHEAD,FLORIDA POMPANO,2021011273weS:8AM-8PM,2021112731581320210118,2021,6,12,127,12,127,21,1,3,1,1,1,,2,2,1,0,0,0,0,,,1581320210118002,6,1,2,,,,,Y,we,1581320210118,1,,1581320210118002,,7,S:8AM-8PM,32119,01,,,VOLUSIA,1158,168708,169189,1,1,,8,2,8,1,22,2,22FEB202108:52,1,8835280901,8835430301,,,,,,,,4034.0030319,2021011273weS:8AM-8PM,,0,1581320210118002,03/03/2025
