PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,MODE_ASG,NUM_TYP9,ASG_CODE,MONTH,KOD,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,33,O,0,0,1,3,1169520031108001,442,7,6,1,0,0,0,1,5,5,9,24,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,,,8,1,,PRINCE GEORGES,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1340,0,20036498611we,,0,1169520031108001,20721,03/03/2025
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,3,Y,0,0,2,3,1169520031108002,442,7,6,2,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,0,3,8,2,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1341,0,20036498611we,,0,1169520031108002,06119,03/03/2025
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,9,Y,0,0,2,3,1169520031108003,442,7,6,3,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,,,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1342,0,20036498611we,,0,1169520031108003,06119,03/03/2025
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,,C,5,5,2,1,7,3,Y,0,0,2,3,1169520031108004,442,7,6,0,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,,,,8,2,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1243,0,20036498611we,,0,1169520031108004,06002,03/03/2025
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,3,Y,0,0,2,3,1169520031108005,442,7,6,1,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,0,3,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1344,0,20036498611we,,0,1169520031108005,06107,03/03/2025
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,13,Y,0,10,1,3,1169520031109001,651,7,6,1,0,0,0,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,3,8,2,,TOLLAND,20040317,8,8,1,7,,,8839010101,,1,,8,1115,0,20036498611we,,0,1169520031109001,06231,03/03/2025
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,13,Y,8,75,2,3,1169520031109002,651,7,6,3,0,0,1,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,3,8,2,,TOLLAND,20040317,8,8,1,7,,,8839010101,,1,,8,1116,0,20036498611we,,0,1169520031109002,06248,03/03/2025
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,3,Y,0,0,2,3,1169520031109003,651,7,6,2,0,0,1,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,4,8,2,,HARTFORD,20040317,8,8,1,7,,,8839010101,,1,,8,1117,0,20036498611we,,0,1169520031109003,06033,03/03/2025
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,7,Y,0,0,2,3,1169520031109004,651,7,6,2,0,0,1,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,3,8,1,,MIDDLESEX,20040317,8,8,1,7,,,8839010101,,1,,8,1118,0,20036498611we,,0,1169520031109004,06424,03/03/2025
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,4,20,1,5,1169520031109005,639,7,6,5,0,0,0,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1530,0,20036498611we,,0,1169520031109005,06477,03/03/2025
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,1,4,2,5,1169520031109006,639,7,6,4,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,0,2,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1531,0,20036498611we,,0,1169520031109006,06477,03/03/2025
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,0,2,2,5,1169520031109007,639,7,6,1,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,,,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1532,0,20036498611we,,0,1169520031109007,06477,03/03/2025
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,0,3,2,5,1169520031109008,639,7,6,4,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,0,2,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1533,0,20036498611we,,0,1169520031109008,06477,03/03/2025
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,0,2,2,5,1169520031109009,639,7,6,6,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,0,1,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1534,0,20036498611we,,0,1169520031109009,06477,03/03/2025
TAUTOG,STRIPED BASS,20036498611wd,11695200311107442,0,C,5,5.5,2,1,7,297,O,0,0,1,3,1169520031110001,442,7,6,4,0,0,0,1,3,7,9,48,4,1,6,2003,5,0,1169520031110,11,wd,,1169520031110001,1,0,2,8,1,,,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1300,0,20036498611wd,,0,1169520031110001,78060,03/03/2025
TAUTOG,STRIPED BASS,20036498611wd,11695200311107442,0,C,5,3,2,1,7,297,O,0,1,2,3,1169520031110002,442,7,6,4,0,0,1,1,3,7,9,48,4,1,6,2003,5,0,1169520031110,11,wd,,1169520031110001,1,0,2,8,2,,,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1301,0,20036498611wd,,0,1169520031110002,78060,03/03/2025
TAUTOG,STRIPED BASS,20036498611wd,11695200311107442,0,C,5,5,2,1,7,5,Y,0,6,2,3,1169520031110003,442,7,6,4,0,0,1,1,3,4,9,9,4,1,6,2003,5,0,1169520031110,11,wd,,1169520031110001,1,0,2,8,1,,LITCHFIELD,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1302,0,20036498611wd,,0,1169520031110003,06751,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,0,6,1,5.5,1169520031111001,442,7,6,3,0,0,0,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1430,0,20036498611wd,,0,1169520031111001,06078,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,13,Y,0,3,2,4.5,1169520031111002,442,7,6,2,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,TOLLAND,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1431,0,20036498611wd,,0,1169520031111002,06066,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,6,60,2,5.5,1169520031111003,442,7,6,3,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1432,0,20036498611wd,,0,1169520031111003,06040,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,3,12,2,4.5,1169520031111004,442,7,6,3,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1433,0,20036498611wd,,0,1169520031111004,06042,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,0,0,2,5,1169520031111005,442,7,6,2,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,0,1,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1434,0,20036498611wd,,0,1169520031111005,06278,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,0,1,2,4.5,1169520031111006,442,7,6,3,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1435,0,20036498611wd,,0,1169520031111006,06108,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311127442,0,C,5,5.5,2,1,7,9,Y,1,4,1,5,1169520031112001,442,7,6,3,0,0,0,1,3,4,9,9,4,1,6,2003,5,0,1169520031112,11,wd,,1169520031112001,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1315,0,20036498611wd,,0,1169520031112001,06716,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311127442,0,C,5,5.5,2,1,7,9,Y,1,4,2,5,1169520031112002,442,7,6,3,0,0,1,1,3,4,9,9,4,1,6,2003,5,0,1169520031112,11,wd,,1169520031112001,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1316,0,20036498611wd,,0,1169520031112002,06716,03/03/2025
STRIPED BASS,TAUTOG,20036498611wd,11695200311127442,0,C,5,5.5,2,1,7,9,Y,1,6,2,5,1169520031112003,442,7,6,5,0,0,1,1,3,4,9,9,4,1,6,2003,5,0,1169520031112,11,wd,,1169520031112001,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1317,0,20036498611wd,,0,1169520031112003,06705,03/03/2025
TAUTOG,STRIPED BASS,20036498711we,11694200311017825,0,C,5,6,1,1,7,3,Y,10,15,1,5,1169420031101001,825,8,7,2,1,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101001,1,,,8,1,,HARTFORD,20040317,8,1,1,8,,,8835020102,8839010101,1,,8,1005,1137.933819,20036498711we,,0,1169420031101001,06019,03/03/2025
TAUTOG,STRIPED BASS,20036498711we,11694200311017825,0,C,5,6,1,1,7,3,Y,10,25,2,5,1169420031101002,825,8,7,1,1,0,1,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101001,1,,,8,1,,HARTFORD,20040317,8,1,1,8,,,8835020102,8839010101,1,,8,1007,1137.933819,20036498711we,,0,1169420031101002,06035,03/03/2025
STRIPED BASS,BLUEFISH,20036498711we,11694200311017825,,C,5,2.5,2,1,7,3,Y,8,10,1,2,1169420031101003,825,8,7,0,0,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101003,,,,8,1,,HARTFORD,20040317,8,8,1,8,,,8835250101,8835020102,1,,8,1020,1137.933819,20036498711we,,0,1169420031101003,06479,03/03/2025
STRIPED BASS,BLUEFISH,20036498711we,11694200311017825,,C,5,2.5,2,1,7,9,Y,8,10,2,2,1169420031101004,825,8,7,0,0,0,1,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101003,,,,8,1,,NEW HAVEN,20040317,8,8,1,8,,,8835250101,8835020102,1,,8,1022,1137.933819,20036498711we,,0,1169420031101004,06704,03/03/2025
,TAUTOG,20036498711we,11694200311017825,0,C,5,3.5,1,2,7,5,Y,12,20,1,3,1169420031101005,825,8,7,0,7,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101005,1,7,0,8,1,,LITCHFIELD,20040317,8,2,1,8,,,8839010101,,1,,2,1100,1137.933819,20036498711we,,0,1169420031101005,06786,03/03/2025
,TAUTOG,20036498711we,11694200311017825,,C,5,3.5,3,0,7,5,Y,12,20,2,3,1169420031101006,825,8,7,0,0,1,1,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101005,,,,8,2,,LITCHFIELD,20040317,8,8,1,8,,,8839010101,,1,,8,1102,1137.933819,20036498711we,,0,1169420031101005,06786,03/03/2025
,STRIPED BASS,20036498711we,11694200311017825,,C,5,4.5,2,1,7,3,Y,7,12,8,3,1169420031101007,825,8,7,0,0,0,0,,1,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101007,,,,8,1,,HARTFORD,20040317,8,8,1,8,,,8835020102,,1,,8,1120,1137.933819,20036498711we,,0,1169420031101007,06037,03/03/2025
TAUTOG,SCUP,20036498711we,11694200311017825,,C,5,3,2,1,7,7,Y,30,75,1,1,1169420031101008,825,8,7,0,0,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101008,,,,8,1,,MIDDLESEX,20040317,8,8,1,8,,,8835430101,8839010101,1,,8,1223,1137.933819,20036498711we,,0,1169420031101008,06412,03/03/2025
